Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
330,1,1,c,0.01,0,3.59,0,0,0
330,1,1,c,0.02,0,3.64,0,0,0
330,1,1,c,0.03,0.18,3.64,0,0,0
330,1,1,c,0.04,0.55,3.7,2.14,0,0
330,1,1,c,0.05,0.92,3.91,12.19,0,0
330,1,1,c,0.06,1.28,4.29,25.7,0,0
330,1,1,c,0.07,1.65,5.04,41.5,0,0
330,1,1,c,0.08,2.2,5.79,48.03,0,0
330,1,1,c,0.09,2.75,6.37,54.24,0,0
330,1,1,c,0.1,3.48,7.29,58.85,0,0
330,1,1,c,0.11,4.21,8.04,62.87,0,0
330,1,1,c,0.12,4.76,8.57,66.82,0,0
330,1,1,c,0.13,5.5,8.79,72.28,0,0
330,1,1,c,0.14,6.23,8.73,73.94,0,0
330,1,1,c,0.15,6.96,9.05,74.86,0,0
330,1,1,c,0.16,7.51,9.43,74.7,0,0
330,1,1,c,0.17,8.43,9.7,76.25,0,0
330,1,1,c,0.18,9.16,9.75,78.08,0,0
330,1,1,c,0.19,9.9,9.7,78.16,0,0
330,1,1,c,0.2,10.63,9.91,77.83,0,0
330,1,1,c,0.21,11.36,10.13,78.74,0,0
330,1,1,c,0.22,12.1,10.45,78.3,0,0
330,1,1,c,0.23,12.83,10.66,78.41,0,0
330,1,1,c,0.24,13.74,10.77,77.8,0,0
330,1,1,c,0.25,14.48,10.82,77.99,0,0
330,1,1,c,0.26,15.21,10.71,79.98,0,0
330,1,1,c,0.27,15.94,10.61,81.27,0,0
330,1,1,c,0.28,16.68,10.66,80.07,0,0
330,1,1,c,0.29,17.41,10.71,82.34,0,0
330,1,1,c,0.3,18.14,10.77,80.92,0,0
330,1,1,c,0.31,19.06,10.88,83.32,0,0
330,1,1,c,0.32,19.79,10.98,82.67,0,0
330,1,1,c,0.33,20.53,10.98,81.63,0,0
330,1,1,c,0.34,21.26,10.98,80.59,0,0
330,1,1,c,0.35,22.17,10.93,81.02,0,0
330,1,1,c,0.36,22.91,10.93,82.11,0,0
330,1,1,c,0.37,23.64,10.82,82.2,0,0
330,1,1,c,0.38,24.37,10.66,81.46,0,0
330,1,1,c,0.39,25.11,10.71,81.97,0,0
330,1,1,c,0.4,25.84,10.66,82.02,0,0
330,1,1,c,0.41,26.76,10.66,80.33,0,0
330,1,1,c,0.42,27.49,10.23,80.37,0,0
330,1,1,c,0.43,28.22,10.07,79.52,0,0
330,1,1,c,0.44,28.96,9.8,80.74,0,0
330,1,1,c,0.45,29.87,9.8,80.37,0,0
330,1,1,c,0.46,30.42,9.91,80.5,0,0
330,1,1,c,0.47,31.34,9.96,80.28,0,0
330,1,1,c,0.48,32.07,10.13,80,0,0
330,1,1,c,0.49,32.8,10.07,81.7,0,0
330,1,1,c,0.5,33.54,9.91,81.56,0,0
330,1,1,c,0.51,34.45,9.38,81.4,0,0
330,1,1,c,0.52,35.19,9.11,80.42,0,0
330,1,1,c,0.53,35.92,8.79,79.47,0,0
330,1,1,c,0.54,36.65,8.84,80.68,0,0
330,1,1,c,0.55,37.39,8.57,79.64,0,0
330,1,1,c,0.56,38.3,8.3,80.43,0,0
330,1,1,c,0.57,39.03,8.04,78.7,0,0
330,1,1,c,0.58,39.77,7.82,78.48,0,0
330,1,1,c,0.59,40.5,7.61,79.72,0,0
330,1,1,c,0.6,41.23,7.45,78.26,0,0
330,1,1,c,0.61,41.78,8.41,73.34,0,0
330,1,1,c,0.62,42.15,10.07,63.35,0,0
330,1,1,c,0.63,42.33,12,48.79,0,0
330,1,1,c,0.64,42.33,13.66,32.28,0,0
330,1,1,e,0.65,42.15,13.98,0,0,0
330,1,1,e,0.66,42.15,13.77,0,0,0
330,1,1,e,0.67,41.97,14.63,-4.31,0,0
330,1,1,e,0.68,41.6,15.91,-13.81,0,0
330,1,1,e,0.69,41.23,16.61,-25.76,0,0
330,1,1,e,0.7,40.68,16.45,-35.68,0,0
330,1,1,e,0.71,40.13,16.13,-44.77,0,0
330,1,1,e,0.72,39.77,16.07,-50.38,0,0
330,1,1,e,0.73,39.03,16.93,-56.67,0,0
330,1,1,e,0.74,38.48,17.95,-60.59,0,0
330,1,1,e,0.75,37.93,19.02,-63.51,0,0
330,1,1,e,0.76,37.2,19.71,-66.48,0,0
330,1,1,e,0.77,36.47,19.82,-67.83,0,0
