Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
654,1,1,c,0.01,0,3.05,0,0,0
654,1,1,c,0.02,0,2.28,0,0,0
654,1,1,c,0.03,0.18,1.35,0,0,0
654,1,1,c,0.04,0.37,1.11,4.35,0,0
654,1,1,c,0.05,0.73,1.05,15.11,0,0
654,1,1,c,0.06,1.1,0.94,26.03,0,0
654,1,1,c,0.07,1.47,1.11,36.34,0,0
654,1,1,c,0.08,1.83,1.7,42.05,0,0
654,1,1,c,0.09,2.38,1.52,44.02,0,0
654,1,1,c,0.1,2.93,1.46,45.24,0,0
654,1,1,c,0.11,3.3,1.35,46.37,0,0
654,1,1,c,0.12,3.85,1.52,50.08,0,0
654,1,1,c,0.13,4.4,1.64,56.99,0,0
654,1,1,c,0.14,5.13,1.58,59.13,0,0
654,1,1,c,0.15,5.68,1.58,61.77,0,0
654,1,1,c,0.16,6.23,1.52,64.85,0,0
654,1,1,c,0.17,6.96,1.35,66.37,0,0
654,1,1,c,0.18,7.7,1.29,68.3,0,0
654,1,1,c,0.19,8.43,1.35,70.16,0,0
654,1,1,c,0.2,8.98,1.58,72.86,0,0
654,1,1,c,0.21,9.71,2.11,73.56,0,0
654,1,1,c,0.22,10.63,2.46,76.68,0,0
654,1,1,c,0.23,11.18,2.87,76.85,0,0
654,1,1,c,0.24,11.91,3.4,77.75,0,0
654,1,1,c,0.25,12.83,3.75,80.33,0,0
654,1,1,c,0.26,13.56,4.22,79.46,0,0
654,1,1,c,0.27,14.29,4.69,76.93,0,0
654,1,1,c,0.28,15.03,4.98,80.76,0,0
654,1,1,c,0.29,15.76,5.21,79.7,0,0
654,1,1,c,0.3,16.49,5.45,80.12,0,0
654,1,1,c,0.31,17.23,5.74,83.3,0,0
654,1,1,c,0.32,17.96,5.86,79.83,0,0
654,1,1,c,0.33,18.88,5.92,79.55,0,0
654,1,1,c,0.34,19.61,6.03,79.58,0,0
654,1,1,c,0.35,20.16,6.27,78.16,0,0
654,1,1,c,0.36,21.07,6.44,82.26,0,0
654,1,1,c,0.37,21.81,6.74,79.33,0,0
654,1,1,c,0.38,22.72,6.91,81.17,0,0
654,1,1,c,0.39,23.46,7.03,79.06,0,0
654,1,1,c,0.4,24.19,7.09,80.98,0,0
654,1,1,c,0.41,24.92,7.21,83.42,0,0
654,1,1,c,0.42,25.66,7.91,79.77,0,0
654,1,1,c,0.43,26.21,9.14,72.06,0,0
654,1,1,c,0.44,26.39,10.49,60.02,0,0
654,1,1,c,0.45,26.57,12.07,42.39,0,0
654,1,1,c,0.46,26.57,12.65,26.71,0,0
654,1,1,e,0.47,26.39,13.06,0,0,0
654,1,1,e,0.48,26.21,14.35,-0.64,0,0
654,1,1,e,0.49,26.02,15.47,-6.48,0,0
654,1,1,e,0.5,25.66,16.7,-16.67,0,0
654,1,1,e,0.51,25.29,17.81,-27.69,0,0
654,1,1,e,0.52,24.92,18.92,-37.21,0,0
654,1,1,e,0.53,24.37,20.09,-45.17,0,0
654,1,1,e,0.54,23.82,20.33,-51.21,0,0
654,1,1,e,0.55,23.27,20.62,-55.37,0,0
654,1,1,e,0.56,22.72,20.86,-57.25,0,0
654,1,1,e,0.57,21.99,21.15,-61.91,0,0
654,1,1,e,0.58,21.44,21.21,-62.32,0,0
654,1,1,e,0.59,20.71,21.09,-66.59,0,0
654,1,1,e,0.6,20.16,20.62,-70.59,0,0
654,1,1,e,0.61,19.43,20.15,-72.17,0,0
654,1,1,e,0.62,18.69,19.8,-74.81,0,0
654,1,1,e,0.63,17.96,19.27,-74.17,0,0
654,1,1,e,0.64,17.23,18.4,-75.42,0,0
654,1,1,e,0.65,16.49,16.81,-75.58,0,0
654,1,1,e,0.66,15.76,14.82,-80.41,0,0
654,1,1,e,0.67,15.03,12.71,-79.15,0,0
654,1,1,e,0.68,14.29,10.49,-80.08,0,0
654,1,1,e,0.69,13.56,8.73,-83.46,0,0
654,1,1,e,0.7,12.83,7.5,-80.76,0,0
654,1,1,e,0.71,12.1,6.5,-79.49,0,0
654,1,1,e,0.72,11.36,6.44,-81.43,0,0
654,1,1,e,0.73,10.63,7.26,-80.29,0,0
654,1,1,e,0.74,9.71,8.79,-81.51,0,0
654,1,1,e,0.75,8.98,11.13,-79.81,0,0
654,1,1,e,0.76,8.25,13.71,-78.3,0,0
654,1,1,e,0.77,7.51,16.46,-77.22,0,0
654,1,1,e,0.78,6.78,18.28,-77.27,0,0
654,1,1,e,0.79,6.05,19.45,-76.93,0,0
654,1,1,e,0.8,5.31,20.62,-78.43,0,0
654,1,1,e,0.81,4.58,21.03,-76.17,0,0
654,1,1,e,0.82,3.85,21.62,-76.62,0,0
654,1,1,e,0.83,3.12,22.03,-76.87,0,0
654,1,1,e,0.84,2.38,22.15,-75.63,0,0
654,1,1,e,0.85,1.47,22.44,-77.71,0,0
654,1,1,e,0.86,0.73,22.5,-78.48,0,0
654,1,1,e,0.87,0.18,22.26,-78.28,0,0
654,1,1,e,0.88,-0.55,22.03,-79.93,0,0
654,1,1,e,0.89,-1.28,21.33,-76.88,0,0
654,1,1,e,0.9,-1.83,20.09,-73.44,0,0
654,1,1,e,0.91,-2.38,18.86,-64.9,0,0
654,1,1,e,0.92,-2.57,18.04,-52.88,0,0
