Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
667,1,1,c,0.01,0,4.37,0,0,0
667,1,1,c,0.02,0,5.59,0,0,0
667,1,1,c,0.03,0.18,7.1,0,0,0
667,1,1,c,0.04,0.37,9.9,0,0,0
667,1,1,c,0.05,0.73,11.7,9.75,0,0
667,1,1,c,0.06,1.1,11.41,23.21,0,0
667,1,1,c,0.07,1.65,10.65,37.55,0,0
667,1,1,c,0.08,2.2,9.37,49.99,0,0
667,1,1,c,0.09,2.93,8.96,54.83,0,0
667,1,1,c,0.1,3.48,9.02,61.14,0,0
667,1,1,c,0.11,4.03,9.72,64.52,0,0
667,1,1,c,0.12,4.76,9.9,67.7,0,0
667,1,1,c,0.13,5.5,10.54,69.34,0,0
667,1,1,c,0.14,6.23,10.71,72.38,0,0
667,1,1,c,0.15,6.96,10.24,74.6,0,0
667,1,1,c,0.16,7.7,9.78,76.21,0,0
667,1,1,c,0.17,8.43,9.43,75.57,0,0
667,1,1,c,0.18,9.16,9.2,76.1,0,0
667,1,1,c,0.19,9.9,9.43,79.11,0,0
667,1,1,c,0.2,10.63,9.72,79.46,0,0
667,1,1,c,0.21,11.36,9.84,78.19,0,0
667,1,1,c,0.22,12.1,10.01,80.32,0,0
667,1,1,c,0.23,12.83,10.24,79.64,0,0
667,1,1,c,0.24,13.74,10.36,82.68,0,0
667,1,1,c,0.25,14.48,10.54,82.1,0,0
667,1,1,c,0.26,15.21,10.54,81.13,0,0
667,1,1,c,0.27,15.94,10.59,80.1,0,0
667,1,1,c,0.28,16.86,10.54,80.38,0,0
667,1,1,c,0.29,17.59,10.65,81.4,0,0
667,1,1,c,0.3,18.33,10.77,81.31,0,0
667,1,1,c,0.31,19.06,10.65,80.7,0,0
667,1,1,c,0.32,19.79,10.54,81.39,0,0
667,1,1,c,0.33,20.53,10.59,81.58,0,0
667,1,1,c,0.34,21.44,10.54,80.34,0,0
667,1,1,c,0.35,22.17,10.42,80.95,0,0
667,1,1,c,0.36,22.72,10.54,79.39,0,0
667,1,1,c,0.37,23.64,10.54,80.98,0,0
667,1,1,c,0.38,24.37,10.48,78.03,0,0
667,1,1,c,0.39,25.29,10.59,79.65,0,0
667,1,1,c,0.4,26.02,10.59,79.35,0,0
667,1,1,c,0.41,26.76,10.54,81.49,0,0
667,1,1,c,0.42,27.49,10.48,83.42,0,0
667,1,1,c,0.43,28.22,10.3,81.45,0,0
667,1,1,c,0.44,28.96,10.24,80.87,0,0
667,1,1,c,0.45,29.69,10.24,80.43,0,0
667,1,1,c,0.46,30.42,10.48,79.84,0,0
667,1,1,c,0.47,31.34,10.59,79.86,0,0
667,1,1,c,0.48,32.07,10.54,80.58,0,0
667,1,1,c,0.49,32.8,10.48,80.36,0,0
667,1,1,c,0.5,33.54,10.19,79.81,0,0
667,1,1,c,0.51,34.45,10.13,79.63,0,0
667,1,1,c,0.52,35.19,10.19,80.31,0,0
667,1,1,c,0.53,35.92,10.24,80.87,0,0
667,1,1,c,0.54,36.65,10.01,80.75,0,0
667,1,1,c,0.55,37.39,9.78,80.72,0,0
667,1,1,c,0.56,38.12,9.72,80.48,0,0
667,1,1,c,0.57,38.85,9.49,80.23,0,0
667,1,1,c,0.58,39.58,9.72,79.29,0,0
667,1,1,c,0.59,39.95,11.41,70.62,0,0
667,1,1,c,0.6,40.32,12.86,56.77,0,0
667,1,1,c,0.61,40.32,14.73,40.39,0,0
667,1,1,c,0.62,40.32,16.47,23.65,0,0
667,1,1,e,0.63,40.13,17.17,0,0,0
667,1,1,e,0.64,39.95,18.92,-2.62,0,0
667,1,1,e,0.65,39.77,22.7,-8.59,0,0
667,1,1,e,0.66,39.22,25.79,-20.83,0,0
667,1,1,e,0.67,38.85,27.71,-33.28,0,0
667,1,1,e,0.68,38.48,28.35,-42.15,0,0
667,1,1,e,0.69,37.93,28.17,-47.71,0,0
667,1,1,e,0.7,37.39,27.18,-53.92,0,0
667,1,1,e,0.71,36.65,26.6,-56.69,0,0
