Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
776,1,1,c,0.01,0,3.73,0,0,0
776,1,1,c,0.02,0,3.61,0,0,0
776,1,1,c,0.03,0.18,3.9,0,0,0
776,1,1,c,0.04,0.55,4.37,3.67,0,0
776,1,1,c,0.05,0.73,5.18,13.39,0,0
776,1,1,c,0.06,1.28,6.05,26.48,0,0
776,1,1,c,0.07,1.65,6.4,40.37,0,0
776,1,1,c,0.08,2.2,6.81,46.52,0,0
776,1,1,c,0.09,2.75,7.1,54.79,0,0
776,1,1,c,0.1,3.3,7.97,59.71,0,0
776,1,1,c,0.11,4.03,8.21,63.18,0,0
776,1,1,c,0.12,4.58,8.79,66.83,0,0
776,1,1,c,0.13,5.31,8.79,69.43,0,0
776,1,1,c,0.14,6.05,9.08,70.68,0,0
776,1,1,c,0.15,6.78,9.31,73,0,0
776,1,1,c,0.16,7.51,9.26,75.73,0,0
776,1,1,c,0.17,8.25,9.78,78.81,0,0
776,1,1,c,0.18,8.98,10.3,79.03,0,0
776,1,1,c,0.19,9.71,10.48,79.32,0,0
776,1,1,c,0.2,10.45,10.89,80,0,0
776,1,1,c,0.21,11.18,11.35,78.78,0,0
776,1,1,c,0.22,11.91,11.47,80.31,0,0
776,1,1,c,0.23,12.64,11.7,81.61,0,0
776,1,1,c,0.24,13.38,11.82,80.38,0,0
776,1,1,c,0.25,14.29,11.76,79.86,0,0
776,1,1,c,0.26,15.03,11.64,78.84,0,0
776,1,1,c,0.27,15.76,11.82,78.82,0,0
776,1,1,c,0.28,16.49,11.82,78.61,0,0
776,1,1,c,0.29,17.41,11.82,79.74,0,0
776,1,1,c,0.3,18.14,12.11,81.95,0,0
776,1,1,c,0.31,18.88,12.05,81.27,0,0
776,1,1,c,0.32,19.61,11.82,81.35,0,0
776,1,1,c,0.33,20.34,11.76,83.71,0,0
776,1,1,c,0.34,21.07,11.87,82.12,0,0
776,1,1,c,0.35,21.99,11.99,83.14,0,0
776,1,1,c,0.36,22.72,11.87,82.01,0,0
776,1,1,c,0.37,23.46,12.22,80.46,0,0
776,1,1,c,0.38,24.37,12.51,80.51,0,0
776,1,1,c,0.39,25.11,12.63,79.87,0,0
776,1,1,c,0.4,25.84,12.92,82.96,0,0
776,1,1,c,0.41,26.57,12.69,82.67,0,0
776,1,1,c,0.42,27.31,12.63,82.43,0,0
776,1,1,c,0.43,28.22,12.98,83.56,0,0
776,1,1,c,0.44,28.96,13.21,82.81,0,0
776,1,1,c,0.45,29.69,13.33,80.88,0,0
776,1,1,c,0.46,30.42,13.5,79.14,0,0
776,1,1,c,0.47,31.34,13.39,79.61,0,0
776,1,1,c,0.48,32.07,13.5,80.47,0,0
776,1,1,c,0.49,32.8,13.16,81.75,0,0
776,1,1,c,0.5,33.54,12.92,83.33,0,0
776,1,1,c,0.51,34.27,13.45,82.73,0,0
776,1,1,c,0.52,35,13.16,82.4,0,0
776,1,1,c,0.53,35.74,13.33,81.73,0,0
776,1,1,c,0.54,36.47,13.21,79.72,0,0
776,1,1,c,0.55,37.39,13.1,79.93,0,0
776,1,1,c,0.56,38.12,12.75,80.1,0,0
776,1,1,c,0.57,38.85,12.57,79.12,0,0
776,1,1,c,0.58,39.58,12.86,75.57,0,0
776,1,1,c,0.59,39.95,13.68,66.34,0,0
776,1,1,c,0.6,40.13,15.31,55,0,0
776,1,1,c,0.61,40.32,16.82,38.63,0,0
776,1,1,c,0.62,40.32,18.57,24.66,0,0
776,1,1,e,0.63,40.13,20.08,0,0,0
776,1,1,e,0.64,40.13,22.64,-0.35,0,0
776,1,1,e,0.65,39.77,26.72,-8.81,0,0
776,1,1,e,0.66,39.4,29.57,-18.61,0,0
776,1,1,e,0.67,39.03,31.03,-31.06,0,0
776,1,1,e,0.68,38.48,33.3,-38.74,0,0
776,1,1,e,0.69,37.93,34.63,-45.87,0,0
776,1,1,e,0.7,37.39,35.91,-52.71,0,0
776,1,1,e,0.71,36.84,36.21,-56.62,0,0
776,1,1,e,0.72,36.29,37.25,-60.6,0,0
776,1,1,e,0.73,35.74,37.43,-62.15,0,0
776,1,1,e,0.74,35,37.6,-65.94,0,0
776,1,1,e,0.75,34.27,37.78,-65.82,0,0
776,1,1,e,0.76,33.72,38.3,-68.27,0,0
776,1,1,e,0.77,32.99,39.23,-70.62,0,0
776,1,1,e,0.78,32.25,40.16,-72.74,0,0
776,1,1,e,0.79,31.52,41.21,-72.82,0,0
776,1,1,e,0.8,30.79,42.55,-74.14,0,0
776,1,1,e,0.81,30.24,43.19,-72.84,0,0
776,1,1,e,0.82,29.5,43.95,-74.01,0,0
776,1,1,e,0.83,28.77,44.12,-73.14,0,0
776,1,1,e,0.84,28.04,44.53,-74.65,0,0
776,1,1,e,0.85,27.31,45.23,-74.82,0,0
776,1,1,e,0.86,26.57,45.05,-76.45,0,0
776,1,1,e,0.87,25.66,44.76,-77.12,0,0
776,1,1,e,0.88,24.92,44.59,-79.22,0,0
776,1,1,e,0.89,24.19,44.47,-79.43,0,0
776,1,1,e,0.9,23.46,44.24,-79.74,0,0
776,1,1,e,0.91,22.72,45.11,-79.74,0,0
776,1,1,e,0.92,21.99,46.04,-77.23,0,0
776,1,1,e,0.93,21.07,46.74,-78.44,0,0
776,1,1,e,0.94,20.34,47.03,-78.51,0,0
776,1,1,e,0.95,19.61,46.45,-78.03,0,0
776,1,1,e,0.96,18.88,46.45,-78.99,0,0
776,1,1,e,0.97,18.14,46.63,-79.75,0,0
776,1,1,e,0.98,17.41,46.92,-79.5,0,0
776,1,1,e,0.99,16.68,46.51,-80.95,0,0
776,1,1,e,1,15.94,47.15,-79.58,0,0
776,1,1,e,1.01,15.03,47.56,-82.01,0,0
776,1,1,e,1.02,14.29,47.73,-81.75,0,0
776,1,1,e,1.03,13.56,47.5,-80.63,0,0
776,1,1,e,1.04,12.83,48.31,-80.09,0,0
776,1,1,e,1.05,12.1,49.19,-78.67,0,0
776,1,1,e,1.06,11.18,49.19,-80.48,0,0
776,1,1,e,1.07,10.45,48.95,-79.5,0,0
776,1,1,e,1.08,9.71,49.24,-79.35,0,0
776,1,1,e,1.09,8.98,50.41,-80.17,0,0
776,1,1,e,1.1,8.25,51.34,-78.7,0,0
776,1,1,e,1.11,7.51,52.27,-79.26,0,0
776,1,1,e,1.12,6.78,52.5,-81.26,0,0
776,1,1,e,1.13,6.05,52.85,-81.36,0,0
776,1,1,e,1.14,5.31,53.26,-80.26,0,0
776,1,1,e,1.15,4.58,53.03,-79.56,0,0
776,1,1,e,1.16,3.85,53.14,-77.95,0,0
776,1,1,e,1.17,3.12,53.9,-78.96,0,0
776,1,1,e,1.18,2.38,54.25,-79.96,0,0
776,1,1,e,1.19,1.65,54.25,-79.85,0,0
776,1,1,e,1.2,0.73,53.2,-80.1,0,0
776,1,1,e,1.21,0,51.51,-79.98,0,0
776,1,1,e,1.22,-0.73,49.65,-78.63,0,0
776,1,1,e,1.23,-1.47,48.6,-78.33,0,0
776,1,1,e,1.24,-2.02,45.46,-73.94,0,0
776,1,1,e,1.25,-2.38,43.13,-64.93,0,0
776,1,1,e,1.26,-2.75,41.21,-50.16,0,0
776,1,1,e,1.27,-2.75,39.7,-37.02,0,0
776,1,1,e,1.28,-2.75,35.62,-23.19,0,0
776,1,2,c,1.29,-2.57,31.84,0,0,0
776,1,2,c,1.3,-2.38,27.47,3.33,0,0
776,1,2,c,1.31,-2.02,22.76,10.37,0,0
776,1,2,c,1.32,-1.65,19.91,21.37,0,0
776,1,2,c,1.33,-1.28,18.92,33.48,0,0
776,1,2,c,1.34,-0.92,19.44,43.33,0,0
776,1,2,c,1.35,-0.18,20.14,49.86,0,0
776,1,2,c,1.36,0.18,21.25,54.94,0,0
