Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
783,1,1,c,10,0.0,35.7,0.0,0,0
783,1,1,c,20,0.0,40.8,0.0,0,0
783,1,1,c,30,1.6,39.7,0.0,0,0
783,1,1,c,40,3.2,39.1,20.5,0,0
783,1,1,c,50,6.5,40.3,102.2,0,0
783,1,1,c,60,9.7,42.0,201.5,0,0
783,1,1,c,70,14.6,40.8,332.4,0,0
783,1,1,c,80,17.9,39.7,410.4,0,0
783,1,1,c,90,24.3,42.0,478.3,0,0
783,1,1,c,100,29.2,42.0,512.4,0,0
783,1,1,c,110,35.7,42.0,575.9,0,0
783,1,1,c,120,40.6,42.5,616.1,0,0
783,1,1,c,130,47.1,42.5,631.9,0,0
783,1,1,c,140,53.6,41.4,636.8,0,0
783,1,1,c,150,60.1,41.4,667.2,0,0
783,1,1,c,160,66.5,41.4,681.9,0,0
783,1,1,c,170,73.0,40.3,711.7,0,0
783,1,1,c,180,81.2,38.0,746.9,0,0
783,1,1,c,190,87.7,34.6,738.4,0,0
783,1,1,c,200,95.8,38.6,752.8,0,0
783,1,1,c,210,102.3,42.5,739.1,0,0
783,1,1,c,220,108.8,44.3,767.2,0,0
783,1,1,c,230,116.9,46.5,763.2,0,0
783,1,1,c,240,125.0,46.5,781.6,0,0
783,1,1,c,250,131.5,47.1,774.6,0,0
783,1,1,c,260,138.0,48.2,779.1,0,0
783,1,1,c,270,146.1,48.2,762.4,0,0
783,1,1,c,280,154.2,47.1,782.8,0,0
783,1,1,c,290,160.7,46.0,788.2,0,0
783,1,1,c,300,168.8,43.1,783.1,0,0
783,1,1,c,310,176.9,43.7,774.3,0,0
783,1,1,c,320,183.4,43.7,777.9,0,0
783,1,1,c,330,191.5,41.4,768.4,0,0
783,1,1,c,340,199.6,39.7,807.0,0,0
783,1,1,c,350,206.1,38.6,831.6,0,0
783,1,1,c,360,214.3,37.4,802.1,0,0
783,1,1,c,370,222.4,35.2,808.3,0,0
783,1,1,c,380,228.9,34.6,816.1,0,0
783,1,1,c,390,237.0,31.8,800.0,0,0
783,1,1,c,400,245.1,28.9,802.7,0,0
783,1,1,c,410,251.6,26.1,788.9,0,0
783,1,1,c,420,259.7,23.3,768.9,0,0
783,1,1,c,430,267.8,18.7,777.1,0,0
783,1,1,c,440,274.3,14.2,800.9,0,0
783,1,1,c,450,282.4,11.3,782.3,0,0
783,1,1,c,460,290.5,9.6,816.1,0,0
783,1,1,c,470,297.0,9.6,821.3,0,0
783,1,1,c,480,303.5,12.5,802.5,0,0
783,1,1,c,490,311.6,14.8,772.6,0,0
783,1,1,c,500,318.1,8.5,724.9,0,0
783,1,1,c,510,324.6,6.8,710.1,0,0
783,1,1,c,520,329.5,13.6,675.9,0,0
783,1,1,c,530,336.0,11.9,648.1,0,0
783,1,1,c,540,340.9,5.7,592.9,0,0
783,1,1,c,550,345.7,5.7,582.7,0,0
783,1,1,c,560,352.2,10.2,588.7,0,0
783,1,1,c,570,357.1,11.3,543.4,0,0
783,1,1,c,580,358.7,15.3,466.0,0,0
783,1,1,c,590,360.3,22.1,354.3,0,0
783,1,1,c,600,360.3,10.2,239.3,0,0
783,1,1,e,610,358.7,13.6,0.0,0,0
783,1,1,e,620,358.7,22.7,0.0,0,0
783,1,1,e,630,355.5,26.7,-26.6,0,0
783,1,1,e,640,353.8,30.1,-106.2,0,0
783,1,1,e,650,349.0,32.9,-212.1,0,0
783,1,1,e,660,345.7,36.3,-326.6,0,0
783,1,1,e,670,340.9,38.6,-402.5,0,0
783,1,1,e,680,336.0,42.0,-479.5,0,0
783,1,1,e,690,331.1,41.4,-512.1,0,0
783,1,1,e,700,324.6,42.0,-555.2,0,0
783,1,1,e,710,319.8,42.5,-605.2,0,0
783,1,1,e,720,313.3,44.8,-620.1,0,0
783,1,1,e,730,308.4,48.2,-643.4,0,0
783,1,1,e,740,300.3,54.5,-667.8,0,0
783,1,1,e,750,293.8,62.4,-674.3,0,0
783,1,1,e,760,287.3,69.8,-679.9,0,0
783,1,1,e,770,280.8,74.3,-704.9,0,0
783,1,1,e,780,274.3,79.4,-707.5,0,0
783,1,1,e,790,267.8,82.3,-715.9,0,0
783,1,1,e,800,259.7,82.3,-753.7,0,0
783,1,1,e,810,253.2,85.1,-764.3,0,0
783,1,1,e,820,245.1,89.6,-761.1,0,0
783,1,1,e,830,238.6,95.3,-760.9,0,0
783,1,1,e,840,232.1,103.8,-775.3,0,0
783,1,1,e,850,224.0,111.2,-754.4,0,0
783,1,1,e,860,215.9,116.3,-763.1,0,0
783,1,1,e,870,209.4,126.5,-781.2,0,0
783,1,1,e,880,202.9,133.3,-789.1,0,0
783,1,1,e,890,196.4,138.4,-771.7,0,0
783,1,1,e,900,186.7,141.8,-783.2,0,0
783,1,1,e,910,180.2,141.8,-777.1,0,0
783,1,1,e,920,173.7,141.3,-783.0,0,0
783,1,1,e,930,165.6,145.2,-755.0,0,0
783,1,1,e,940,157.4,153.7,-770.6,0,0
783,1,1,e,950,151.0,161.1,-760.2,0,0
783,1,1,e,960,142.8,165.7,-779.3,0,0
783,1,1,e,970,136.3,166.8,-757.8,0,0
783,1,1,e,980,128.2,168.5,-764.5,0,0
783,1,1,e,990,121.7,164.0,-758.1,0,0
783,1,1,e,1000,113.6,161.7,-768.6,0,0
783,1,1,e,1010,105.5,162.3,-780.8,0,0
783,1,1,e,1020,99.0,165.1,-795.2,0,0
783,1,1,e,1030,90.9,171.9,-775.7,0,0
783,1,1,e,1040,82.8,177.0,-785.8,0,0
783,1,1,e,1050,76.3,175.3,-794.0,0,0
783,1,1,e,1060,68.2,170.8,-779.5,0,0
783,1,1,e,1070,60.1,171.3,-799.5,0,0
783,1,1,e,1080,53.6,172.5,-815.7,0,0
783,1,1,e,1090,47.1,174.2,-793.9,0,0
783,1,1,e,1100,37.3,174.2,-789.2,0,0
783,1,1,e,1110,30.8,169.6,-798.4,0,0
783,1,1,e,1120,22.7,160.0,-788.0,0,0
783,1,1,e,1130,14.6,167.4,-814.8,0,0
783,1,1,e,1140,8.1,170.8,-812.9,0,0
783,1,1,e,1150,0.0,171.9,-780.8,0,0
783,1,1,e,1160,-8.1,174.7,-799.0,0,0
783,1,1,e,1170,-14.6,171.9,-774.5,0,0
783,1,1,e,1180,-21.1,170.8,-749.8,0,0
783,1,1,e,1190,-26.0,161.7,-663.0,0,0
783,1,1,e,1200,-29.2,145.2,-528.2,0,0
783,1,1,e,1210,-30.8,128.8,-406.7,0,0
783,1,1,e,1220,-30.8,110.6,-275.9,0,0
783,1,1,e,1230,-30.8,103.3,-176.1,0,0
783,1,2,c,1240,-27.6,105.5,14.4,0,0
783,1,2,c,1250,-26.0,100.4,78.1,0,0
783,1,2,c,1260,-24.3,97.6,149.4,0,0
783,1,2,c,1270,-21.1,93.0,257.5,0,0
783,1,2,c,1280,-16.2,90.2,328.3,0,0
783,1,2,c,1290,-11.4,84.5,406.5,0,0
783,1,2,c,1300,-6.5,82.3,460.5,0,0
783,1,2,c,1310,-1.6,78.3,497.3,0,0
783,1,2,c,1320,3.2,76.6,560.6,0,0
783,1,2,c,1330,11.4,74.3,584.0,0,0
783,1,2,c,1340,16.2,72.6,619.0,0,0
783,1,2,c,1350,22.7,71.5,643.8,0,0
783,1,2,c,1360,29.2,72.0,665.2,0,0
783,1,2,c,1370,35.7,71.5,683.9,0,0
783,1,2,c,1380,43.8,70.9,695.5,0,0
783,1,2,c,1390,50.3,68.6,738.1,0,0
783,1,2,c,1400,56.8,66.9,739.0,0,0
783,1,2,c,1410,63.3,66.9,748.7,0,0
783,1,2,c,1420,71.4,66.9,764.8,0,0
783,1,2,c,1430,79.5,64.7,771.4,0,0
783,1,2,c,1440,86.0,60.7,760.5,0,0
783,1,2,c,1450,92.5,57.3,765.9,0,0
783,1,2,c,1460,100.6,63.0,775.8,0,0
783,1,2,c,1470,108.8,62.4,784.9,0,0
783,1,2,c,1480,115.2,58.4,774.3,0,0
783,1,2,c,1490,123.4,60.1,765.1,0,0
783,1,2,c,1500,129.9,58.4,772.3,0,0
783,1,2,c,1510,138.0,57.9,780.0,0,0
783,1,2,c,1520,146.1,58.4,772.0,0,0
783,1,2,c,1530,152.6,57.9,779.5,0,0
783,1,2,c,1540,160.7,57.3,822.8,0,0
783,1,2,c,1550,168.8,54.5,831.3,0,0
783,1,2,c,1560,176.9,56.2,828.4,0,0
783,1,2,c,1570,183.4,58.4,826.8,0,0
783,1,2,c,1580,191.5,56.7,796.3,0,0
783,1,2,c,1590,198.0,55.6,797.5,0,0
783,1,2,c,1600,206.1,55.0,799.4,0,0
783,1,2,c,1610,212.6,53.9,765.8,0,0
783,1,2,c,1620,220.7,51.6,765.0,0,0
783,1,2,c,1630,228.9,48.2,800.9,0,0
783,1,2,c,1640,237.0,46.0,808.4,0,0
783,1,2,c,1650,245.1,44.8,812.2,0,0
783,1,2,c,1660,251.6,42.5,833.0,0,0
783,1,2,c,1670,259.7,40.3,812.5,0,0
783,1,2,c,1680,266.2,36.9,821.8,0,0
783,1,2,c,1690,274.3,32.3,836.2,0,0
783,1,2,c,1700,280.8,30.6,797.4,0,0
783,1,2,c,1710,288.9,30.6,786.2,0,0
783,1,2,c,1720,297.0,27.2,819.2,0,0
783,1,2,c,1730,303.5,24.4,809.0,0,0
783,1,2,c,1740,311.6,21.0,791.0,0,0
783,1,2,c,1750,318.1,18.2,764.9,0,0
783,1,2,c,1760,326.3,16.5,767.9,0,0
783,1,2,c,1770,332.7,13.0,776.1,0,0
783,1,2,c,1780,340.9,9.6,765.6,0,0
783,1,2,c,1790,349.0,8.5,781.9,0,0
783,1,2,c,1800,355.5,7.4,787.3,0,0
783,1,2,c,1810,362.0,14.2,789.6,0,0
783,1,2,c,1820,368.5,15.3,728.2,0,0
783,1,2,c,1830,371.7,17.6,648.7,0,0
783,1,2,c,1840,374.9,18.2,514.5,0,0
783,1,2,c,1850,374.9,13.6,363.6,0,0
783,1,2,c,1860,374.9,15.3,207.3,0,0
783,1,2,c,1870,374.9,20.4,118.8,0,0
783,1,2,e,1880,373.3,26.1,0.0,0,0
783,1,2,e,1890,370.1,27.8,-58.8,0,0
783,1,2,e,1900,366.8,32.9,-164.4,0,0
783,1,2,e,1910,363.6,38.6,-280.6,0,0
783,1,2,e,1920,358.7,39.7,-377.5,0,0
783,1,2,e,1930,353.8,43.1,-419.6,0,0
783,1,2,e,1940,349.0,39.1,-486.9,0,0
783,1,2,e,1950,344.1,36.3,-533.3,0,0
783,1,2,e,1960,337.6,33.5,-573.6,0,0
783,1,2,e,1970,332.7,31.2,-617.6,0,0
783,1,2,e,1980,326.3,31.2,-649.6,0,0
783,1,2,e,1990,319.8,32.3,-663.9,0,0
