Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
786,1,1,c,10,0.0,30.6,-0.0,0,0
786,1,1,c,20,1.6,33.5,0.0,0,0
786,1,1,c,30,1.6,30.6,0.0,0,0
786,1,1,c,40,4.9,25.5,30.9,0,0
786,1,1,c,50,8.1,23.3,120.4,0,0
786,1,1,c,60,11.4,28.4,245.4,0,0
786,1,1,c,70,14.6,29.5,360.1,0,0
786,1,1,c,80,21.1,34.0,421.4,0,0
786,1,1,c,90,24.3,41.4,482.7,0,0
786,1,1,c,100,30.8,46.0,542.2,0,0
786,1,1,c,110,35.7,52.8,572.5,0,0
786,1,1,c,120,42.2,57.3,593.4,0,0
786,1,1,c,130,48.7,62.4,633.8,0,0
786,1,1,c,140,55.2,63.0,649.7,0,0
786,1,1,c,150,61.7,60.7,681.4,0,0
786,1,1,c,160,68.2,61.3,681.6,0,0
786,1,1,c,170,76.3,61.8,700.2,0,0
786,1,1,c,180,82.8,61.8,702.2,0,0
786,1,1,c,190,89.3,64.1,743.7,0,0
786,1,1,c,200,95.8,64.7,749.9,0,0
786,1,1,c,210,103.9,66.9,759.1,0,0
786,1,1,c,220,112.0,67.5,765.8,0,0
786,1,1,c,230,118.5,69.2,782.1,0,0
786,1,1,c,240,126.6,68.6,785.7,0,0
786,1,1,c,250,134.7,67.5,790.2,0,0
786,1,1,c,260,141.2,65.8,797.9,0,0
786,1,1,c,270,149.3,65.8,814.2,0,0
786,1,1,c,280,157.4,67.5,812.5,0,0
786,1,1,c,290,163.9,66.4,805.0,0,0
786,1,1,c,300,172.1,64.7,777.6,0,0
786,1,1,c,310,178.5,70.3,787.1,0,0
786,1,1,c,320,186.7,72.6,798.1,0,0
786,1,1,c,330,194.8,70.9,782.7,0,0
786,1,1,c,340,201.3,69.8,779.2,0,0
786,1,1,c,350,209.4,64.7,800.2,0,0
786,1,1,c,360,217.5,61.8,813.9,0,0
786,1,1,c,370,224.0,61.3,784.8,0,0
786,1,1,c,380,232.1,61.8,806.7,0,0
786,1,1,c,390,240.2,61.3,782.7,0,0
786,1,1,c,400,246.7,62.4,788.8,0,0
786,1,1,c,410,254.8,61.3,819.1,0,0
786,1,1,c,420,261.3,59.6,786.3,0,0
786,1,1,c,430,269.4,60.7,771.1,0,0
786,1,1,c,440,277.6,61.3,805.7,0,0
786,1,1,c,450,285.7,62.4,808.9,0,0
786,1,1,c,460,293.8,62.4,814.9,0,0
786,1,1,c,470,300.3,67.5,829.9,0,0
786,1,1,c,480,306.8,78.9,771.6,0,0
786,1,1,c,490,313.3,89.1,715.6,0,0
786,1,1,c,500,316.5,97.6,591.8,0,0
786,1,1,c,510,318.1,106.1,452.9,0,0
786,1,1,c,520,318.1,109.5,314.1,0,0
786,1,1,e,530,316.5,114.6,0.0,0,0
786,1,1,e,540,316.5,117.4,0.0,0,0
786,1,1,e,550,313.3,116.9,-24.3,0,0
786,1,1,e,560,311.6,120.3,-96.6,0,0
786,1,1,e,570,308.4,124.8,-205.7,0,0
786,1,1,e,580,305.2,125.9,-304.7,0,0
786,1,1,e,590,300.3,122.5,-385.5,0,0
786,1,1,e,600,295.4,118.6,-418.8,0,0
