Repetición,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
30,1,1,c,0.01,0,3.86,0,0,0
30,1,1,c,0.02,0,4.55,0,0,0
30,1,1,c,0.03,0.18,6,0,0,0
30,1,1,c,0.04,0.37,8.04,0,0,0
30,1,1,c,0.05,0.73,10.07,10.7,0,0
30,1,1,c,0.06,1.28,11.68,23.41,0,0
30,1,1,c,0.07,1.83,13.07,39.15,0,0
30,1,1,c,0.08,2.2,13.66,50.15,0,0
30,1,1,c,0.09,2.93,13.39,58.37,0,0
30,1,1,c,0.1,3.48,12.96,62.98,0,0
30,1,1,c,0.11,4.21,12.64,66.23,0,0
30,1,1,c,0.12,4.76,12.64,69.36,0,0
30,1,1,c,0.13,5.5,12.86,70.43,0,0
30,1,1,c,0.14,6.23,13.23,71.53,0,0
30,1,1,c,0.15,6.96,13.71,73.82,0,0
30,1,1,c,0.16,7.7,14.04,75.27,0,0
30,1,1,c,0.17,8.61,14.04,78.58,0,0
30,1,1,c,0.18,9.35,13.88,79.41,0,0
30,1,1,c,0.19,10.08,13.66,80.12,0,0
30,1,1,c,0.2,10.81,13.55,78.54,0,0
30,1,1,c,0.21,11.73,13.13,80.5,0,0
30,1,1,c,0.22,12.46,12.59,82.08,0,0
30,1,1,c,0.23,13.19,11.95,81.7,0,0
30,1,1,c,0.24,13.93,11.84,83.05,0,0
30,1,1,c,0.25,14.84,11.73,82.85,0,0
30,1,1,c,0.26,15.58,11.68,83.28,0,0
30,1,1,c,0.27,16.49,11.89,82.95,0,0
30,1,1,c,0.28,17.23,11.89,85.02,0,0
30,1,1,c,0.29,17.96,11.68,83.29,0,0
30,1,1,c,0.3,18.69,11.57,82.97,0,0
30,1,1,c,0.31,19.43,11.3,82.22,0,0
30,1,1,c,0.32,20.16,11.14,80.67,0,0
30,1,1,c,0.33,21.07,11.04,79.98,0,0
30,1,1,c,0.34,21.81,11.46,78.99,0,0
30,1,1,c,0.35,22.54,11.89,78.88,0,0
30,1,1,c,0.36,23.27,11.95,78.78,0,0
30,1,1,c,0.37,24.01,11.63,77.59,0,0
30,1,1,c,0.38,24.74,11.25,78.72,0,0
30,1,1,c,0.39,25.66,11.09,78.9,0,0
30,1,1,c,0.4,26.39,10.93,79.72,0,0
30,1,1,c,0.41,27.12,11.25,81.63,0,0
30,1,1,c,0.42,27.86,11.46,80.32,0,0
30,1,1,c,0.43,28.59,11.36,79.71,0,0
30,1,1,c,0.44,29.32,11.3,80.69,0,0
30,1,1,c,0.45,30.05,11.57,79.21,0,0
30,1,1,c,0.46,30.97,11.3,81.53,0,0
30,1,1,c,0.47,31.7,11.2,80.16,0,0
30,1,1,c,0.48,32.44,11.3,79.51,0,0
30,1,1,c,0.49,33.17,11.09,79.61,0,0
30,1,1,c,0.5,33.9,10.88,78.68,0,0
30,1,1,c,0.51,34.82,10.55,79.93,0,0
30,1,1,c,0.52,35.55,10.29,78.83,0,0
30,1,1,c,0.53,36.29,9.86,79.37,0,0
30,1,1,c,0.54,37.02,9.8,81.37,0,0
30,1,1,c,0.55,37.75,9.96,80.93,0,0
30,1,1,c,0.56,38.48,9.32,79.6,0,0
30,1,1,c,0.57,39.22,9.32,81.6,0,0
30,1,1,c,0.58,39.95,9.59,79.88,0,0
30,1,1,c,0.59,40.68,9.75,79.69,0,0
30,1,1,c,0.6,41.42,9.86,79.32,0,0
30,1,1,c,0.61,42.33,9.91,79.33,0,0
30,1,1,c,0.62,43.07,9.86,80.06,0,0
30,1,1,c,0.63,43.8,10.07,79.21,0,0
30,1,1,c,0.64,44.53,10.82,76.87,0,0
30,1,1,c,0.65,44.9,12,69.71,0,0
30,1,1,c,0.66,45.27,13.61,56.29,0,0
30,1,1,c,0.67,45.27,15.11,40.03,0,0
30,1,1,c,0.68,45.27,15.96,24.32,0,0
30,1,1,e,0.69,45.08,15.96,0,0,0
30,1,1,e,0.7,45.08,16.66,0,0,0
30,1,1,e,0.71,44.72,18.54,-7.24,0,0
30,1,1,e,0.72,44.35,20.41,-18.23,0,0
30,1,1,e,0.73,43.98,22.07,-31.05,0,0
30,1,1,e,0.74,43.43,23.04,-40.35,0,0
30,1,1,e,0.75,42.88,23.36,-48.52,0,0
30,1,1,e,0.76,42.33,23.09,-53.21,0,0
30,1,1,e,0.77,41.78,22.66,-58.18,0,0
30,1,1,e,0.78,41.05,22.82,-62.77,0,0
30,1,1,e,0.79,40.5,22.77,-64.67,0,0
30,1,1,e,0.8,39.95,23.25,-68.93,0,0
30,1,1,e,0.81,39.22,23.68,-70.28,0,0
30,1,1,e,0.82,38.48,23.73,-70.8,0,0
30,1,1,e,0.83,37.75,23.89,-73.14,0,0
30,1,1,e,0.84,37.02,24,-73.98,0,0
30,1,1,e,0.85,36.47,24,-75.68,0,0
30,1,1,e,0.86,35.55,23.68,-76.96,0,0
30,1,1,e,0.87,35,23.36,-75.41,0,0
30,1,1,e,0.88,34.27,23.09,-75.46,0,0
30,1,1,e,0.89,33.35,22.71,-76.32,0,0
30,1,1,e,0.9,32.62,22.82,-77.79,0,0
30,1,1,e,0.91,31.89,22.77,-78.41,0,0
30,1,1,e,0.92,31.34,23.04,-80.56,0,0
30,1,1,e,0.93,30.42,22.93,-79.13,0,0
30,1,1,e,0.94,29.69,23.09,-77.9,0,0
30,1,1,e,0.95,28.96,23.25,-79.53,0,0
30,1,1,e,0.96,28.22,23.2,-79.81,0,0
30,1,1,e,0.97,27.49,23.09,-80.4,0,0
30,1,1,e,0.98,26.76,22.77,-81.93,0,0
30,1,1,e,0.99,26.02,22.39,-79.31,0,0
30,1,1,e,1,25.29,22.18,-79.88,0,0
30,1,1,e,1.01,24.56,22.23,-80.75,0,0
30,1,1,e,1.02,23.82,22.23,-80.15,0,0
30,1,1,e,1.03,22.91,22.23,-79.18,0,0
30,1,1,e,1.04,22.17,21.8,-79.09,0,0
30,1,1,e,1.05,21.44,20.84,-78.71,0,0
30,1,1,e,1.06,20.71,19.77,-80.22,0,0
30,1,1,e,1.07,19.98,18.75,-78.65,0,0
30,1,1,e,1.08,19.06,18.86,-81.05,0,0
30,1,1,e,1.09,18.33,19.77,-79.99,0,0
30,1,1,e,1.1,17.59,20.3,-78.76,0,0
30,1,1,e,1.11,16.86,19.45,-80.16,0,0
30,1,1,e,1.12,16.13,17.46,-79,0,0
30,1,1,e,1.13,15.39,15.05,-81.09,0,0
30,1,1,e,1.14,14.66,12.43,-83.39,0,0
30,1,1,e,1.15,13.74,10.66,-83.29,0,0
30,1,1,e,1.16,13.01,9.59,-82.12,0,0
30,1,1,e,1.17,12.1,8.79,-80.71,0,0
30,1,1,e,1.18,11.36,8.57,-82.85,0,0
30,1,1,e,1.19,10.63,8.95,-83.76,0,0
30,1,1,e,1.2,9.9,9.64,-82.89,0,0
30,1,1,e,1.21,9.16,9.96,-82.97,0,0
30,1,1,e,1.22,8.25,9.7,-80.22,0,0
30,1,1,e,1.23,7.51,8.57,-81.12,0,0
30,1,1,e,1.24,6.78,7.5,-80.64,0,0
30,1,1,e,1.25,5.86,7.45,-82.08,0,0
30,1,1,e,1.26,5.13,8.46,-82.29,0,0
30,1,1,e,1.27,4.4,10.39,-80.83,0,0
30,1,1,e,1.28,3.67,12.32,-82.26,0,0
30,1,1,e,1.29,2.93,14.14,-80.23,0,0
30,1,1,e,1.3,2.2,14.79,-79.42,0,0
30,1,1,e,1.31,1.47,14.41,-80.6,0,0
30,1,1,e,1.32,0.73,14.57,-78.85,0,0
30,1,1,e,1.33,0,15.59,-79.88,0,0
30,1,1,e,1.34,-0.73,17.63,-79.43,0,0
30,1,1,e,1.35,-1.47,20.25,-77.26,0,0
30,1,1,e,1.36,-2.02,22.07,-71.44,0,0
30,1,1,e,1.37,-2.38,22.55,-60.42,0,0
