Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
31,1,1,c,0.01,0,3.7,0,0,0
31,1,1,c,0.02,0,3.91,0,0,0
31,1,1,c,0.03,0,4.45,0,0,0
31,1,1,c,0.04,0.37,6,4.04,0,0
31,1,1,c,0.05,0.73,7.77,13.49,0,0
31,1,1,c,0.06,1.1,9.64,27.07,0,0
31,1,1,c,0.07,1.47,11.36,39.59,0,0
31,1,1,c,0.08,2.2,12.8,48.06,0,0
31,1,1,c,0.09,2.75,13.93,54.86,0,0
31,1,1,c,0.1,3.3,14.46,60.84,0,0
31,1,1,c,0.11,4.03,14.63,63.63,0,0
31,1,1,c,0.12,4.58,14.41,66.96,0,0
31,1,1,c,0.13,5.31,14.14,70.67,0,0
31,1,1,c,0.14,5.86,13.98,73.97,0,0
31,1,1,c,0.15,6.78,14.04,74.36,0,0
31,1,1,c,0.16,7.51,13.93,74.66,0,0
31,1,1,c,0.17,8.25,13.66,75.02,0,0
31,1,1,c,0.18,8.98,13.23,74.58,0,0
31,1,1,c,0.19,9.71,12.48,75.45,0,0
31,1,1,c,0.2,10.45,11.68,77.25,0,0
31,1,1,c,0.21,11.36,11.04,79.52,0,0
31,1,1,c,0.22,12.1,10.82,82.14,0,0
31,1,1,c,0.23,12.83,11.04,81.53,0,0
31,1,1,c,0.24,13.56,11.36,81.12,0,0
31,1,1,c,0.25,14.29,11.14,82.51,0,0
31,1,1,c,0.26,15.21,11.2,81.53,0,0
31,1,1,c,0.27,15.94,11.2,82.1,0,0
31,1,1,c,0.28,16.68,11.09,80.74,0,0
31,1,1,c,0.29,17.41,11.14,81.18,0,0
31,1,1,c,0.3,18.33,11.52,81.29,0,0
31,1,1,c,0.31,19.06,12.21,81.91,0,0
31,1,1,c,0.32,19.79,12.75,83.25,0,0
31,1,1,c,0.33,20.53,12.86,81.77,0,0
31,1,1,c,0.34,21.44,12.96,82.41,0,0
31,1,1,c,0.35,22.17,13.61,81.16,0,0
31,1,1,c,0.36,22.91,13.55,81.22,0,0
31,1,1,c,0.37,23.64,13.29,80.91,0,0
31,1,1,c,0.38,24.56,13.18,81.04,0,0
31,1,1,c,0.39,25.29,13.07,81.47,0,0
31,1,1,c,0.4,26.02,12.75,81.79,0,0
31,1,1,c,0.41,26.76,12.91,80.68,0,0
31,1,1,c,0.42,27.49,13.02,83.33,0,0
31,1,1,c,0.43,28.22,12.96,81.62,0,0
31,1,1,c,0.44,29.14,12.96,81.22,0,0
31,1,1,c,0.45,29.87,12.75,80.09,0,0
31,1,1,c,0.46,30.6,12.11,78.92,0,0
31,1,1,c,0.47,31.34,11.73,79.36,0,0
31,1,1,c,0.48,32.07,11.89,78.71,0,0
31,1,1,c,0.49,32.8,12.16,79.16,0,0
31,1,1,c,0.5,33.54,12.43,79.38,0,0
31,1,1,c,0.51,34.27,12.48,78.28,0,0
31,1,1,c,0.52,35.19,12.43,78.97,0,0
31,1,1,c,0.53,35.92,12.21,79.67,0,0
31,1,1,c,0.54,36.65,12.11,78.46,0,0
31,1,1,c,0.55,37.39,12.16,80.86,0,0
31,1,1,c,0.56,38.12,12.21,79.67,0,0
31,1,1,c,0.57,38.85,12.11,79.56,0,0
31,1,1,c,0.58,39.58,12.11,80.99,0,0
31,1,1,c,0.59,40.32,11.89,80.46,0,0
31,1,1,c,0.6,41.05,11.95,81.06,0,0
31,1,1,c,0.61,41.97,12.05,81.07,0,0
31,1,1,c,0.62,42.7,11.95,79.83,0,0
31,1,1,c,0.63,43.43,11.73,79.75,0,0
31,1,1,c,0.64,43.98,11.84,79.41,0,0
31,1,1,c,0.65,44.9,11.84,78.44,0,0
31,1,1,c,0.66,45.63,11.68,79.13,0,0
31,1,1,c,0.67,46.36,11.63,77.36,0,0
31,1,1,c,0.68,47.28,11.63,78.86,0,0
31,1,1,c,0.69,48.01,11.89,78.73,0,0
31,1,1,c,0.7,48.56,12.11,78.54,0,0
31,1,1,c,0.71,49.3,12.27,75.92,0,0
31,1,1,c,0.72,49.85,13.55,69.17,0,0
31,1,1,c,0.73,50.21,15.16,55.58,0,0
31,1,1,c,0.74,50.21,17.63,40.8,0,0
31,1,1,c,0.75,50.21,18.59,26.26,0,0
31,1,1,e,0.76,50.03,18.96,0,0,0
31,1,1,e,0.77,49.85,19.71,-2.87,0,0
31,1,1,e,0.78,49.48,19.98,-8.99,0,0
31,1,1,e,0.79,49.11,20.63,-19.5,0,0
31,1,1,e,0.8,48.75,21.32,-30.99,0,0
31,1,1,e,0.81,48.38,21.8,-41.04,0,0
31,1,1,e,0.82,47.83,22.13,-47.38,0,0
31,1,1,e,0.83,47.28,22.02,-53.7,0,0
31,1,1,e,0.84,46.55,22.29,-57.04,0,0
31,1,1,e,0.85,46,22.5,-60.33,0,0
31,1,1,e,0.86,45.45,22.93,-64.7,0,0
31,1,1,e,0.87,44.72,23.46,-67.22,0,0
31,1,1,e,0.88,43.98,23.84,-67.19,0,0
31,1,1,e,0.89,43.43,23.84,-68.97,0,0
31,1,1,e,0.9,42.7,23.46,-71,0,0
31,1,1,e,0.91,41.97,22.39,-72.76,0,0
31,1,1,e,0.92,41.42,21.11,-73.94,0,0
31,1,1,e,0.93,40.5,20.63,-76.59,0,0
31,1,1,e,0.94,39.77,21.11,-78.72,0,0
31,1,1,e,0.95,39.03,22.07,-79.05,0,0
31,1,1,e,0.96,38.3,22.98,-78.74,0,0
