Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
46,1,1,c,0.01,0,6,0,0,0
46,1,1,c,0.02,0.18,8.73,0,0,0
46,1,1,c,0.03,0.18,10.88,0,0,0
46,1,1,c,0.04,0.55,11.41,4.05,0,0
46,1,1,c,0.05,0.92,10.71,14.26,0,0
46,1,1,c,0.06,1.28,10.29,27.8,0,0
46,1,1,c,0.07,1.83,11.04,41.79,0,0
46,1,1,c,0.08,2.38,12.37,48.33,0,0
46,1,1,c,0.09,2.93,13.71,55.26,0,0
46,1,1,c,0.1,3.48,14.25,59.37,0,0
46,1,1,c,0.11,4.21,14.09,63.95,0,0
46,1,1,c,0.12,4.95,13.82,66.89,0,0
46,1,1,c,0.13,5.5,13.66,71.06,0,0
46,1,1,c,0.14,6.23,13.88,73.92,0,0
46,1,1,c,0.15,6.96,14.04,75.72,0,0
46,1,1,c,0.16,7.7,14.63,76.31,0,0
46,1,1,c,0.17,8.43,14.79,77.35,0,0
46,1,1,c,0.18,9.16,14.89,78.17,0,0
46,1,1,c,0.19,9.9,14.52,80.48,0,0
46,1,1,c,0.2,10.81,14.68,80.88,0,0
46,1,1,c,0.21,11.55,14.63,82.77,0,0
46,1,1,c,0.22,12.28,15.11,83.45,0,0
46,1,1,c,0.23,13.01,15.43,82.52,0,0
46,1,1,c,0.24,13.74,15.75,83.36,0,0
46,1,1,c,0.25,14.66,15.8,81.26,0,0
46,1,1,c,0.26,15.39,15.91,80.81,0,0
46,1,1,c,0.27,16.13,16.29,80.1,0,0
46,1,1,c,0.28,17.04,16.39,80.52,0,0
46,1,1,c,0.29,17.78,16.18,81.27,0,0
46,1,1,c,0.3,18.51,16.5,82.45,0,0
46,1,1,c,0.31,19.24,16.66,84.55,0,0
46,1,1,c,0.32,19.98,16.66,82.89,0,0
46,1,1,c,0.33,20.71,16.71,81.69,0,0
46,1,1,c,0.34,21.44,16.82,80.72,0,0
46,1,1,c,0.35,22.36,16.5,79.02,0,0
46,1,1,c,0.36,23.09,16.18,78.93,0,0
46,1,1,c,0.37,23.82,16.23,78.25,0,0
46,1,1,c,0.38,24.56,16.02,78.45,0,0
46,1,1,c,0.39,25.29,15.59,78.39,0,0
46,1,1,c,0.4,26.21,15.86,80.27,0,0
46,1,1,c,0.41,26.94,16.07,81.31,0,0
46,1,1,c,0.42,27.67,16.02,81.34,0,0
46,1,1,c,0.43,28.41,16.23,81.56,0,0
46,1,1,c,0.44,29.14,16.61,81.84,0,0
46,1,1,c,0.45,29.87,16.5,80.44,0,0
46,1,1,c,0.46,30.6,16.66,81.45,0,0
46,1,1,c,0.47,31.34,17.04,82.74,0,0
46,1,1,c,0.48,32.07,16.61,81.96,0,0
46,1,1,c,0.49,32.99,16.55,79.42,0,0
46,1,1,c,0.5,33.72,16.93,79.07,0,0
46,1,1,c,0.51,34.45,16.93,78.41,0,0
46,1,1,c,0.52,35.19,16.98,79.54,0,0
46,1,1,c,0.53,35.92,17.2,79.26,0,0
46,1,1,c,0.54,36.65,17.04,78.92,0,0
46,1,1,c,0.55,37.39,16.77,80.06,0,0
46,1,1,c,0.56,38.12,16.98,76.28,0,0
46,1,1,c,0.57,39.03,17.41,77.95,0,0
46,1,1,c,0.58,39.77,17.52,78.77,0,0
46,1,1,c,0.59,40.32,17.84,79.31,0,0
46,1,1,c,0.6,41.23,18,81.85,0,0
46,1,1,c,0.61,41.97,17.52,80.57,0,0
46,1,1,c,0.62,42.7,17.68,79.98,0,0
46,1,1,c,0.63,43.43,17.84,81.6,0,0
46,1,1,c,0.64,44.17,17.68,80.64,0,0
46,1,1,c,0.65,44.9,17.68,80.74,0,0
46,1,1,c,0.66,45.63,18,80.59,0,0
46,1,1,c,0.67,46.36,18.75,77.8,0,0
46,1,1,c,0.68,46.91,19.98,71.09,0,0
46,1,1,c,0.69,47.28,21.75,56.93,0,0
46,1,1,c,0.7,47.28,22.77,41.26,0,0
46,1,1,c,0.71,47.28,23.52,25.08,0,0
46,1,1,e,0.72,47.1,24.27,0,0,0
46,1,1,e,0.73,46.91,26.14,-0.43,0,0
46,1,1,e,0.74,46.73,28.82,-7.62,0,0
46,1,1,e,0.75,46.36,30.54,-17.23,0,0
46,1,1,e,0.76,46,30.91,-31.3,0,0
46,1,1,e,0.77,45.45,30.43,-40.24,0,0
46,1,1,e,0.78,44.9,29.68,-46.48,0,0
46,1,1,e,0.79,44.53,29.14,-51.94,0,0
46,1,1,e,0.8,43.8,29.41,-56.52,0,0
