Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
98,1,1,-,11,0,4.23,0,0,0
98,1,1,-,21,0,4.23,0,0,0
98,1,1,-,31,0,4.13,0,0,0
98,1,1,-,41,0,3.91,0,0,0
98,1,1,-,51,0,3.7,0,0,0
98,1,1,-,61,0,3.64,0,0,0
98,1,1,-,71,0,3.86,0,0,0
98,1,1,-,81,0,4.18,0,0,0
98,1,1,-,91,0,4.34,0,0,0
98,1,1,-,101,0,4.34,0,0,0
98,1,1,-,111,0,4.39,0,0,0
98,1,1,-,121,0,4.55,0,0,0
98,1,1,-,131,0,4.71,0,0,0
98,1,1,-,141,0,4.77,0,0,0
98,1,1,-,151,0,4.77,0,0,0
98,1,1,-,161,0,4.77,0,0,0
98,1,1,-,171,0,4.77,0,0,0
98,1,1,-,181,0,4.77,0,0,0
98,1,1,-,191,0,4.77,0,0,0
98,1,1,-,201,0,4.71,0,0,0
98,1,1,-,211,0,4.71,0,0,0
98,1,1,-,221,0,4.77,0,0,0
98,1,1,-,231,0,4.88,0,0,0
98,1,1,-,241,0,5.04,0,0,0
98,1,1,-,251,0,5.09,0,0,0
98,1,1,-,261,0,5.04,0,0,0
98,1,1,-,271,0,4.98,0,0,0
98,1,1,-,281,0,4.88,0,0,0
98,1,1,-,291,0,4.82,0,0,0
98,1,1,-,301,0,4.93,0,0,0
98,1,1,-,311,0,5.2,0,0,0
98,1,1,-,321,0,5.46,0,0,0
98,1,1,-,331,0,5.46,0,0,0
98,1,1,-,341,0,5.3,0,0,0
98,1,1,-,351,0,5.09,0,0,0
98,1,1,-,361,0,4.93,0,0,0
98,1,1,-,371,0,4.98,0,0,0
98,1,1,-,381,0,5.25,0,0,0
98,1,1,-,391,0,5.63,0,0,0
98,1,1,-,401,0,5.89,0,0,0
98,1,1,-,411,0,5.79,0,0,0
98,1,1,-,421,0,5.52,0,0,0
98,1,1,-,431,0,5.2,0,0,0
98,1,1,-,441,0,5.09,0,0,0
98,1,1,-,451,0,5.2,0,0,0
98,1,1,-,461,0,5.52,0,0,0
98,1,1,-,471,0,5.84,0,0,0
98,1,1,-,481,0,6,0,0,0
98,1,1,-,491,0,5.84,0,0,0
98,1,1,-,501,0,5.63,0,0,0
98,1,1,-,511,0,5.46,0,0,0
98,1,1,-,521,0,5.41,0,0,0
98,1,1,-,531,0,5.46,0,0,0
98,1,1,-,541,0,5.63,0,0,0
98,1,1,-,551,0,5.73,0,0,0
98,1,1,-,561,0,5.89,0,0,0
98,1,1,-,571,0,5.89,0,0,0
98,1,1,-,581,0,5.73,0,0,0
98,1,1,-,591,0,5.57,0,0,0
98,1,1,-,601,0,5.41,0,0,0
98,1,1,-,611,0,5.36,0,0,0
98,1,1,-,621,0,5.41,0,0,0
98,1,1,-,631,0,5.68,0,0,0
98,1,1,-,641,0,5.89,0,0,0
98,1,1,-,651,0,5.95,0,0,0
98,1,1,-,661,0,5.79,0,0,0
98,1,1,-,671,0,5.52,0,0,0
98,1,1,-,681,0,5.3,0,0,0
98,1,1,-,691,0,5.14,0,0,0
98,1,1,-,701,0,5.09,0,0,0
98,1,1,-,711,0,5.2,0,0,0
98,1,1,-,721,0,5.46,0,0,0
98,1,1,-,731,0,5.63,0,0,0
98,1,1,-,741,0,5.57,0,0,0
98,1,1,-,751,0,5.36,0,0,0
98,1,1,-,761,0,5.2,0,0,0
98,1,1,-,771,0,5.04,0,0,0
98,1,1,-,781,0,5.09,0,0,0
