Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
110,1,1,c,0.01,0,4.02,0,0,0
110,1,1,c,0.02,0,4.66,0,0,0
110,1,1,c,0.03,0.18,5.41,0,0,0
110,1,1,c,0.04,0.37,7.07,4.68,0,0
110,1,1,c,0.05,0.73,7.61,14.16,0,0
110,1,1,c,0.06,1.1,7.34,27.76,0,0
110,1,1,c,0.07,1.65,6.86,38.83,0,0
110,1,1,c,0.08,2.2,6.64,46.33,0,0
110,1,1,c,0.09,2.75,6.7,53.06,0,0
110,1,1,c,0.1,3.3,7.13,60.06,0,0
110,1,1,c,0.11,4.03,7.71,63.95,0,0
110,1,1,c,0.12,4.58,8.2,65.42,0,0
110,1,1,c,0.13,5.31,8.3,68.32,0,0
110,1,1,c,0.14,6.05,7.93,71.15,0,0
110,1,1,c,0.15,6.6,7.45,72.43,0,0
110,1,1,c,0.16,7.33,7.07,73.89,0,0
110,1,1,c,0.17,8.06,6.8,75.32,0,0
110,1,1,c,0.18,8.8,6.54,76.67,0,0
110,1,1,c,0.19,9.53,6.54,77.05,0,0
110,1,1,c,0.2,10.26,6.75,76.87,0,0
110,1,1,c,0.21,11,7.13,78.1,0,0
110,1,1,c,0.22,11.91,7.34,79.26,0,0
110,1,1,c,0.23,12.46,6.91,80.9,0,0
110,1,1,c,0.24,13.38,6.21,80.66,0,0
110,1,1,c,0.25,14.11,5.14,79.89,0,0
110,1,1,c,0.26,14.84,6.16,79.82,0,0
110,1,1,c,0.27,15.58,6.43,77.16,0,0
110,1,1,c,0.28,16.49,6.7,78.43,0,0
110,1,1,c,0.29,17.23,6.64,78.83,0,0
110,1,1,c,0.3,17.96,6.16,78.98,0,0
110,1,1,c,0.31,18.69,5.84,81.04,0,0
110,1,1,c,0.32,19.43,5.63,79.91,0,0
110,1,1,c,0.33,20.16,5.3,79.87,0,0
110,1,1,c,0.34,20.89,5.2,81.46,0,0
110,1,1,c,0.35,21.62,5.3,80.45,0,0
110,1,1,c,0.36,22.36,5.25,80.59,0,0
110,1,1,c,0.37,23.27,5.14,79.82,0,0
110,1,1,c,0.38,24.01,5.09,78.68,0,0
110,1,1,c,0.39,24.74,4.88,78.81,0,0
110,1,1,c,0.4,25.47,4.5,78.66,0,0
110,1,1,c,0.41,26.21,4.45,78.65,0,0
110,1,1,c,0.42,27.12,4.23,79.28,0,0
110,1,1,c,0.43,27.86,4.07,78.99,0,0
110,1,1,c,0.44,28.59,4.13,79.2,0,0
110,1,1,c,0.45,29.32,4.29,80.18,0,0
110,1,1,c,0.46,30.05,4.29,80.55,0,0
110,1,1,c,0.47,30.79,4.5,81.66,0,0
110,1,1,c,0.48,31.52,4.45,81.45,0,0
110,1,1,c,0.49,32.25,4.23,80.51,0,0
110,1,1,c,0.5,32.99,4.07,80.7,0,0
110,1,1,c,0.51,33.72,3.96,79.09,0,0
110,1,1,c,0.52,34.64,3.75,79.51,0,0
110,1,1,c,0.53,35.37,3.7,79.55,0,0
110,1,1,c,0.54,35.92,3.38,78.17,0,0
110,1,1,c,0.55,36.65,2.68,72.52,0,0
110,1,1,c,0.56,37.02,2.89,61.81,0,0
110,1,1,c,0.57,37.2,4.29,46.17,0,0
110,1,1,c,0.58,37.2,6.21,30.71,0,0
110,1,1,e,0.59,37.02,6.54,0,0,0
110,1,1,e,0.6,37.02,6.96,0,0,0
110,1,1,e,0.61,36.65,7.77,-2.58,0,0
110,1,1,e,0.62,36.47,8.52,-11.33,0,0
110,1,1,e,0.63,36.1,8.68,-22.34,0,0
110,1,1,e,0.64,35.55,8.89,-36.05,0,0
110,1,1,e,0.65,35.19,8.89,-43.85,0,0
110,1,1,e,0.66,34.45,8.63,-49.93,0,0
110,1,1,e,0.67,34.09,8.84,-55.6,0,0
110,1,1,e,0.68,33.35,9.21,-59.58,0,0
110,1,1,e,0.69,32.62,9.64,-63.17,0,0
110,1,1,e,0.7,32.07,9.91,-65.54,0,0
110,1,1,e,0.71,31.34,10.29,-69.73,0,0
110,1,1,e,0.72,30.79,10.71,-70.57,0,0
110,1,1,e,0.73,30.05,10.88,-71.93,0,0
110,1,1,e,0.74,29.32,10.66,-74.06,0,0
110,1,1,e,0.75,28.59,10.66,-76.08,0,0
110,1,1,e,0.76,27.86,10.55,-76.24,0,0
110,1,1,e,0.77,27.12,10.77,-76.56,0,0
110,1,1,e,0.78,26.39,10.82,-76.9,0,0
110,1,1,e,0.79,25.66,11.57,-77.8,0,0
110,1,1,e,0.8,24.92,12.27,-80.08,0,0
110,1,1,e,0.81,24.19,12.91,-79.81,0,0
110,1,1,e,0.82,23.46,13.39,-80.1,0,0
110,1,1,e,0.83,22.72,13.71,-80.04,0,0
110,1,1,e,0.84,21.99,13.98,-79.27,0,0
110,1,1,e,0.85,21.26,14.14,-79.47,0,0
110,1,1,e,0.86,20.53,14.2,-79.81,0,0
110,1,1,e,0.87,19.79,14.36,-79.29,0,0
110,1,1,e,0.88,18.88,14.41,-80.18,0,0
110,1,1,e,0.89,18.14,14.63,-78.97,0,0
110,1,1,e,0.9,17.41,14.63,-78.47,0,0
110,1,1,e,0.91,16.68,14.52,-77.42,0,0
110,1,1,e,0.92,15.94,14.14,-76.5,0,0
110,1,1,e,0.93,15.21,13.98,-77.36,0,0
110,1,1,e,0.94,14.48,13.82,-78.06,0,0
110,1,1,e,0.95,13.56,13.39,-78.9,0,0
110,1,1,e,0.96,12.83,12.91,-79.53,0,0
110,1,1,e,0.97,12.1,12.37,-79.95,0,0
110,1,1,e,0.98,11.36,12.43,-80.63,0,0
110,1,1,e,0.99,10.63,12.7,-81.05,0,0
110,1,1,e,1,9.9,13.29,-80.24,0,0
110,1,1,e,1.01,9.16,13.71,-80.03,0,0
110,1,1,e,1.02,8.43,13.88,-79.66,0,0
110,1,1,e,1.03,7.7,13.98,-78.53,0,0
110,1,1,e,1.04,6.78,13.77,-78.82,0,0
110,1,1,e,1.05,6.05,14.09,-79.97,0,0
110,1,1,e,1.06,5.31,14.68,-79.55,0,0
110,1,1,e,1.07,4.58,15.16,-78.93,0,0
110,1,1,e,1.08,3.67,15.8,-78.63,0,0
110,1,1,e,1.09,2.93,16.39,-80.1,0,0
110,1,1,e,1.1,2.2,16.55,-79.68,0,0
110,1,1,e,1.11,1.65,17.41,-79.2,0,0
110,1,1,e,1.12,0.73,17.79,-80.29,0,0
110,1,1,e,1.13,0,18.11,-79.52,0,0
110,1,1,e,1.14,-0.73,17.79,-78.41,0,0
110,1,1,e,1.15,-1.47,17.68,-77.9,0,0
110,1,1,e,1.16,-2.02,17.2,-70.94,0,0
110,1,1,e,1.17,-2.57,16.23,-62.58,0,0
110,1,1,e,1.18,-2.57,14.89,-50.7,0,0
110,1,1,e,1.19,-2.57,14.3,-33.05,0,0
110,1,1,e,1.2,-2.57,13.66,-19.67,0,0
110,1,1,e,1.21,-2.57,13.39,-8.86,0,0
110,1,2,c,1.22,-2.2,12.32,3.97,0,0
110,1,2,c,1.23,-1.83,11.36,12.51,0,0
110,1,2,c,1.24,-1.47,11.04,25.16,0,0
110,1,2,c,1.25,-1.1,10.88,39.27,0,0
110,1,2,c,1.26,-0.55,10.88,45.73,0,0
110,1,2,c,1.27,0,10.88,54.08,0,0
110,1,2,c,1.28,0.73,11.04,57.36,0,0
110,1,2,c,1.29,1.28,10.66,62,0,0
110,1,2,c,1.3,1.83,10.5,65.83,0,0
110,1,2,c,1.31,2.57,10.55,68.46,0,0
110,1,2,c,1.32,3.3,11.04,70.33,0,0
110,1,2,c,1.33,4.03,11.41,73.17,0,0
110,1,2,c,1.34,4.76,11.46,75.86,0,0
110,1,2,c,1.35,5.5,11.09,78.66,0,0
110,1,2,c,1.36,6.23,10.5,77.92,0,0
110,1,2,c,1.37,6.96,10.5,78.74,0,0
110,1,2,c,1.38,7.7,10.66,82.22,0,0
110,1,2,c,1.39,8.43,10.71,81.85,0,0
110,1,2,c,1.4,9.16,10.88,80.27,0,0
110,1,2,c,1.41,9.9,10.93,80.99,0,0
110,1,2,c,1.42,10.63,10.88,79.55,0,0
110,1,2,c,1.43,11.55,10.61,81.72,0,0
110,1,2,c,1.44,12.28,10.13,80.91,0,0
110,1,2,c,1.45,13.01,9.8,80.46,0,0
110,1,2,c,1.46,13.93,9.54,79.75,0,0
110,1,2,c,1.47,14.66,9.32,79.8,0,0
110,1,2,c,1.48,15.39,9.16,81.76,0,0
110,1,2,c,1.49,16.13,9.05,82.14,0,0
110,1,2,c,1.5,16.86,8.79,82.95,0,0
110,1,2,c,1.51,17.59,8.09,83.79,0,0
110,1,2,c,1.52,18.51,7.82,82.37,0,0
110,1,2,c,1.53,19.24,7.98,80.19,0,0
110,1,2,c,1.54,19.98,7.66,80.48,0,0
110,1,2,c,1.55,20.71,7.82,79.51,0,0
110,1,2,c,1.56,21.62,7.77,80.1,0,0
110,1,2,c,1.57,22.36,7.5,79.04,0,0
110,1,2,c,1.58,23.09,7.18,78.82,0,0
110,1,2,c,1.59,23.82,7.39,79.1,0,0
110,1,2,c,1.6,24.56,7.18,79.05,0,0
110,1,2,c,1.61,25.29,7.23,80.29,0,0
110,1,2,c,1.62,26.02,7.45,81.09,0,0
110,1,2,c,1.63,26.76,7.34,81.32,0,0
110,1,2,c,1.64,27.49,7.13,82.05,0,0
110,1,2,c,1.65,28.22,7.02,80.36,0,0
110,1,2,c,1.66,28.96,6.8,79.23,0,0
110,1,2,c,1.67,29.69,6.64,78.67,0,0
110,1,2,c,1.68,30.42,6.43,77.66,0,0
110,1,2,c,1.69,31.15,5.84,76.87,0,0
110,1,2,c,1.7,31.89,5.52,76.3,0,0
110,1,2,c,1.71,32.62,5.2,75.84,0,0
110,1,2,c,1.72,33.35,4.71,76.35,0,0
110,1,2,c,1.73,34.09,4.45,77.06,0,0
110,1,2,c,1.74,34.82,4.29,77.06,0,0
110,1,2,c,1.75,35.55,4.34,76.4,0,0
110,1,2,c,1.76,36.29,4.5,75.13,0,0
110,1,2,c,1.77,36.84,5.52,67.84,0,0
110,1,2,c,1.78,37.02,6.43,56.66,0,0
110,1,2,c,1.79,37.02,8.09,39.43,0,0
110,1,2,c,1.8,37.02,8.89,22.73,0,0
110,1,2,c,1.81,37.02,9.27,11.5,0,0
110,1,2,e,1.82,36.84,10.02,0,0,0
110,1,2,e,1.83,36.47,10.66,-7.24,0,0
110,1,2,e,1.84,36.1,10.93,-18.18,0,0
110,1,2,e,1.85,35.74,10.93,-31.47,0,0
110,1,2,e,1.86,35.19,10.18,-42.47,0,0
110,1,2,e,1.87,34.64,9.64,-49.11,0,0
