Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
161,1,1,c,0.01,0,3.27,0,0,0
161,1,1,c,0.02,0,3.05,0,0,0
161,1,1,c,0.03,0.18,2.95,0,0,0
161,1,1,c,0.04,0.37,2.89,3.02,0,0
161,1,1,c,0.05,0.73,2.95,12.31,0,0
161,1,1,c,0.06,1.1,3,25.11,0,0
161,1,1,c,0.07,1.65,3.21,38.48,0,0
161,1,1,c,0.08,2.02,3.54,46.75,0,0
161,1,1,c,0.09,2.75,3.91,52.61,0,0
161,1,1,c,0.1,3.3,4.34,57.97,0,0
161,1,1,c,0.11,3.85,4.82,61.74,0,0
161,1,1,c,0.12,4.58,5.2,66.21,0,0
161,1,1,c,0.13,5.31,5.46,67.31,0,0
161,1,1,c,0.14,5.86,5.79,70.31,0,0
161,1,1,c,0.15,6.6,6.11,71.79,0,0
161,1,1,c,0.16,7.33,6.32,73.19,0,0
161,1,1,c,0.17,8.06,6.54,75.08,0,0
161,1,1,c,0.18,8.8,6.59,76.57,0,0
161,1,1,c,0.19,9.53,6.7,77.41,0,0
161,1,1,c,0.2,10.26,6.75,78.21,0,0
161,1,1,c,0.21,11,6.75,77.64,0,0
161,1,1,c,0.22,11.73,6.75,77.61,0,0
161,1,1,c,0.23,12.46,6.59,77.31,0,0
161,1,1,c,0.24,13.19,6.48,76,0,0
161,1,1,c,0.25,14.11,6.54,77.23,0,0
161,1,1,c,0.26,14.84,6.48,78.21,0,0
161,1,1,c,0.27,15.58,6.54,79.13,0,0
161,1,1,c,0.28,16.31,6.59,81.86,0,0
161,1,1,c,0.29,17.04,6.64,80.95,0,0
161,1,1,c,0.3,17.78,6.8,80.86,0,0
161,1,1,c,0.31,18.51,6.86,82.51,0,0
161,1,1,c,0.32,19.24,6.86,80.74,0,0
161,1,1,c,0.33,19.98,6.8,80.61,0,0
161,1,1,c,0.34,20.71,6.86,81.43,0,0
161,1,1,c,0.35,21.62,6.96,80.92,0,0
161,1,1,c,0.36,22.36,7.18,80.59,0,0
161,1,1,c,0.37,23.09,7.29,78.92,0,0
161,1,1,c,0.38,23.82,7.39,78.06,0,0
161,1,1,c,0.39,24.56,7.39,78.91,0,0
161,1,1,c,0.4,25.29,7.39,77.15,0,0
161,1,1,c,0.41,26.21,7.39,78.86,0,0
161,1,1,c,0.42,26.94,7.45,78.22,0,0
161,1,1,c,0.43,27.67,7.39,79.11,0,0
161,1,1,c,0.44,28.41,7.23,81.25,0,0
161,1,1,c,0.45,29.14,7.39,80.89,0,0
161,1,1,c,0.46,29.87,7.66,82.15,0,0
161,1,1,c,0.47,30.6,7.77,83.72,0,0
161,1,1,c,0.48,31.34,7.98,81.61,0,0
161,1,1,c,0.49,32.25,8.09,80.59,0,0
161,1,1,c,0.5,32.99,8.04,79.72,0,0
161,1,1,c,0.51,33.72,8.2,79.19,0,0
161,1,1,c,0.52,34.45,8.09,77.97,0,0
161,1,1,c,0.53,35,8.79,73.73,0,0
161,1,1,c,0.54,35.37,10.29,63.61,0,0
161,1,1,c,0.55,35.55,11.25,46.76,0,0
161,1,1,c,0.56,35.55,12.37,31.8,0,0
161,1,1,e,0.57,35.37,12.8,0,0,0
161,1,1,e,0.58,35.37,13.61,0,0,0
161,1,1,e,0.59,35.19,15.05,-2.4,0,0
161,1,1,e,0.6,34.82,16.23,-11.46,0,0
161,1,1,e,0.61,34.45,16.88,-23.16,0,0
161,1,1,e,0.62,33.9,17.25,-36.23,0,0
161,1,1,e,0.63,33.54,16.61,-44.86,0,0
161,1,1,e,0.64,32.99,15.59,-49.41,0,0
161,1,1,e,0.65,32.44,15.11,-55.71,0,0
161,1,1,e,0.66,31.7,15.48,-59.23,0,0
161,1,1,e,0.67,31.15,15.75,-62.63,0,0
161,1,1,e,0.68,30.42,15.86,-64.65,0,0
161,1,1,e,0.69,29.87,15.54,-68.28,0,0
161,1,1,e,0.7,29.14,15.27,-70.11,0,0
161,1,1,e,0.71,28.41,15.11,-71.46,0,0
161,1,1,e,0.72,27.67,15.05,-73.43,0,0
161,1,1,e,0.73,26.94,14.95,-75.93,0,0
161,1,1,e,0.74,26.39,15,-76.3,0,0
161,1,1,e,0.75,25.47,14.68,-75.99,0,0
161,1,1,e,0.76,24.74,14.79,-77.61,0,0
161,1,1,e,0.77,24.01,14.95,-77.24,0,0
161,1,1,e,0.78,23.27,15.11,-79.14,0,0
161,1,1,e,0.79,22.54,15.59,-81.75,0,0
161,1,1,e,0.8,21.81,16.07,-80.64,0,0
161,1,1,e,0.81,21.07,16.5,-79.64,0,0
161,1,1,e,0.82,20.34,16.55,-80.46,0,0
161,1,1,e,0.83,19.61,16.5,-80.24,0,0
161,1,1,e,0.84,18.88,16.34,-80.99,0,0
161,1,1,e,0.85,18.14,15.91,-80.12,0,0
161,1,1,e,0.86,17.41,15.8,-78.01,0,0
161,1,1,e,0.87,16.49,16.13,-78.79,0,0
161,1,1,e,0.88,15.76,16.88,-78.67,0,0
161,1,1,e,0.89,15.03,17.63,-78.57,0,0
161,1,1,e,0.9,14.29,18.16,-78.62,0,0
161,1,1,e,0.91,13.56,18.32,-78.29,0,0
161,1,1,e,0.92,12.83,18.32,-79.76,0,0
161,1,1,e,0.93,11.91,18.48,-80.1,0,0
161,1,1,e,0.94,11.18,18.59,-80.14,0,0
161,1,1,e,0.95,10.45,18.91,-81.18,0,0
161,1,1,e,0.96,9.71,19.07,-79.16,0,0
161,1,1,e,0.97,8.98,18.96,-78.94,0,0
161,1,1,e,0.98,8.25,19.02,-80.08,0,0
161,1,1,e,0.99,7.51,19.02,-80.29,0,0
161,1,1,e,1,6.78,19.23,-81.13,0,0
161,1,1,e,1.01,6.05,20.09,-82.31,0,0
161,1,1,e,1.02,5.31,21.11,-81.33,0,0
161,1,1,e,1.03,4.58,21.38,-78.82,0,0
161,1,1,e,1.04,3.85,21,-78.11,0,0
161,1,1,e,1.05,2.93,20.3,-78.47,0,0
161,1,1,e,1.06,2.2,19.77,-80.1,0,0
161,1,1,e,1.07,1.47,19.66,-79.17,0,0
161,1,1,e,1.08,0.73,19.55,-78.17,0,0
161,1,1,e,1.09,0,19.82,-78.18,0,0
161,1,1,e,1.1,-0.73,19.98,-77.69,0,0
161,1,1,e,1.11,-1.47,18.43,-76.49,0,0
161,1,1,e,1.12,-2.02,16.23,-72.92,0,0
161,1,1,e,1.13,-2.38,13.55,-63.32,0,0
161,1,1,e,1.14,-2.75,11.36,-48.38,0,0
161,1,1,e,1.15,-2.75,9.64,-35.47,0,0
161,1,2,c,1.16,-2.57,8.73,0,0,0
161,1,2,c,1.17,-2.57,8.09,0,0,0
161,1,2,c,1.18,-2.38,7.45,4.93,0,0
161,1,2,c,1.19,-2.02,6.7,12.65,0,0
161,1,2,c,1.2,-1.65,6.16,24.07,0,0
161,1,2,c,1.21,-1.28,5.73,34.7,0,0
161,1,2,c,1.22,-0.73,5.25,42.81,0,0
161,1,2,c,1.23,-0.18,5.25,51.32,0,0
161,1,2,c,1.24,0.37,5.41,54.2,0,0
161,1,2,c,1.25,0.92,5.84,60.67,0,0
161,1,2,c,1.26,1.65,6.05,62.88,0,0
161,1,2,c,1.27,2.2,6.64,63.97,0,0
161,1,2,c,1.28,2.93,6.96,65.54,0,0
161,1,2,c,1.29,3.67,7.39,69.96,0,0
161,1,2,c,1.3,4.4,7.34,71.8,0,0
161,1,2,c,1.31,4.95,7.45,73.77,0,0
161,1,2,c,1.32,5.86,7.71,74.97,0,0
161,1,2,c,1.33,6.41,7.93,76.81,0,0
161,1,2,c,1.34,7.15,8.41,78.38,0,0
161,1,2,c,1.35,8.06,8.57,80.27,0,0
161,1,2,c,1.36,8.8,8.52,79.3,0,0
161,1,2,c,1.37,9.53,8.46,77.84,0,0
161,1,2,c,1.38,10.26,8.3,78.78,0,0
161,1,2,c,1.39,11,8.2,78.31,0,0
161,1,2,c,1.4,11.73,8.3,78.97,0,0
161,1,2,c,1.41,12.64,8.41,78.55,0,0
161,1,2,c,1.42,13.38,8.41,78.56,0,0
161,1,2,c,1.43,14.11,8.46,79.01,0,0
161,1,2,c,1.44,14.84,8.36,79.42,0,0
161,1,2,c,1.45,15.58,8.25,80,0,0
161,1,2,c,1.46,16.31,8.2,81.99,0,0
161,1,2,c,1.47,17.04,8.25,81.68,0,0
161,1,2,c,1.48,17.78,8.46,82.32,0,0
161,1,2,c,1.49,18.51,8.41,82.6,0,0
161,1,2,c,1.5,19.24,8.46,81.17,0,0
161,1,2,c,1.51,20.16,8.36,78.46,0,0
161,1,2,c,1.52,20.89,8.46,79.08,0,0
161,1,2,c,1.53,21.62,8.79,78.69,0,0
161,1,2,c,1.54,22.36,9.21,79.88,0,0
161,1,2,c,1.55,23.09,9.38,78.28,0,0
161,1,2,c,1.56,23.82,9.38,77.72,0,0
161,1,2,c,1.57,24.74,9.05,79.43,0,0
161,1,2,c,1.58,25.47,8.73,79.36,0,0
161,1,2,c,1.59,26.21,8.52,81.21,0,0
161,1,2,c,1.6,26.94,8.36,81.19,0,0
161,1,2,c,1.61,27.67,8.04,80.32,0,0
161,1,2,c,1.62,28.41,7.88,82.4,0,0
161,1,2,c,1.63,29.14,7.98,81.57,0,0
161,1,2,c,1.64,29.87,8.14,81.89,0,0
161,1,2,c,1.65,30.79,8.2,80.39,0,0
161,1,2,c,1.66,31.52,8.09,79.11,0,0
161,1,2,c,1.67,32.25,7.82,78.98,0,0
161,1,2,c,1.68,32.99,7.5,78.68,0,0
161,1,2,c,1.69,33.72,7.45,77.16,0,0
161,1,2,c,1.7,34.45,7.39,76.52,0,0
161,1,2,c,1.71,35,8.3,72.93,0,0
161,1,2,c,1.72,35.37,9.59,63.09,0,0
161,1,2,c,1.73,35.55,10.34,46.39,0,0
161,1,2,c,1.74,35.55,10.82,31.61,0,0
161,1,2,e,1.75,35.37,10.61,0,0,0
161,1,2,e,1.76,35.37,11.14,0,0,0
161,1,2,e,1.77,35,12.75,-3.27,0,0
161,1,2,e,1.78,34.82,14.14,-12.02,0,0
161,1,2,e,1.79,34.45,14.89,-23.89,0,0
161,1,2,e,1.8,33.9,15.05,-36.74,0,0
161,1,2,e,1.81,33.54,14.25,-45.57,0,0
161,1,2,e,1.82,32.8,13.61,-50.42,0,0
161,1,2,e,1.83,32.44,13.61,-57.61,0,0
161,1,2,e,1.84,31.7,14.36,-59.36,0,0
161,1,2,e,1.85,31.15,14.95,-62.61,0,0
161,1,2,e,1.86,30.42,15.48,-63.04,0,0
161,1,2,e,1.87,29.87,15.75,-67.99,0,0
161,1,2,e,1.88,29.14,16.13,-70.39,0,0
161,1,2,e,1.89,28.41,16.66,-71.1,0,0
161,1,2,e,1.9,27.67,16.82,-72.2,0,0
161,1,2,e,1.91,26.94,17.04,-73.62,0,0
161,1,2,e,1.92,26.21,17.04,-74.7,0,0
161,1,2,e,1.93,25.47,16.82,-75.2,0,0
161,1,2,e,1.94,24.74,17.2,-75.55,0,0
161,1,2,e,1.95,24.01,17.68,-76.43,0,0
161,1,2,e,1.96,23.27,18.21,-76.42,0,0
161,1,2,e,1.97,22.54,18.8,-76.85,0,0
161,1,2,e,1.98,21.81,19.29,-75.75,0,0
161,1,2,e,1.99,21.07,19.55,-77.5,0,0
161,1,2,e,2,20.34,19.66,-79.4,0,0
161,1,2,e,2.01,19.61,19.5,-79.89,0,0
161,1,2,e,2.02,18.88,19.07,-80.28,0,0
161,1,2,e,2.03,18.14,18.16,-81.07,0,0
161,1,2,e,2.04,17.41,17.36,-80.04,0,0
161,1,2,e,2.05,16.49,17.14,-80.94,0,0
161,1,2,e,2.06,15.76,17.09,-79.68,0,0
161,1,2,e,2.07,15.03,17.46,-79.41,0,0
161,1,2,e,2.08,14.29,17.89,-78.28,0,0
161,1,2,e,2.09,13.38,17.95,-79.31,0,0
161,1,2,e,2.1,12.64,17.73,-80.01,0,0
161,1,2,e,2.11,11.91,17.63,-79.98,0,0
161,1,2,e,2.12,11.18,17.57,-80.04,0,0
161,1,2,e,2.13,10.45,17.57,-81.4,0,0
161,1,2,e,2.14,9.71,17.57,-81.87,0,0
161,1,2,e,2.15,8.8,17.14,-80.63,0,0
161,1,2,e,2.16,8.06,17.04,-80.32,0,0
161,1,2,e,2.17,7.33,16.98,-79.01,0,0
161,1,2,e,2.18,6.6,17.14,-81.09,0,0
161,1,2,e,2.19,5.86,18.05,-79.35,0,0
161,1,2,e,2.2,4.95,18.7,-80.75,0,0
161,1,2,e,2.21,4.21,18,-79.46,0,0
161,1,2,e,2.22,3.48,16.45,-79.15,0,0
161,1,2,e,2.23,2.75,14.68,-81.12,0,0
161,1,2,e,2.24,2.02,13.55,-80.58,0,0
161,1,2,e,2.25,1.28,13.07,-81.26,0,0
161,1,2,e,2.26,0.55,12.86,-82.98,0,0
161,1,2,e,2.27,-0.37,13.02,-81.49,0,0
161,1,2,e,2.28,-1.1,12.96,-81.06,0,0
161,1,2,e,2.29,-1.65,11.3,-79.25,0,0
161,1,2,e,2.3,-2.2,9.75,-70.59,0,0
161,1,2,e,2.31,-2.57,7.98,-57.69,0,0
161,1,2,e,2.32,-2.75,6.91,-43.17,0,0
161,1,2,e,2.33,-2.75,6.7,-29.84,0,0
161,1,3,c,2.34,-2.57,6.64,0,0,0
161,1,3,c,2.35,-2.38,7.23,2.65,0,0
161,1,3,c,2.36,-2.2,7.82,7.91,0,0
161,1,3,c,2.37,-1.83,8.2,18.18,0,0
161,1,3,c,2.38,-1.47,8.14,28.71,0,0
