Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
178,1,1,-,0.01,0,3.54,0,0,0
178,1,1,-,0.02,0,4.02,0,0,0
178,1,1,-,0.03,0,4.45,0,0,0
178,1,1,-,0.04,0,4.71,0,0,0
178,1,1,-,0.05,0,4.93,0,0,0
178,1,1,-,0.06,0,5.2,0,0,0
178,1,1,-,0.07,0,5.52,0,0,0
178,1,1,-,0.08,0,5.95,0,0,0
178,1,1,-,0.09,0,6.54,0,0,0
178,1,1,-,0.1,0,7.13,0,0,0
178,1,1,-,0.11,0,7.77,0,0,0
178,1,1,-,0.12,0,8.2,0,0,0
178,1,1,-,0.13,0,8.41,0,0,0
178,1,1,-,0.14,0,8.46,0,0,0
178,1,1,-,0.15,0,8.57,0,0,0
178,1,1,-,0.16,0,8.73,0,0,0
178,1,1,-,0.17,0,8.95,0,0,0
178,1,1,-,0.18,0,9.27,0,0,0
178,1,1,-,0.19,0,9.54,0,0,0
178,1,1,-,0.2,0,9.8,0,0,0
178,1,1,-,0.21,0,10.07,0,0,0
178,1,1,-,0.22,0,10.23,0,0,0
178,1,1,-,0.23,0,10.29,0,0,0
178,1,1,-,0.24,0,10.34,0,0,0
178,1,1,-,0.25,0,10.45,0,0,0
178,1,1,-,0.26,0,10.71,0,0,0
178,1,1,-,0.27,0,10.93,0,0,0
178,1,1,-,0.28,0,11.14,0,0,0
178,1,1,-,0.29,0,11.25,0,0,0
178,1,1,-,0.3,0,11.25,0,0,0
178,1,1,-,0.31,0,11.2,0,0,0
178,1,1,-,0.32,0,11.2,0,0,0
178,1,1,-,0.33,0,11.2,0,0,0
178,1,1,-,0.34,0,11.14,0,0,0
178,1,1,-,0.35,0,11.14,0,0,0
178,1,1,-,0.36,0,11.14,0,0,0
178,1,1,-,0.37,0,11.14,0,0,0
178,1,1,-,0.38,0,11.14,0,0,0
178,1,1,-,0.39,0,11.04,0,0,0
178,1,1,-,0.4,0,10.93,0,0,0
178,1,1,-,0.41,0,10.93,0,0,0
178,1,1,-,0.42,0,10.98,0,0,0
178,1,1,-,0.43,0,10.93,0,0,0
178,1,1,-,0.44,0,10.88,0,0,0
178,1,1,-,0.45,0,10.88,0,0,0
178,1,1,-,0.46,0,10.88,0,0,0
178,1,1,-,0.47,0,10.82,0,0,0
178,1,1,-,0.48,0,10.88,0,0,0
178,1,1,-,0.49,0,10.93,0,0,0
178,1,1,-,0.5,0,11.04,0,0,0
178,1,1,-,0.51,0,11.09,0,0,0
178,1,1,-,0.52,0,11.14,0,0,0
178,1,1,-,0.53,0,11.14,0,0,0
178,1,1,-,0.54,0,11.09,0,0,0
178,1,1,-,0.55,0,11.09,0,0,0
178,1,1,-,0.56,0,11.14,0,0,0
178,1,1,-,0.57,0,11.14,0,0,0
178,1,1,-,0.58,0,11.14,0,0,0
178,1,1,-,0.59,0,11.14,0,0,0
178,1,1,-,0.6,0,11.14,0,0,0
178,1,1,-,0.61,0,11.2,0,0,0
178,1,1,-,0.62,0,11.25,0,0,0
178,1,1,-,0.63,0,11.25,0,0,0
178,1,1,-,0.64,0,11.25,0,0,0
178,1,1,-,0.65,0,11.2,0,0,0
178,1,1,-,0.66,0,11.25,0,0,0
178,1,1,-,0.67,0,11.3,0,0,0
178,1,1,-,0.68,0,11.36,0,0,0
178,1,1,-,0.69,0,11.41,0,0,0
178,1,1,-,0.7,0,11.46,0,0,0
178,1,1,-,0.71,0,11.52,0,0,0
178,1,1,-,0.72,0,11.57,0,0,0
