Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
185,1,1,c,0.01,0,3.59,0,0,0
185,1,1,c,0.02,0.18,3.59,0,0,0
185,1,1,c,0.03,0.18,4.07,0,0,0
185,1,1,c,0.04,0.55,5.3,3.12,0,0
185,1,1,c,0.05,0.92,6.59,13.09,0,0
185,1,1,c,0.06,1.28,8.14,27.55,0,0
185,1,1,c,0.07,1.65,9.48,40.85,0,0
185,1,1,c,0.08,2.38,10.07,50.04,0,0
185,1,1,c,0.09,2.93,10.07,55.65,0,0
185,1,1,c,0.1,3.48,9.91,62.7,0,0
185,1,1,c,0.11,4.21,9.96,68.62,0,0
185,1,1,c,0.12,4.95,10.29,69.36,0,0
185,1,1,c,0.13,5.68,10.5,70.01,0,0
185,1,1,c,0.14,6.41,10.66,72.76,0,0
185,1,1,c,0.15,6.96,10.82,74.04,0,0
185,1,1,c,0.16,7.88,10.77,77.23,0,0
185,1,1,c,0.17,8.61,10.71,77.9,0,0
185,1,1,c,0.18,9.16,10.39,78.4,0,0
185,1,1,c,0.19,10.08,10.13,79.34,0,0
185,1,1,c,0.2,10.81,9.91,79.01,0,0
185,1,1,c,0.21,11.55,9.91,77.18,0,0
185,1,1,c,0.22,12.28,10.02,79.68,0,0
185,1,1,c,0.23,13.01,10.13,79.41,0,0
185,1,1,c,0.24,13.74,10.23,81.68,0,0
185,1,1,c,0.25,14.48,10.23,82.55,0,0
185,1,1,c,0.26,15.21,9.96,81.19,0,0
185,1,1,c,0.27,15.94,9.54,80.47,0,0
185,1,1,c,0.28,16.86,9.27,81.21,0,0
185,1,1,c,0.29,17.59,9.16,81.01,0,0
185,1,1,c,0.3,18.33,9.16,80.99,0,0
185,1,1,c,0.31,19.24,9.11,79.09,0,0
185,1,1,c,0.32,19.98,8.95,80.98,0,0
185,1,1,c,0.33,20.71,8.73,80.88,0,0
185,1,1,c,0.34,21.44,8.57,82.16,0,0
185,1,1,c,0.35,22.36,8.41,83.87,0,0
185,1,1,c,0.36,23.09,8.14,82.55,0,0
185,1,1,c,0.37,23.82,8.46,80.37,0,0
185,1,1,c,0.38,24.56,8.25,78.87,0,0
185,1,1,c,0.39,25.47,8.2,79.66,0,0
185,1,1,c,0.4,26.21,8.2,80.93,0,0
185,1,1,c,0.41,26.94,7.82,80.25,0,0
185,1,1,c,0.42,27.67,8.09,81.84,0,0
185,1,1,c,0.43,28.41,8.73,79.84,0,0
185,1,1,c,0.44,29.14,8.68,81.32,0,0
185,1,1,c,0.45,29.87,8.68,81.16,0,0
185,1,1,c,0.46,30.79,8.73,80.48,0,0
185,1,1,c,0.47,31.52,8.36,79.32,0,0
185,1,1,c,0.48,32.25,8.36,78.82,0,0
185,1,1,c,0.49,32.99,8.73,78.3,0,0
185,1,1,c,0.5,33.9,8.73,79,0,0
185,1,1,c,0.51,34.64,8.46,79.33,0,0
185,1,1,c,0.52,35.37,8.73,80.83,0,0
185,1,1,c,0.53,36.1,8.73,81.43,0,0
185,1,1,c,0.54,36.84,8.84,79.65,0,0
185,1,1,c,0.55,37.57,8.63,81.58,0,0
185,1,1,c,0.56,38.3,8.84,79.98,0,0
185,1,1,c,0.57,39.22,8.36,82.35,0,0
185,1,1,c,0.58,39.95,8.3,81.62,0,0
185,1,1,c,0.59,40.68,8.52,80.7,0,0
185,1,1,c,0.6,41.42,8.89,79.92,0,0
185,1,1,c,0.61,42.15,8.89,77.82,0,0
185,1,1,c,0.62,42.88,9.32,79.48,0,0
185,1,1,c,0.63,43.8,9.48,79.39,0,0
185,1,1,c,0.64,44.53,9.32,79.83,0,0
185,1,1,c,0.65,45.27,9.21,80.72,0,0
185,1,1,c,0.66,45.82,9.8,74.88,0,0
