Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
301,1,1,c,0.01,0,3.38,0,0,0
301,1,1,c,0.02,0,3.16,0,0,0
301,1,1,c,0.03,0.18,3.21,0,0,0
301,1,1,c,0.04,0.37,3.21,2.44,0,0
301,1,1,c,0.05,0.73,3.54,12.09,0,0
301,1,1,c,0.06,1.1,3.75,24.45,0,0
301,1,1,c,0.07,1.65,3.8,38.1,0,0
301,1,1,c,0.08,2.02,4.34,46,0,0
301,1,1,c,0.09,2.57,4.66,52.13,0,0
301,1,1,c,0.1,3.3,5.25,58.28,0,0
301,1,1,c,0.11,3.85,5.57,63.08,0,0
301,1,1,c,0.12,4.58,6.11,66.69,0,0
301,1,1,c,0.13,5.31,6.11,68.91,0,0
301,1,1,c,0.14,6.05,6.27,70.31,0,0
301,1,1,c,0.15,6.6,6.43,73.15,0,0
301,1,1,c,0.16,7.51,6.48,76.34,0,0
301,1,1,c,0.17,8.25,6.7,77.94,0,0
301,1,1,c,0.18,8.98,6.86,79.29,0,0
301,1,1,c,0.19,9.71,7.02,79.83,0,0
301,1,1,c,0.2,10.45,7.07,79.06,0,0
301,1,1,c,0.21,11.18,7.23,77.98,0,0
301,1,1,c,0.22,11.91,7.45,80.21,0,0
301,1,1,c,0.23,12.64,7.71,79.65,0,0
301,1,1,c,0.24,13.38,7.88,80.25,0,0
301,1,1,c,0.25,14.11,7.98,82.37,0,0
301,1,1,c,0.26,14.84,8.09,80.98,0,0
301,1,1,c,0.27,15.58,7.98,81.05,0,0
301,1,1,c,0.28,16.31,7.93,80.01,0,0
301,1,1,c,0.29,17.23,7.93,79.39,0,0
301,1,1,c,0.3,17.96,8.04,78.98,0,0
301,1,1,c,0.31,18.69,8.2,79.17,0,0
301,1,1,c,0.32,19.43,8.52,78.18,0,0
301,1,1,c,0.33,20.16,8.79,78.88,0,0
301,1,1,c,0.34,21.07,8.89,79.77,0,0
301,1,1,c,0.35,21.81,9.05,81.34,0,0
301,1,1,c,0.36,22.54,9.21,81.14,0,0
301,1,1,c,0.37,23.27,9.38,80.75,0,0
301,1,1,c,0.38,24.01,9.48,80.52,0,0
301,1,1,c,0.39,24.74,9.64,81.4,0,0
301,1,1,c,0.4,25.47,9.54,80.84,0,0
301,1,1,c,0.41,26.39,9.43,83.03,0,0
301,1,1,c,0.42,27.12,9.32,80.93,0,0
301,1,1,c,0.43,27.86,9.05,79.99,0,0
301,1,1,c,0.44,28.59,8.84,78.4,0,0
301,1,1,c,0.45,29.32,8.84,78.09,0,0
301,1,1,c,0.46,30.24,8.79,79.31,0,0
301,1,1,c,0.47,30.79,8.63,78.68,0,0
301,1,1,c,0.48,31.7,8.46,78.72,0,0
301,1,1,c,0.49,32.44,8.14,79.32,0,0
301,1,1,c,0.5,33.17,7.88,79.51,0,0
301,1,1,c,0.51,33.9,7.77,80.9,0,0
301,1,1,c,0.52,34.64,7.88,81.7,0,0
301,1,1,c,0.53,35.37,7.71,81.64,0,0
301,1,1,c,0.54,36.1,7.45,81.89,0,0
301,1,1,c,0.55,36.84,6.75,79.62,0,0
301,1,1,c,0.56,37.57,6.43,76.11,0,0
301,1,1,c,0.57,38.12,6.86,67.99,0,0
301,1,1,c,0.58,38.3,7.77,56.73,0,0
301,1,1,c,0.59,38.3,9.38,39.8,0,0
301,1,1,c,0.6,38.3,10.77,22.74,0,0
301,1,1,c,0.61,38.3,11.68,11.21,0,0
301,1,1,e,0.62,38.12,12.05,0,0,0
301,1,1,e,0.63,37.75,13.18,-9.34,0,0
301,1,1,e,0.64,37.39,14.2,-19.9,0,0
301,1,1,e,0.65,37.02,15.05,-32.75,0,0
301,1,1,e,0.66,36.47,16.02,-41.3,0,0
301,1,1,e,0.67,36.1,17.09,-48.55,0,0
301,1,1,e,0.68,35.37,18.32,-53.57,0,0
301,1,1,e,0.69,34.82,19.82,-57.4,0,0
301,1,1,e,0.7,34.27,21,-60.36,0,0
301,1,1,e,0.71,33.54,21.54,-64.41,0,0
301,1,1,e,0.72,32.99,21.75,-65.49,0,0
301,1,1,e,0.73,32.25,22.29,-68.7,0,0
301,1,1,e,0.74,31.52,23.63,-70.73,0,0
301,1,1,e,0.75,30.97,24.75,-70.57,0,0
301,1,1,e,0.76,30.24,25.5,-71.22,0,0
301,1,1,e,0.77,29.5,25.77,-73.62,0,0
301,1,1,e,0.78,28.77,25.98,-75.63,0,0
301,1,1,e,0.79,28.04,26.57,-77.98,0,0
301,1,1,e,0.8,27.31,26.95,-77.23,0,0
301,1,1,e,0.81,26.57,27.38,-76.73,0,0
301,1,1,e,0.82,25.84,28.02,-76.37,0,0
301,1,1,e,0.83,25.11,30.05,-76.29,0,0
301,1,1,e,0.84,24.37,30.86,-78.12,0,0
301,1,1,e,0.85,23.64,30.27,-80.25,0,0
301,1,1,e,0.86,22.91,29.36,-79.84,0,0
301,1,1,e,0.87,22.17,28.88,-79.93,0,0
301,1,1,e,0.88,21.44,28.5,-79.84,0,0
301,1,1,e,0.89,20.71,28.13,-79.33,0,0
301,1,1,e,0.9,19.79,27.75,-80.54,0,0
301,1,1,e,0.91,19.06,27.64,-81.21,0,0
301,1,1,e,0.92,18.33,28.07,-80.81,0,0
301,1,1,e,0.93,17.78,28.71,-78.2,0,0
301,1,1,e,0.94,16.86,30.27,-76.34,0,0
301,1,1,e,0.95,16.13,32.3,-76.8,0,0
301,1,1,e,0.96,15.39,33.86,-78.06,0,0
301,1,1,e,0.97,14.66,35.04,-76.98,0,0
301,1,1,e,0.98,13.93,36.43,-77.47,0,0
301,1,1,e,0.99,13.01,37.18,-77.12,0,0
301,1,1,e,1,12.28,36.86,-78.21,0,0
301,1,1,e,1.01,11.55,35.52,-80.03,0,0
301,1,1,e,1.02,10.81,33.7,-79.71,0,0
301,1,1,e,1.03,10.08,32.52,-79.59,0,0
301,1,1,e,1.04,9.35,32.68,-81.23,0,0
301,1,1,e,1.05,8.61,33.96,-80.58,0,0
301,1,1,e,1.06,7.88,35.84,-79.04,0,0
301,1,1,e,1.07,7.15,36.8,-81.1,0,0
301,1,1,e,1.08,6.41,37.02,-80.21,0,0
301,1,1,e,1.09,5.68,36.59,-80.39,0,0
301,1,1,e,1.1,4.76,35.73,-80.01,0,0
301,1,1,e,1.11,4.03,35.3,-79.7,0,0
301,1,1,e,1.12,3.3,35.36,-80.6,0,0
301,1,1,e,1.13,2.75,35.84,-79.96,0,0
301,1,1,e,1.14,1.83,36.43,-80.04,0,0
301,1,1,e,1.15,1.1,37.34,-79.98,0,0
301,1,1,e,1.16,0.37,38.04,-78,0,0
301,1,1,e,1.17,-0.55,38.52,-77.66,0,0
301,1,1,e,1.18,-1.1,39.38,-77.13,0,0
301,1,1,e,1.19,-1.83,38.04,-74.74,0,0
301,1,1,e,1.2,-2.2,35.68,-67.21,0,0
301,1,1,e,1.21,-2.57,33.38,-53.86,0,0
301,1,1,e,1.22,-2.75,31.61,-38.42,0,0
301,1,2,c,1.23,-2.57,30.16,0,0,0
301,1,2,c,1.24,-2.57,27.16,0,0,0
301,1,2,c,1.25,-2.38,23.57,4.1,0,0
301,1,2,c,1.26,-2.2,20.2,9.23,0,0
301,1,2,c,1.27,-1.83,17.41,18.82,0,0
301,1,2,c,1.28,-1.28,15.59,28.4,0,0
301,1,2,c,1.29,-0.92,14.84,39.06,0,0
301,1,2,c,1.3,-0.55,14.63,46.12,0,0
301,1,2,c,1.31,0.18,14.41,52.3,0,0
301,1,2,c,1.32,0.55,13.98,56.29,0,0
301,1,2,c,1.33,1.28,13.82,60.54,0,0
301,1,2,c,1.34,2.02,13.66,63.73,0,0
301,1,2,c,1.35,2.57,14.3,66.09,0,0
301,1,2,c,1.36,3.3,14.68,69.48,0,0
301,1,2,c,1.37,4.03,14.79,72.74,0,0
301,1,2,c,1.38,4.76,14.95,73.16,0,0
301,1,2,c,1.39,5.31,15.48,73.27,0,0
301,1,2,c,1.4,6.23,16.55,72.92,0,0
301,1,2,c,1.41,6.96,16.55,74.22,0,0
301,1,2,c,1.42,7.7,16.02,76.35,0,0
301,1,2,c,1.43,8.61,15.48,79.73,0,0
301,1,2,c,1.44,9.35,15.27,81.61,0,0
301,1,2,c,1.45,10.08,14.79,82.31,0,0
301,1,2,c,1.46,10.81,14.14,84.11,0,0
301,1,2,c,1.47,11.55,14.14,83.79,0,0
301,1,2,c,1.48,12.46,14.57,83.8,0,0
301,1,2,c,1.49,13.38,14.95,83.41,0,0
301,1,2,c,1.5,14.11,14.89,82.38,0,0
301,1,2,c,1.51,14.84,14.73,81.58,0,0
301,1,2,c,1.52,15.58,15.11,80.64,0,0
301,1,2,c,1.53,16.31,15.16,81,0,0
301,1,2,c,1.54,17.23,14.63,81.19,0,0
301,1,2,c,1.55,17.96,14.52,81.72,0,0
301,1,2,c,1.56,18.69,15.21,81.01,0,0
301,1,2,c,1.57,19.61,16.13,81.39,0,0
301,1,2,c,1.58,20.34,15.96,82.13,0,0
301,1,2,c,1.59,21.07,16.39,83.12,0,0
301,1,2,c,1.6,21.81,16.77,85.04,0,0
301,1,2,c,1.61,22.54,16.66,83.13,0,0
301,1,2,c,1.62,23.27,16.88,81.82,0,0
301,1,2,c,1.63,24.01,16.5,80.88,0,0
301,1,2,c,1.64,24.74,15.86,79.31,0,0
301,1,2,c,1.65,25.66,15.43,79.36,0,0
301,1,2,c,1.66,26.21,15.11,79.17,0,0
301,1,2,c,1.67,27.12,14.3,77.77,0,0
301,1,2,c,1.68,27.86,13.23,78.05,0,0
301,1,2,c,1.69,28.59,12.05,77.54,0,0
301,1,2,c,1.7,29.32,11.14,78.16,0,0
301,1,2,c,1.71,30.05,10.5,77.04,0,0
301,1,2,c,1.72,30.79,9.54,75.34,0,0
301,1,2,c,1.73,31.7,9.21,76.53,0,0
301,1,2,c,1.74,32.25,8.57,76.68,0,0
301,1,2,c,1.75,33.17,7.77,78.11,0,0
301,1,2,c,1.76,33.9,7.02,79.46,0,0
301,1,2,c,1.77,34.64,6.37,79.85,0,0
301,1,2,c,1.78,35.37,6,79.12,0,0
301,1,2,c,1.79,36.1,5.89,78.94,0,0
301,1,2,c,1.8,36.65,5.57,76.42,0,0
301,1,2,c,1.81,37.2,5.41,73.84,0,0
301,1,2,c,1.82,37.75,6.05,67.39,0,0
301,1,2,c,1.83,38.12,6.96,54.78,0,0
301,1,2,c,1.84,38.12,7.88,38.05,0,0
301,1,2,c,1.85,38.12,8.46,23.88,0,0
301,1,2,e,1.86,37.93,7.93,0,0,0
301,1,2,e,1.87,37.93,7.77,0,0,0
301,1,2,e,1.88,37.57,8.04,-7.43,0,0
301,1,2,e,1.89,37.2,8.57,-18.58,0,0
