Id_Ejercicio,Series,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
339,1,1,c,0.01,0,3.64,0,0,0
339,1,1,c,0.02,0,3.59,0,0,0
339,1,1,c,0.03,0.18,3.59,0,0,0
339,1,1,c,0.04,0.55,3.54,2.03,0,0
339,1,1,c,0.05,0.92,3.7,11.79,0,0
339,1,1,c,0.06,1.28,3.64,25.78,0,0
339,1,1,c,0.07,1.65,3.7,41.78,0,0
339,1,1,c,0.08,2.2,3.86,49.58,0,0
339,1,1,c,0.09,2.75,3.96,56.78,0,0
339,1,1,c,0.1,3.48,4.23,59.36,0,0
339,1,1,c,0.11,4.03,4.61,60.55,0,0
339,1,1,c,0.12,4.76,5.14,64.31,0,0
339,1,1,c,0.13,5.31,5.73,68.29,0,0
339,1,1,c,0.14,6.05,6.21,71.56,0,0
339,1,1,c,0.15,6.78,6.43,74.19,0,0
339,1,1,c,0.16,7.51,6.43,76.36,0,0
339,1,1,c,0.17,8.25,6.27,76.42,0,0
339,1,1,c,0.18,8.98,6.11,76.24,0,0
339,1,1,c,0.19,9.71,6.11,77.82,0,0
339,1,1,c,0.2,10.45,6.37,77.55,0,0
339,1,1,c,0.21,11.18,6.8,80.07,0,0
339,1,1,c,0.22,11.91,7.18,82.02,0,0
339,1,1,c,0.23,12.64,7.39,81.2,0,0
339,1,1,c,0.24,13.56,7.45,81.07,0,0
339,1,1,c,0.25,14.11,7.23,80.83,0,0
339,1,1,c,0.26,15.03,7.23,80.43,0,0
339,1,1,c,0.27,15.76,7.23,80.71,0,0
339,1,1,c,0.28,16.49,7.18,79.72,0,0
339,1,1,c,0.29,17.41,7.29,80.45,0,0
339,1,1,c,0.3,18.14,7.45,79.65,0,0
339,1,1,c,0.31,18.88,7.45,79.24,0,0
339,1,1,c,0.32,19.61,7.39,82.23,0,0
339,1,1,c,0.33,20.34,7.39,80.84,0,0
339,1,1,c,0.34,21.07,7.45,80.62,0,0
339,1,1,c,0.35,21.81,7.55,80.87,0,0
339,1,1,c,0.36,22.54,7.61,79.38,0,0
339,1,1,c,0.37,23.27,7.77,79.61,0,0
339,1,1,c,0.38,24.01,7.82,80.57,0,0
339,1,1,c,0.39,24.74,7.77,80.14,0,0
339,1,1,c,0.4,25.47,7.71,79.83,0,0
339,1,1,c,0.41,26.39,7.61,78.61,0,0
339,1,1,c,0.42,27.12,7.5,77.54,0,0
339,1,1,c,0.43,27.86,7.71,78.19,0,0
339,1,1,c,0.44,28.59,7.82,80.49,0,0
339,1,1,c,0.45,29.5,7.82,81.98,0,0
339,1,1,c,0.46,30.24,7.98,80.97,0,0
339,1,1,c,0.47,30.97,7.98,80.58,0,0
339,1,1,c,0.48,31.7,7.93,80.53,0,0
339,1,1,c,0.49,32.44,7.88,80.35,0,0
339,1,1,c,0.5,33.17,7.66,80.95,0,0
339,1,1,c,0.51,34.09,7.61,80.8,0,0
339,1,1,c,0.52,34.82,7.98,79.98,0,0
339,1,1,c,0.53,35.55,8.41,79.24,0,0
339,1,1,c,0.54,36.29,8.52,79.92,0,0
339,1,1,c,0.55,37.02,8.36,79.75,0,0
339,1,1,c,0.56,37.75,7.93,79.49,0,0
339,1,1,c,0.57,38.48,7.82,76.46,0,0
339,1,1,c,0.58,39.03,8.79,69.82,0,0
339,1,1,c,0.59,39.4,9.7,57.18,0,0
339,1,1,c,0.6,39.4,10.82,42.3,0,0
339,1,1,c,0.61,39.4,11.73,27.67,0,0
339,1,1,c,0.62,39.4,12.21,16.85,0,0
339,1,1,e,0.63,39.03,13.82,-1.44,0,0
339,1,1,e,0.64,38.85,16.13,-8.28,0,0
339,1,1,e,0.65,38.48,19.18,-18.28,0,0
339,1,1,e,0.66,38.12,21.43,-30.39,0,0
339,1,1,e,0.67,37.57,22.29,-37.99,0,0
339,1,1,e,0.68,37.2,22.02,-45.55,0,0
339,1,1,e,0.69,36.65,21.27,-50.41,0,0
339,1,1,e,0.7,36.1,21.05,-56.45,0,0
339,1,1,e,0.71,35.37,21.32,-59.94,0,0
339,1,1,e,0.72,34.82,21.86,-61.57,0,0
339,1,1,e,0.73,34.09,22.13,-64.49,0,0
339,1,1,e,0.74,33.54,21.64,-68.38,0,0
339,1,1,e,0.75,32.8,20.84,-69.71,0,0
339,1,1,e,0.76,32.07,19.82,-72.44,0,0
339,1,1,e,0.77,31.34,19.55,-74.01,0,0
339,1,1,e,0.78,30.6,20.09,-75.44,0,0
339,1,1,e,0.79,29.87,20.84,-76.39,0,0
339,1,1,e,0.8,29.14,21.43,-78.58,0,0
339,1,1,e,0.81,28.41,21.59,-78.49,0,0
339,1,1,e,0.82,27.67,20.68,-79.44,0,0
339,1,1,e,0.83,26.94,19.45,-80.95,0,0
339,1,1,e,0.84,26.21,19.13,-79.89,0,0
339,1,1,e,0.85,25.47,19.07,-79.01,0,0
339,1,1,e,0.86,24.74,19.66,-79.98,0,0
339,1,1,e,0.87,24.01,20.25,-79.84,0,0
339,1,1,e,0.88,23.27,21,-80.85,0,0
339,1,1,e,0.89,22.54,21.48,-80.33,0,0
339,1,1,e,0.9,21.81,21.43,-78.81,0,0
339,1,1,e,0.91,20.89,21.21,-79.03,0,0
339,1,1,e,0.92,20.16,20.68,-79.1,0,0
339,1,1,e,0.93,19.43,20.73,-78.79,0,0
339,1,1,e,0.94,18.69,21.27,-79.84,0,0
339,1,1,e,0.95,17.96,22.07,-79.51,0,0
339,1,1,e,0.96,17.23,22.55,-79.41,0,0
339,1,1,e,0.97,16.49,22.61,-77.08,0,0
339,1,1,e,0.98,15.58,22.45,-77.11,0,0
339,1,1,e,0.99,15.03,22.02,-78.42,0,0
339,1,1,e,1,14.29,21.64,-79.26,0,0
339,1,1,e,1.01,13.38,21.91,-79.64,0,0
339,1,1,e,1.02,12.64,22.66,-81.07,0,0
339,1,1,e,1.03,11.91,23.09,-80.29,0,0
339,1,1,e,1.04,11.18,23.04,-78.93,0,0
339,1,1,e,1.05,10.45,23.14,-81.11,0,0
339,1,1,e,1.06,9.71,23.3,-80.34,0,0
339,1,1,e,1.07,8.98,24,-80.35,0,0
339,1,1,e,1.08,8.06,24.21,-79.59,0,0
339,1,1,e,1.09,7.33,24.59,-79.04,0,0
339,1,1,e,1.1,6.6,24.27,-79.97,0,0
339,1,1,e,1.11,5.86,23.79,-79.79,0,0
339,1,1,e,1.12,5.13,23.63,-79.24,0,0
339,1,1,e,1.13,4.4,23.46,-79.52,0,0
339,1,1,e,1.14,3.67,23.73,-77.39,0,0
339,1,1,e,1.15,2.75,24.32,-78.72,0,0
339,1,1,e,1.16,2.02,24.91,-78.86,0,0
339,1,1,e,1.17,1.28,25.55,-78.59,0,0
339,1,1,e,1.18,0.55,26.14,-80.29,0,0
339,1,1,e,1.19,-0.18,26.68,-79.7,0,0
339,1,1,e,1.2,-0.92,27.11,-79.8,0,0
339,1,1,e,1.21,-1.65,26.04,-78.39,0,0
339,1,1,e,1.22,-2.02,24.11,-71.76,0,0
339,1,1,e,1.23,-2.38,21.27,-60.3,0,0
339,1,1,e,1.24,-2.57,18.48,-44.58,0,0
339,1,1,e,1.25,-2.75,16.55,-30.74,0,0
339,1,2,c,1.26,-2.57,14.57,0,0,0
339,1,2,c,1.27,-2.38,12.96,2.41,0,0
339,1,2,c,1.28,-2.2,11.41,6.55,0,0
339,1,2,c,1.29,-1.83,10.39,14.71,0,0
339,1,2,c,1.3,-1.47,9.32,24.96,0,0
339,1,2,c,1.31,-1.1,8.04,34.98,0,0
339,1,2,c,1.32,-0.55,7.02,43.47,0,0
339,1,2,c,1.33,-0.18,6.48,49.25,0,0
339,1,2,c,1.34,0.55,6.11,53.87,0,0
339,1,2,c,1.35,1.1,6.43,59.01,0,0
339,1,2,c,1.36,1.65,6.8,62.13,0,0
339,1,2,c,1.37,2.38,7.61,68.51,0,0
339,1,2,c,1.38,3.12,7.93,70.92,0,0
339,1,2,c,1.39,3.85,8.14,72.75,0,0
339,1,2,c,1.4,4.58,8.04,74.19,0,0
339,1,2,c,1.41,5.13,7.82,75.52,0,0
339,1,2,c,1.42,6.05,7.5,76.46,0,0
339,1,2,c,1.43,6.78,7.39,76.76,0,0
339,1,2,c,1.44,7.51,7.45,78.53,0,0
339,1,2,c,1.45,8.25,7.66,78.15,0,0
339,1,2,c,1.46,8.98,7.93,77.33,0,0
339,1,2,c,1.47,9.71,8.14,77.46,0,0
339,1,2,c,1.48,10.45,8.46,77.71,0,0
339,1,2,c,1.49,11.18,8.41,79.4,0,0
339,1,2,c,1.5,11.91,7.98,81.38,0,0
339,1,2,c,1.51,12.64,7.77,80.92,0,0
339,1,2,c,1.52,13.38,7.61,80.26,0,0
339,1,2,c,1.53,14.11,7.66,80.67,0,0
339,1,2,c,1.54,14.84,7.82,79.91,0,0
339,1,2,c,1.55,15.76,8.04,80.32,0,0
339,1,2,c,1.56,16.49,7.98,80.32,0,0
339,1,2,c,1.57,17.23,8.04,80.13,0,0
339,1,2,c,1.58,17.96,7.93,79.76,0,0
339,1,2,c,1.59,18.69,7.82,78.11,0,0
339,1,2,c,1.6,19.61,8.14,80.07,0,0
339,1,2,c,1.61,20.34,8.25,80.11,0,0
339,1,2,c,1.62,21.07,8.3,79.75,0,0
339,1,2,c,1.63,21.81,8.3,81.44,0,0
339,1,2,c,1.64,22.54,8.14,80.03,0,0
339,1,2,c,1.65,23.27,7.88,79.53,0,0
339,1,2,c,1.66,24.01,7.66,81.61,0,0
339,1,2,c,1.67,24.74,7.82,80.39,0,0
339,1,2,c,1.68,25.66,8.04,80.37,0,0
339,1,2,c,1.69,26.39,8.2,79.46,0,0
339,1,2,c,1.7,27.12,8.25,78.3,0,0
339,1,2,c,1.71,27.86,7.93,79.44,0,0
339,1,2,c,1.72,28.59,7.55,78.83,0,0
339,1,2,c,1.73,29.5,7.23,79.86,0,0
339,1,2,c,1.74,30.24,7.02,80.1,0,0
339,1,2,c,1.75,30.97,7.18,78.69,0,0
339,1,2,c,1.76,31.7,7.55,80.9,0,0
339,1,2,c,1.77,32.44,7.88,80.32,0,0
339,1,2,c,1.78,33.17,7.93,80.15,0,0
339,1,2,c,1.79,33.9,7.77,82.47,0,0
339,1,2,c,1.8,34.64,7.5,80.21,0,0
339,1,2,c,1.81,35.55,7.34,80.85,0,0
339,1,2,c,1.82,36.29,6.96,80.24,0,0
339,1,2,c,1.83,37.02,6.59,79.55,0,0
339,1,2,c,1.84,37.75,6.48,80.8,0,0
339,1,2,c,1.85,38.48,6.75,79.08,0,0
339,1,2,c,1.86,39.03,8.14,73.61,0,0
339,1,2,c,1.87,39.4,9.32,59.94,0,0
339,1,2,c,1.88,39.4,10.02,43.89,0,0
339,1,2,c,1.89,39.4,10.98,28.65,0,0
339,1,2,c,1.9,39.4,10.93,17.18,0,0
339,1,2,e,1.91,39.22,11.68,0,0,0
339,1,2,e,1.92,38.85,13.55,-7.44,0,0
339,1,2,e,1.93,38.48,16.02,-17.38,0,0
339,1,2,e,1.94,38.12,18.16,-29.6,0,0
339,1,2,e,1.95,37.75,19.82,-37.21,0,0
339,1,2,e,1.96,37.2,19.77,-45.31,0,0
339,1,2,e,1.97,36.65,18.91,-50.07,0,0
339,1,2,e,1.98,36.1,18.05,-56.34,0,0
339,1,2,e,1.99,35.37,17.57,-59.45,0,0
339,1,2,e,2,34.82,17.63,-61.93,0,0
339,1,2,e,2.01,34.09,17.89,-66.13,0,0
339,1,2,e,2.02,33.54,18.43,-69.61,0,0
339,1,2,e,2.03,32.8,18.32,-70.38,0,0
339,1,2,e,2.04,32.07,17.79,-71.43,0,0
339,1,2,e,2.05,31.34,17.14,-73.91,0,0
339,1,2,e,2.06,30.6,16.82,-74.64,0,0
339,1,2,e,2.07,29.87,16.93,-76.38,0,0
339,1,2,e,2.08,29.14,17.36,-77.79,0,0
339,1,2,e,2.09,28.41,18.32,-78.75,0,0
339,1,2,e,2.1,27.67,18.32,-79.33,0,0
339,1,2,e,2.11,26.94,17.68,-82.31,0,0
339,1,2,e,2.12,26.21,17.25,-80.73,0,0
339,1,2,e,2.13,25.47,16.5,-79.61,0,0
339,1,2,e,2.14,24.74,16.02,-80.47,0,0
339,1,2,e,2.15,24.01,16.02,-80.32,0,0
339,1,2,e,2.16,23.27,16.93,-81.14,0,0
339,1,2,e,2.17,22.54,18.16,-80.51,0,0
339,1,2,e,2.18,21.81,19.66,-78.82,0,0
339,1,2,e,2.19,20.89,20.46,-78.99,0,0
339,1,2,e,2.2,20.16,20.2,-79.14,0,0
339,1,2,e,2.21,19.43,19.71,-79.08,0,0
339,1,2,e,2.22,18.69,19.34,-77.93,0,0
339,1,2,e,2.23,17.96,19.45,-77.31,0,0
339,1,2,e,2.24,17.23,19.93,-76.77,0,0
339,1,2,e,2.25,16.49,20.79,-77.68,0,0
339,1,2,e,2.26,15.76,21.38,-76.14,0,0
339,1,2,e,2.27,14.84,21.8,-77.8,0,0
339,1,2,e,2.28,14.11,21.86,-78.44,0,0
339,1,2,e,2.29,13.38,21.7,-78.43,0,0
339,1,2,e,2.3,12.64,21.7,-81,0,0
339,1,2,e,2.31,11.91,21.7,-80.06,0,0
339,1,2,e,2.32,11.18,21.91,-80.52,0,0
339,1,2,e,2.33,10.45,22.55,-82.5,0,0
339,1,2,e,2.34,9.71,23.68,-81.24,0,0
339,1,2,e,2.35,8.98,24.86,-80.74,0,0
339,1,2,e,2.36,8.25,25.07,-78.93,0,0
339,1,2,e,2.37,7.51,24.64,-77.34,0,0
339,1,2,e,2.38,6.6,23.3,-78.41,0,0
339,1,2,e,2.39,6.05,22.55,-78.7,0,0
339,1,2,e,2.4,5.31,22.98,-79.41,0,0
339,1,2,e,2.41,4.4,24.21,-79.65,0,0
339,1,2,e,2.42,3.67,25.12,-78.96,0,0
339,1,2,e,2.43,2.75,25.82,-79.05,0,0
339,1,2,e,2.44,2.02,26.04,-78.99,0,0
339,1,2,e,2.45,1.28,26.14,-78.7,0,0
339,1,2,e,2.46,0.55,26.52,-81.43,0,0
339,1,2,e,2.47,-0.18,27.05,-79.71,0,0
