Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
342,1,1,c,0.01,0,3.32,0,0,0
342,1,1,c,0.02,0,2.95,0,0,0
342,1,1,c,0.03,0.18,2.89,0,0,0
342,1,1,c,0.04,0.37,3.27,0,0,0
342,1,1,c,0.05,0.73,3.8,10.92,0,0
342,1,1,c,0.06,1.28,4.23,23.27,0,0
342,1,1,c,0.07,1.83,5.25,38.73,0,0
342,1,1,c,0.08,2.2,6.59,48.35,0,0
342,1,1,c,0.09,2.93,8.14,56.53,0,0
342,1,1,c,0.1,3.48,9.21,62.57,0,0
342,1,1,c,0.11,4.21,9.8,67.12,0,0
342,1,1,c,0.12,4.76,9.91,70.57,0,0
342,1,1,c,0.13,5.5,10.07,71.99,0,0
342,1,1,c,0.14,6.23,10.39,74.4,0,0
342,1,1,c,0.15,6.96,10.98,75.94,0,0
342,1,1,c,0.16,7.7,11.68,76.51,0,0
342,1,1,c,0.17,8.43,12.05,77.25,0,0
342,1,1,c,0.18,9.16,12.11,78.23,0,0
342,1,1,c,0.19,9.9,11.95,80.44,0,0
342,1,1,c,0.2,10.63,11.63,80.96,0,0
342,1,1,c,0.21,11.36,11.52,81.09,0,0
342,1,1,c,0.22,12.28,11.68,80.78,0,0
342,1,1,c,0.23,12.83,11.79,80.99,0,0
342,1,1,c,0.24,13.74,11.84,79.5,0,0
342,1,1,c,0.25,14.48,11.79,80.49,0,0
342,1,1,c,0.26,15.39,11.79,80.34,0,0
342,1,1,c,0.27,16.13,11.73,83.5,0,0
342,1,1,c,0.28,16.86,11.36,83.14,0,0
342,1,1,c,0.29,17.59,11.57,82.41,0,0
342,1,1,c,0.3,18.51,11.73,83.18,0,0
342,1,1,c,0.31,19.24,11.73,82.2,0,0
342,1,1,c,0.32,19.98,11.68,82.74,0,0
342,1,1,c,0.33,20.89,11.73,81.55,0,0
342,1,1,c,0.34,21.62,11.84,81.73,0,0
342,1,1,c,0.35,22.36,11.79,80.31,0,0
342,1,1,c,0.36,23.09,11.84,81.65,0,0
342,1,1,c,0.37,23.82,11.73,81.88,0,0
342,1,1,c,0.38,24.56,11.68,81.57,0,0
342,1,1,c,0.39,25.29,11.68,80.66,0,0
342,1,1,c,0.4,26.02,11.73,81.59,0,0
342,1,1,c,0.41,26.94,11.95,79.98,0,0
342,1,1,c,0.42,27.49,12.05,80.17,0,0
342,1,1,c,0.43,28.41,12.27,80.04,0,0
342,1,1,c,0.44,29.14,12.59,80.76,0,0
342,1,1,c,0.45,29.87,12.54,80.03,0,0
342,1,1,c,0.46,30.79,12.54,79.25,0,0
342,1,1,c,0.47,31.52,12.16,79.34,0,0
342,1,1,c,0.48,32.25,12.05,79.72,0,0
342,1,1,c,0.49,32.99,12.21,80.23,0,0
342,1,1,c,0.5,33.72,12.43,81.6,0,0
342,1,1,c,0.51,34.45,12.48,80.38,0,0
342,1,1,c,0.52,35.19,12.27,78.29,0,0
342,1,1,c,0.53,35.92,12.16,80.19,0,0
342,1,1,c,0.54,36.65,12.32,79.69,0,0
342,1,1,c,0.55,37.39,12.11,80.42,0,0
342,1,1,c,0.56,38.12,12.86,78.23,0,0
342,1,1,c,0.57,38.67,14.04,70.46,0,0
342,1,1,c,0.58,39.03,15.43,58.68,0,0
342,1,1,c,0.59,39.22,16.71,45.17,0,0
342,1,1,c,0.6,39.22,17.2,29.76,0,0
342,1,1,e,0.61,39.03,17.3,0,0,0
342,1,1,e,0.62,38.85,18.64,-1.22,0,0
342,1,1,e,0.63,38.67,21.38,-7.23,0,0
342,1,1,e,0.64,38.3,23.52,-16.49,0,0
342,1,1,e,0.65,37.93,24.32,-28.2,0,0
342,1,1,e,0.66,37.57,24.27,-35.63,0,0
342,1,1,e,0.67,37.02,23.63,-44.19,0,0
342,1,1,e,0.68,36.47,22.82,-49.8,0,0
342,1,1,e,0.69,35.92,22.5,-55.75,0,0
342,1,1,e,0.7,35.19,22.77,-59.34,0,0
342,1,1,e,0.71,34.64,23.3,-61.18,0,0
342,1,1,e,0.72,34.09,23.14,-65.65,0,0
342,1,1,e,0.73,33.35,22.77,-68.45,0,0
342,1,1,e,0.74,32.62,22.39,-69.17,0,0
342,1,1,e,0.75,31.89,22.07,-71.28,0,0
342,1,1,e,0.76,31.15,21.7,-72.72,0,0
342,1,1,e,0.77,30.42,21.64,-73.93,0,0
342,1,1,e,0.78,29.87,21.64,-74.29,0,0
342,1,1,e,0.79,28.96,22.13,-76.02,0,0
342,1,1,e,0.8,28.22,22.98,-76.88,0,0
342,1,1,e,0.81,27.49,23.2,-76.59,0,0
342,1,1,e,0.82,26.76,22.88,-78.9,0,0
342,1,1,e,0.83,26.02,22.23,-78.33,0,0
342,1,1,e,0.84,25.29,21.7,-79.68,0,0
342,1,1,e,0.85,24.56,22.5,-81.51,0,0
342,1,1,e,0.86,23.82,23.68,-80.29,0,0
342,1,1,e,0.87,23.09,24.32,-80.97,0,0
342,1,1,e,0.88,22.36,24.11,-82.07,0,0
342,1,1,e,0.89,21.62,23.04,-81.16,0,0
342,1,1,e,0.9,20.89,22.45,-78.7,0,0
342,1,1,e,0.91,19.98,22.23,-78.66,0,0
342,1,1,e,0.92,19.24,22.5,-78.37,0,0
342,1,1,e,0.93,18.51,23.36,-78.59,0,0
342,1,1,e,0.94,17.78,24.59,-78.06,0,0
342,1,1,e,0.95,17.04,25.61,-77.74,0,0
342,1,1,e,0.96,16.31,25.66,-77.93,0,0
342,1,1,e,0.97,15.39,25.55,-77.72,0,0
342,1,1,e,0.98,14.66,24.86,-78.73,0,0
342,1,1,e,0.99,13.93,24.37,-80.07,0,0
342,1,1,e,1,13.19,24.75,-80.85,0,0
342,1,1,e,1.01,12.46,25.88,-81.74,0,0
342,1,1,e,1.02,11.73,26.57,-80.86,0,0
342,1,1,e,1.03,11,27.38,-80.4,0,0
342,1,1,e,1.04,10.26,28.13,-80.52,0,0
342,1,1,e,1.05,9.53,28.34,-79.54,0,0
342,1,1,e,1.06,8.8,28.55,-78.48,0,0
342,1,1,e,1.07,7.88,28.71,-78.53,0,0
342,1,1,e,1.08,7.15,29.14,-78.49,0,0
342,1,1,e,1.09,6.41,30.21,-77.74,0,0
342,1,1,e,1.1,5.68,31.55,-77.11,0,0
342,1,1,e,1.11,4.95,32.68,-77.48,0,0
342,1,1,e,1.12,4.21,34.07,-78.02,0,0
342,1,1,e,1.13,3.48,34.18,-77.21,0,0
342,1,1,e,1.14,2.57,34.23,-78.19,0,0
342,1,1,e,1.15,2.02,34.71,-79.23,0,0
342,1,1,e,1.16,1.1,36.27,-77.73,0,0
342,1,1,e,1.17,0.37,38.14,-80.55,0,0
