Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
343,1,1,c,0.01,0,3.91,0,0,0
343,1,1,c,0.02,0,4.61,0,0,0
343,1,1,c,0.03,0.18,5.36,0,0,0
343,1,1,c,0.04,0.37,6.37,0,0,0
343,1,1,c,0.05,0.73,7.66,9.35,0,0
343,1,1,c,0.06,1.1,9.11,22.13,0,0
343,1,1,c,0.07,1.65,10.55,38.06,0,0
343,1,1,c,0.08,2.2,11.84,50.44,0,0
343,1,1,c,0.09,2.75,12.86,57.04,0,0
343,1,1,c,0.1,3.48,13.39,61.01,0,0
343,1,1,c,0.11,4.21,13.98,65.66,0,0
343,1,1,c,0.12,4.76,14.57,69.79,0,0
343,1,1,c,0.13,5.5,15.11,71.94,0,0
343,1,1,c,0.14,6.23,15.59,74.85,0,0
343,1,1,c,0.15,6.96,16.02,76.44,0,0
343,1,1,c,0.16,7.7,16.39,77.92,0,0
343,1,1,c,0.17,8.61,16.61,77.93,0,0
343,1,1,c,0.18,9.35,16.93,79.35,0,0
343,1,1,c,0.19,10.08,17.04,79.56,0,0
343,1,1,c,0.2,11,16.88,83.43,0,0
343,1,1,c,0.21,11.73,17.46,82.95,0,0
343,1,1,c,0.22,12.46,17.95,84.28,0,0
343,1,1,c,0.23,13.19,18.54,83.64,0,0
343,1,1,c,0.24,14.11,18.91,84.09,0,0
343,1,1,c,0.25,14.84,18.96,85.83,0,0
343,1,1,c,0.26,15.76,18.86,84.87,0,0
343,1,1,c,0.27,16.49,18.8,82.56,0,0
343,1,1,c,0.28,17.23,18.75,81.68,0,0
343,1,1,c,0.29,17.96,18.75,82.43,0,0
343,1,1,c,0.3,18.69,18.8,81.17,0,0
343,1,1,c,0.31,19.43,18.75,81.12,0,0
343,1,1,c,0.32,20.34,19.07,82,0,0
343,1,1,c,0.33,20.89,19.5,82.04,0,0
343,1,1,c,0.34,21.81,19.61,79.88,0,0
343,1,1,c,0.35,22.54,19.61,79.65,0,0
343,1,1,c,0.36,23.27,19.39,79.32,0,0
343,1,1,c,0.37,24.19,19.23,80.3,0,0
343,1,1,c,0.38,24.92,19.5,79.38,0,0
343,1,1,c,0.39,25.66,19.82,79.27,0,0
343,1,1,c,0.4,26.39,20.04,79.69,0,0
343,1,1,c,0.41,27.12,19.77,79.71,0,0
343,1,1,c,0.42,27.86,19.61,80.64,0,0
343,1,1,c,0.43,28.59,19.34,80.96,0,0
343,1,1,c,0.44,29.32,19.39,80.44,0,0
343,1,1,c,0.45,30.05,19.66,81.57,0,0
343,1,1,c,0.46,30.97,19.77,80.06,0,0
343,1,1,c,0.47,31.7,19.77,80.29,0,0
343,1,1,c,0.48,32.44,19.66,80.16,0,0
343,1,1,c,0.49,33.17,19.71,80.79,0,0
343,1,1,c,0.5,33.9,19.93,79.97,0,0
343,1,1,c,0.51,34.82,20.04,79.11,0,0
343,1,1,c,0.52,35.55,20.09,79.04,0,0
343,1,1,c,0.53,36.1,19.66,78.97,0,0
343,1,1,c,0.54,37.02,18.96,80.16,0,0
343,1,1,c,0.55,37.75,18.64,81.38,0,0
343,1,1,c,0.56,38.48,18.59,80.33,0,0
343,1,1,c,0.57,39.22,18.8,79.88,0,0
343,1,1,c,0.58,39.95,18.96,81.01,0,0
343,1,1,c,0.59,40.68,18.7,80.76,0,0
343,1,1,c,0.6,41.42,18,80.18,0,0
343,1,1,c,0.61,42.33,17.36,79.66,0,0
343,1,1,c,0.62,43.07,16.82,78.94,0,0
343,1,1,c,0.63,43.8,16.66,79.51,0,0
343,1,1,c,0.64,44.35,17.52,76.9,0,0
343,1,1,c,0.65,44.9,19.39,68.41,0,0
343,1,1,c,0.66,45.08,19.98,55.29,0,0
343,1,1,c,0.67,45.08,20.41,37.84,0,0
343,1,1,c,0.68,45.08,20.52,21.54,0,0
343,1,1,c,0.69,45.08,20.63,11.02,0,0
343,1,1,e,0.7,44.72,22.18,-1.53,0,0
343,1,1,e,0.71,44.53,24.48,-8.98,0,0
343,1,1,e,0.72,44.17,26.04,-20.09,0,0
343,1,1,e,0.73,43.62,26.46,-33.98,0,0
343,1,1,e,0.74,43.25,26.09,-42.83,0,0
343,1,1,e,0.75,42.7,25.12,-48.79,0,0
343,1,1,e,0.76,42.15,24.32,-54.95,0,0
343,1,1,e,0.77,41.42,24.11,-58.46,0,0
343,1,1,e,0.78,40.87,24.43,-60.82,0,0
343,1,1,e,0.79,40.32,24.7,-64.54,0,0
343,1,1,e,0.8,39.58,25.18,-68.58,0,0
343,1,1,e,0.81,38.85,25.45,-69.53,0,0
343,1,1,e,0.82,38.12,25.98,-71.85,0,0
343,1,1,e,0.83,37.57,26.57,-73.59,0,0
343,1,1,e,0.84,36.84,26.52,-74.32,0,0
343,1,1,e,0.85,36.1,26.25,-74.81,0,0
343,1,1,e,0.86,35.37,26.41,-75.59,0,0
343,1,1,e,0.87,34.64,27.32,-75.4,0,0
343,1,1,e,0.88,33.9,28.66,-75.13,0,0
343,1,1,e,0.89,33.17,29.79,-74.1,0,0
343,1,1,e,0.9,32.44,30.75,-74.7,0,0
343,1,1,e,0.91,31.7,30.7,-74.46,0,0
343,1,1,e,0.92,31.15,29.46,-75.59,0,0
343,1,1,e,0.93,30.24,28.88,-76,0,0
343,1,1,e,0.94,29.5,29.52,-75.83,0,0
343,1,1,e,0.95,28.77,30.8,-75.53,0,0
