Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
346,1,1,c,0.01,0,3.96,0,0,0
346,1,1,c,0.02,0.18,4.55,0,0,0
346,1,1,c,0.03,0.18,4.5,0,0,0
346,1,1,c,0.04,0.55,4.23,4.68,0,0
346,1,1,c,0.05,0.92,4.23,14.82,0,0
346,1,1,c,0.06,1.28,4.66,27.23,0,0
346,1,1,c,0.07,1.65,5.63,40,0,0
346,1,1,c,0.08,2.38,6.96,47,0,0
346,1,1,c,0.09,2.75,8.25,54.91,0,0
346,1,1,c,0.1,3.48,8.52,59.02,0,0
346,1,1,c,0.11,4.21,8.41,64.44,0,0
346,1,1,c,0.12,4.76,8.2,65.16,0,0
346,1,1,c,0.13,5.31,8.68,69.64,0,0
346,1,1,c,0.14,6.23,9.32,70.4,0,0
346,1,1,c,0.15,6.78,9.86,72.53,0,0
346,1,1,c,0.16,7.51,10.02,75.17,0,0
346,1,1,c,0.17,8.25,9.75,77.5,0,0
346,1,1,c,0.18,8.98,9.7,78.19,0,0
346,1,1,c,0.19,9.9,9.96,79.07,0,0
346,1,1,c,0.2,10.63,10.23,77.77,0,0
346,1,1,c,0.21,11.18,10.55,77.29,0,0
346,1,1,c,0.22,12.1,10.55,78.81,0,0
346,1,1,c,0.23,12.83,10.45,78.79,0,0
346,1,1,c,0.24,13.74,10.18,81.17,0,0
346,1,1,c,0.25,14.48,10.07,80.06,0,0
346,1,1,c,0.26,15.21,10.18,81.35,0,0
346,1,1,c,0.27,15.94,10.5,82.66,0,0
346,1,1,c,0.28,16.68,10.66,82.34,0,0
346,1,1,c,0.29,17.41,10.45,82.42,0,0
346,1,1,c,0.3,18.33,10.23,83.99,0,0
346,1,1,c,0.31,19.06,10.07,82.01,0,0
346,1,1,c,0.32,19.79,9.43,82.51,0,0
346,1,1,c,0.33,20.53,9.54,79.41,0,0
346,1,1,c,0.34,21.26,9.8,80.81,0,0
346,1,1,c,0.35,22.17,10.13,80.51,0,0
346,1,1,c,0.36,22.91,9.54,81.26,0,0
346,1,1,c,0.37,23.64,9.11,82.96,0,0
346,1,1,c,0.38,24.37,9.05,82.75,0,0
346,1,1,c,0.39,25.11,9.11,81.39,0,0
346,1,1,c,0.4,25.84,9.43,82.11,0,0
