Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
350,1,1,c,0.01,0,3.48,0,0,0
350,1,1,c,0.02,0,2.3,0,0,0
350,1,1,c,0.03,0.18,0.91,0,0,0
350,1,1,c,0.04,0.37,0.8,1.72,0,0
350,1,1,c,0.05,0.55,0.91,10.22,0,0
350,1,1,c,0.06,0.92,1.13,17.53,0,0
350,1,1,c,0.07,1.1,1.23,24.58,0,0
350,1,1,c,0.08,1.28,0.7,26.58,0,0
350,1,1,c,0.09,1.65,0.59,29.74,0,0
350,1,1,c,0.1,2.02,0.8,32.66,0,0
350,1,1,c,0.11,2.38,1.29,33.86,0,0
350,1,1,c,0.12,2.57,1.29,32.61,0,0
350,1,1,c,0.13,2.93,1.02,31.54,0,0
350,1,1,c,0.14,3.3,0.8,32.17,0,0
350,1,1,c,0.15,3.67,0.91,35.36,0,0
350,1,1,c,0.16,4.03,0.86,36.56,0,0
350,1,1,c,0.17,4.21,0.96,37.25,0,0
350,1,1,c,0.18,4.58,0.75,34.15,0,0
350,1,1,c,0.19,4.95,0.8,31.14,0,0
350,1,1,c,0.2,5.13,0.54,28.08,0,0
350,1,1,c,0.21,5.31,0.59,26.46,0,0
350,1,1,c,0.22,5.5,0.38,23.77,0,0
350,1,1,c,0.23,5.68,0.64,20.52,0,0
350,1,1,c,0.24,5.68,0.59,18.96,0,0
350,1,1,c,0.25,5.86,0.32,15.34,0,0
350,1,1,c,0.26,5.86,0.7,12.62,0,0
350,1,1,c,0.27,5.86,0.7,9.07,0,0
350,1,1,c,0.28,6.05,0.48,8.2,0,0
350,1,1,c,0.29,6.05,0.96,7.88,0,0
350,1,1,c,0.3,6.05,0.64,7.44,0,0
350,1,1,c,0.31,6.05,0.43,6.73,0,0
350,1,1,c,0.32,6.05,0.75,5.67,0,0
350,1,1,c,0.33,6.05,0.91,4.41,0,0
350,1,1,c,0.34,6.05,0.96,2.73,0,0
350,1,1,c,0.35,6.05,0.91,1.38,0,0
350,1,1,c,0.36,6.05,1.02,0.29,0,0
350,1,1,c,0.37,6.05,0.75,0,0,0
350,1,1,c,0.38,6.05,0.64,0,0,0
350,1,1,c,0.39,6.05,0.59,0,0,0
350,1,1,c,0.4,6.05,0.59,0,0,0
350,1,1,c,0.41,6.05,0.54,0,0,0
350,1,1,c,0.42,6.23,0.54,0,0,0
350,1,1,c,0.43,6.23,0.54,0,0,0
350,1,1,c,0.44,6.23,0.48,0,0,0
350,1,1,c,0.45,6.23,0.43,0,0,0
350,1,1,c,0.46,6.23,0.43,0,0,0
350,1,1,c,0.47,6.41,0.38,0.11,0,0
350,1,1,c,0.48,6.41,0.32,1.24,0,0
350,1,1,c,0.49,6.41,0.32,2.36,0,0
350,1,1,c,0.5,6.41,0,3.49,0,0
350,1,1,c,0.51,6.41,0,3.6,0,0
350,1,1,c,0.52,6.41,0.38,3.6,0,0
350,1,1,c,0.53,6.41,0.54,3.51,0,0
350,1,1,c,0.54,6.41,0.59,2.38,0,0
350,1,1,c,0.55,6.41,0.59,1.26,0,0
350,1,1,c,0.56,6.41,0.59,0.19,0,0
350,1,1,c,0.57,6.41,0.54,0,0,0
350,1,1,c,0.58,6.41,0.54,0,0,0
350,1,1,c,0.59,6.41,0.54,0,0,0
350,1,1,c,0.6,6.41,0.54,0,0,0
350,1,1,c,0.61,6.41,0.48,0,0,0
350,1,1,c,0.62,6.41,0.54,0,0,0
350,1,1,c,0.63,6.41,0.48,0,0,0
350,1,1,c,0.64,6.41,0.54,0,0,0
350,1,1,c,0.65,6.41,0.54,0,0,0
350,1,1,c,0.66,6.41,0.48,0,0,0
350,1,1,c,0.67,6.41,0.54,0,0,0
350,1,1,c,0.68,6.41,0.54,0,0,0
350,1,1,c,0.69,6.41,0.48,0,0,0
350,1,1,c,0.7,6.41,0.54,0,0,0
350,1,1,c,0.71,6.41,0.54,0,0,0
350,1,1,c,0.72,6.41,0.59,0,0,0
350,1,1,c,0.73,6.41,0.59,0,0,0
350,1,1,c,0.74,6.41,0.54,0,0,0
350,1,1,c,0.75,6.41,0.59,0,0,0
