Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
363,1,1,c,0.01,0,3.7,0,0,0
363,1,1,c,0.02,0,3.86,0,0,0
363,1,1,c,0.03,0.18,3.75,0,0,0
363,1,1,c,0.04,0.37,3.38,0,0,0
363,1,1,c,0.05,0.73,2.89,10.8,0,0
363,1,1,c,0.06,1.28,2.46,23.68,0,0
363,1,1,c,0.07,1.65,2.3,40.45,0,0
363,1,1,c,0.08,2.2,2.57,47.26,0,0
363,1,1,c,0.09,2.75,3.05,55.4,0,0
363,1,1,c,0.1,3.48,3.59,59.55,0,0
363,1,1,c,0.11,4.03,4.39,62.38,0,0
363,1,1,c,0.12,4.58,5.09,65.72,0,0
363,1,1,c,0.13,5.31,5.84,69.24,0,0
363,1,1,c,0.14,6.05,6.27,71.86,0,0
363,1,1,c,0.15,6.78,6.54,75.37,0,0
363,1,1,c,0.16,7.51,6.75,77.48,0,0
363,1,1,c,0.17,8.25,6.7,79.24,0,0
363,1,1,c,0.18,8.98,6.64,79.13,0,0
363,1,1,c,0.19,9.71,6.7,79.42,0,0
363,1,1,c,0.2,10.45,6.8,78.93,0,0
363,1,1,c,0.21,11.18,7.07,78.37,0,0
363,1,1,c,0.22,12.1,7.45,78.85,0,0
363,1,1,c,0.23,12.64,7.61,78.43,0,0
363,1,1,c,0.24,13.56,7.77,78.02,0,0
363,1,1,c,0.25,14.29,7.77,79.1,0,0
363,1,1,c,0.26,15.03,7.77,78.64,0,0
363,1,1,c,0.27,15.94,7.71,80.06,0,0
363,1,1,c,0.28,16.49,7.55,78.91,0,0
363,1,1,c,0.29,17.41,7.55,80.36,0,0
363,1,1,c,0.3,18.14,7.66,81.73,0,0
363,1,1,c,0.31,18.88,7.98,81.7,0,0
363,1,1,c,0.32,19.61,8.25,82.25,0,0
363,1,1,c,0.33,20.53,8.41,83.4,0,0
363,1,1,c,0.34,21.26,8.46,81.98,0,0
363,1,1,c,0.35,21.99,8.36,80.55,0,0
363,1,1,c,0.36,22.72,8.2,79.81,0,0
363,1,1,c,0.37,23.46,8.25,79.16,0,0
363,1,1,c,0.38,24.37,8.25,79.86,0,0
363,1,1,c,0.39,25.11,8.25,78.71,0,0
363,1,1,c,0.4,25.84,8.3,80,0,0
363,1,1,c,0.41,26.57,8.3,81.02,0,0
363,1,1,c,0.42,27.31,8.79,80.24,0,0
363,1,1,c,0.43,28.04,8.89,82.89,0,0
363,1,1,c,0.44,28.77,8.84,81.03,0,0
363,1,1,c,0.45,29.69,8.79,82.77,0,0
363,1,1,c,0.46,30.42,8.68,80.91,0,0
363,1,1,c,0.47,31.15,8.68,79.92,0,0
363,1,1,c,0.48,31.89,8.73,79.75,0,0
363,1,1,c,0.49,32.62,8.73,78.49,0,0
363,1,1,c,0.5,33.35,8.84,77.45,0,0
363,1,1,c,0.51,33.9,9.86,72.3,0,0
363,1,1,c,0.52,34.27,10.98,60.64,0,0
363,1,1,c,0.53,34.27,12.11,43.38,0,0
363,1,1,c,0.54,34.27,13.34,26.43,0,0
363,1,1,c,0.55,34.27,13.82,14.31,0,0
363,1,1,e,0.56,34.09,14.46,0,0,0
363,1,1,e,0.57,33.9,15.64,-5.51,0,0
363,1,1,e,0.58,33.54,16.55,-15.71,0,0
363,1,1,e,0.59,33.17,16.93,-28.73,0,0
363,1,1,e,0.6,32.62,17.3,-39.77,0,0
363,1,1,e,0.61,32.07,17.14,-48.78,0,0
363,1,1,e,0.62,31.52,16.66,-52,0,0
363,1,1,e,0.63,30.97,16.02,-58.34,0,0
363,1,1,e,0.64,30.24,15.7,-62.35,0,0
363,1,1,e,0.65,29.69,15.59,-64.21,0,0
363,1,1,e,0.66,28.96,15.48,-65.47,0,0
363,1,1,e,0.67,28.22,15.21,-69.73,0,0
363,1,1,e,0.68,27.67,15,-72.25,0,0
363,1,1,e,0.69,26.94,14.89,-73.63,0,0
363,1,1,e,0.7,26.21,15,-74.41,0,0
363,1,1,e,0.71,25.47,15.21,-75.29,0,0
363,1,1,e,0.72,24.74,15.48,-77.45,0,0
363,1,1,e,0.73,24.01,15.59,-79.16,0,0
363,1,1,e,0.74,23.27,15.43,-80.38,0,0
363,1,1,e,0.75,22.54,15.43,-80.48,0,0
363,1,1,e,0.76,21.81,15.43,-80.27,0,0
363,1,1,e,0.77,21.07,15.48,-80.12,0,0
363,1,1,e,0.78,20.34,15.43,-79.03,0,0
363,1,1,e,0.79,19.61,15.7,-78.96,0,0
363,1,1,e,0.8,18.88,15.96,-78.35,0,0
363,1,1,e,0.81,18.14,16.5,-77.55,0,0
363,1,1,e,0.82,17.41,17.14,-77.87,0,0
363,1,1,e,0.83,16.49,17.52,-79.29,0,0
363,1,1,e,0.84,15.76,17.79,-79.33,0,0
363,1,1,e,0.85,15.03,17.57,-79.63,0,0
363,1,1,e,0.86,14.29,17.2,-77.94,0,0
363,1,1,e,0.87,13.56,17.68,-78.1,0,0
363,1,1,e,0.88,12.83,18,-77.89,0,0
363,1,1,e,0.89,12.1,18.38,-78.15,0,0
363,1,1,e,0.9,11.36,18.86,-78.56,0,0
363,1,1,e,0.91,10.63,19.45,-78.64,0,0
363,1,1,e,0.92,9.9,19.66,-77.9,0,0
363,1,1,e,0.93,8.98,19.98,-79.44,0,0
363,1,1,e,0.94,8.25,20.46,-79.77,0,0
363,1,1,e,0.95,7.51,21.05,-78.76,0,0
363,1,1,e,0.96,6.78,21.27,-78.93,0,0
363,1,1,e,0.97,6.05,21.16,-77.47,0,0
363,1,1,e,0.98,5.31,21.05,-78.64,0,0
363,1,1,e,0.99,4.58,21,-81.04,0,0
363,1,1,e,1,3.85,22.45,-80.94,0,0
363,1,1,e,1.01,3.12,23.52,-79.78,0,0
363,1,1,e,1.02,2.38,24.16,-79.98,0,0
363,1,1,e,1.03,1.65,24.48,-79.62,0,0
363,1,1,e,1.04,0.92,23.2,-80.91,0,0
363,1,1,e,1.05,0.18,23.14,-81.01,0,0
363,1,1,e,1.06,-0.55,23.09,-79.1,0,0
363,1,1,e,1.07,-1.28,23.09,-77.96,0,0
363,1,1,e,1.08,-2.02,18.38,-72.76,0,0
363,1,1,e,1.09,-2.38,19.61,-64.81,0,0
363,1,1,e,1.1,-2.57,19.5,-50.08,0,0
363,1,1,e,1.11,-2.75,18.91,-35.32,0,0
363,1,2,c,1.12,-2.57,17.89,0,0,0
363,1,2,c,1.13,-2.38,17.14,0.65,0,0
363,1,2,c,1.14,-2.38,14.73,3.92,0,0
363,1,2,c,1.15,-2.02,13.07,12,0,0
363,1,2,c,1.16,-1.65,11.73,23.26,0,0
363,1,2,c,1.17,-1.28,11.09,33.17,0,0
363,1,2,c,1.18,-0.73,11.3,41.12,0,0
363,1,2,c,1.19,-0.18,11.2,49.04,0,0
363,1,2,c,1.2,0.37,11.41,53.17,0,0
363,1,2,c,1.21,0.92,11.63,60.28,0,0
363,1,2,c,1.22,1.65,11.46,65.66,0,0
363,1,2,c,1.23,2.38,10.93,66.82,0,0
363,1,2,c,1.24,2.93,10.66,68.41,0,0
363,1,2,c,1.25,3.67,10.5,70.68,0,0
363,1,2,c,1.26,4.4,10.88,72.17,0,0
363,1,2,c,1.27,5.13,11.2,74.01,0,0
363,1,2,c,1.28,5.86,11.25,75.06,0,0
363,1,2,c,1.29,6.6,10.82,77.32,0,0
363,1,2,c,1.3,7.33,10.71,77.43,0,0
363,1,2,c,1.31,8.06,10.66,78.5,0,0
363,1,2,c,1.32,8.8,10.71,78.48,0,0
363,1,2,c,1.33,9.71,10.82,79.02,0,0
363,1,2,c,1.34,10.26,10.77,80.53,0,0
363,1,2,c,1.35,11.18,10.61,81.97,0,0
363,1,2,c,1.36,11.91,10.34,82.15,0,0
363,1,2,c,1.37,12.64,10.23,81.92,0,0
363,1,2,c,1.38,13.38,10.23,81.18,0,0
363,1,2,c,1.39,14.11,10.07,80.26,0,0
363,1,2,c,1.4,15.03,10.02,81.83,0,0
363,1,2,c,1.41,15.76,10.02,81.13,0,0
363,1,2,c,1.42,16.49,9.91,81.98,0,0
363,1,2,c,1.43,17.23,9.59,79.26,0,0
363,1,2,c,1.44,18.14,9.21,80.22,0,0
363,1,2,c,1.45,18.88,9.43,80,0,0
363,1,2,c,1.46,19.61,9.32,81.21,0,0
363,1,2,c,1.47,20.34,9.16,83.71,0,0
363,1,2,c,1.48,21.07,9.11,82.69,0,0
363,1,2,c,1.49,21.99,8.73,82.84,0,0
363,1,2,c,1.5,22.54,8.57,80.95,0,0
363,1,2,c,1.51,23.46,8.73,80.3,0,0
363,1,2,c,1.52,24.19,8.89,79.77,0,0
363,1,2,c,1.53,25.11,8.79,79.28,0,0
363,1,2,c,1.54,25.84,9,79.79,0,0
363,1,2,c,1.55,26.57,9.21,79.02,0,0
363,1,2,c,1.56,27.31,9,81.34,0,0
363,1,2,c,1.57,28.04,9.05,82.81,0,0
363,1,2,c,1.58,28.77,9.05,81.88,0,0
363,1,2,c,1.59,29.5,9.16,82.17,0,0
363,1,2,c,1.6,30.24,9.21,82.22,0,0
363,1,2,c,1.61,30.97,9.38,80.71,0,0
363,1,2,c,1.62,31.89,9.21,78.06,0,0
363,1,2,c,1.63,32.62,8.95,78.75,0,0
363,1,2,c,1.64,33.17,9.27,77.98,0,0
363,1,2,c,1.65,33.72,10.45,72.34,0,0
363,1,2,c,1.66,34.09,11.57,58.53,0,0
363,1,2,c,1.67,34.27,12.86,43,0,0
363,1,2,e,1.68,34.09,13.18,0,0,0
363,1,2,e,1.69,34.09,12.7,0,0,0
363,1,2,e,1.7,33.9,12.86,-1.35,0,0
363,1,2,e,1.71,33.72,14.09,-5.6,0,0
363,1,2,e,1.72,33.35,15.48,-15.34,0,0
363,1,2,e,1.73,32.99,16.39,-26.72,0,0
363,1,2,e,1.74,32.44,16.55,-37.43,0,0
363,1,2,e,1.75,32.07,15.75,-46.08,0,0
363,1,2,e,1.76,31.52,14.84,-50.6,0,0
363,1,2,e,1.77,30.97,14.36,-57.52,0,0
363,1,2,e,1.78,30.24,14.95,-59.8,0,0
363,1,2,e,1.79,29.69,15.48,-62.54,0,0
363,1,2,e,1.8,29.14,15.8,-64.19,0,0
363,1,2,e,1.81,28.41,15.54,-68.33,0,0
363,1,2,e,1.82,27.67,14.68,-69.95,0,0
363,1,2,e,1.83,26.94,14.41,-71.22,0,0
363,1,2,e,1.84,26.21,14.52,-72.91,0,0
363,1,2,e,1.85,25.47,15.21,-75,0,0
363,1,2,e,1.86,24.74,16.29,-76.84,0,0
363,1,2,e,1.87,24.01,16.93,-78.53,0,0
363,1,2,e,1.88,23.27,16.93,-80.51,0,0
363,1,2,e,1.89,22.54,16.66,-79.87,0,0
363,1,2,e,1.9,21.81,16.5,-79.73,0,0
363,1,2,e,1.91,21.07,16.66,-80.42,0,0
363,1,2,e,1.92,20.34,17.2,-78.62,0,0
363,1,2,e,1.93,19.61,18.05,-77.72,0,0
363,1,2,e,1.94,18.88,18.8,-78.99,0,0
363,1,2,e,1.95,18.14,19.45,-79.07,0,0
363,1,2,e,1.96,17.41,20.41,-80.09,0,0
363,1,2,e,1.97,16.68,20.89,-79.35,0,0
363,1,2,e,1.98,15.94,20.89,-77.33,0,0
363,1,2,e,1.99,15.03,20.46,-78.39,0,0
363,1,2,e,2,14.29,20.25,-78.94,0,0
363,1,2,e,2.01,13.56,20.84,-79.51,0,0
363,1,2,e,2.02,12.83,21.75,-78.86,0,0
363,1,2,e,2.03,12.1,22.77,-78.33,0,0
363,1,2,e,2.04,11.36,23.25,-78.17,0,0
363,1,2,e,2.05,10.63,23.36,-77.65,0,0
363,1,2,e,2.06,9.71,23.36,-77.86,0,0
363,1,2,e,2.07,9.16,23.25,-79.16,0,0
363,1,2,e,2.08,8.25,23.73,-79.3,0,0
363,1,2,e,2.09,7.51,24.64,-77.64,0,0
363,1,2,e,2.1,6.78,25.18,-78.84,0,0
363,1,2,e,2.11,6.05,24.59,-78.63,0,0
