Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
412,1,1,c,10,0.0,36.9,0.0,0,0
412,1,1,c,20,0.0,79.4,0.0,0,0
412,1,1,c,30,1.6,110.8,0.0,0,0
412,1,1,c,40,4.9,128.5,42.6,0,0
412,1,1,c,50,8.1,124.6,134.2,0,0
412,1,1,c,60,11.4,108.1,254.5,0,0
412,1,1,c,70,14.6,96.5,378.1,0,0
412,1,1,c,80,19.5,93.2,421.6,0,0
412,1,1,c,90,24.3,98.1,501.0,0,0
412,1,1,c,100,30.8,108.1,541.9,0,0
412,1,1,c,110,37.3,111.9,591.2,0,0
412,1,1,c,120,43.8,111.4,626.8,0,0
412,1,1,c,130,48.7,107.5,666.3,0,0
412,1,1,c,140,55.2,103.7,670.5,0,0
412,1,1,c,150,63.3,103.1,697.2,0,0
412,1,1,c,160,69.8,105.9,715.9,0,0
412,1,1,c,170,76.3,108.1,736.1,0,0
412,1,1,c,180,82.8,111.9,754.3,0,0
412,1,1,c,190,90.9,113.6,756.7,0,0
412,1,1,c,200,99.0,114.1,774.3,0,0
412,1,1,c,210,105.5,111.4,783.3,0,0
412,1,1,c,220,112.0,108.1,783.2,0,0
412,1,1,c,230,120.1,105.3,799.7,0,0
412,1,1,c,240,128.2,105.3,806.5,0,0
412,1,1,c,250,134.7,104.2,803.4,0,0
412,1,1,c,260,142.8,104.2,806.6,0,0
412,1,1,c,270,151.0,103.7,829.4,0,0
412,1,1,c,280,157.4,103.1,832.7,0,0
412,1,1,c,290,165.6,102.0,800.0,0,0
412,1,1,c,300,173.7,99.8,802.1,0,0
412,1,1,c,310,180.2,93.7,800.0,0,0
412,1,1,c,320,188.3,95.4,782.6,0,0
412,1,1,c,330,196.4,97.0,804.8,0,0
412,1,1,c,340,202.9,100.9,800.9,0,0
412,1,1,c,350,211.0,99.3,808.6,0,0
412,1,1,c,360,219.1,96.5,833.1,0,0
412,1,1,c,370,225.6,92.6,825.0,0,0
412,1,1,c,380,233.7,93.7,788.7,0,0
412,1,1,c,390,241.9,94.8,814.7,0,0
412,1,1,c,400,248.3,95.4,805.9,0,0
412,1,1,c,410,256.5,92.6,781.6,0,0
412,1,1,c,420,264.6,89.3,804.4,0,0
412,1,1,c,430,271.1,89.3,809.5,0,0
412,1,1,c,440,279.2,93.7,798.7,0,0
412,1,1,c,450,287.3,96.5,807.3,0,0
412,1,1,c,460,293.8,96.5,803.6,0,0
412,1,1,c,470,301.9,96.5,782.9,0,0
412,1,1,c,480,308.4,95.4,785.4,0,0
412,1,1,c,490,316.5,96.5,805.6,0,0
412,1,1,c,500,323.0,97.0,780.2,0,0
412,1,1,c,510,331.1,95.4,770.8,0,0
412,1,1,c,520,339.2,92.6,800.2,0,0
412,1,1,c,530,345.7,89.3,802.1,0,0
412,1,1,c,540,353.8,91.0,780.4,0,0
412,1,1,c,550,358.7,99.8,740.3,0,0
412,1,1,c,560,363.6,114.7,637.3,0,0
412,1,1,c,570,365.2,125.2,503.4,0,0
412,1,1,c,580,366.8,138.4,337.2,0,0
412,1,1,e,590,365.2,136.7,0.0,0,0
412,1,1,e,600,365.2,143.9,0.0,0,0
412,1,1,e,610,363.6,155.5,-7.7,0,0
412,1,1,e,620,362.0,172.6,-88.4,0,0
412,1,1,e,630,358.7,192.4,-185.9,0,0
412,1,1,e,640,355.5,208.4,-295.0,0,0
412,1,1,e,650,350.6,213.9,-347.5,0,0
412,1,1,e,660,345.7,208.4,-426.5,0,0
412,1,1,e,670,340.9,200.7,-468.8,0,0
412,1,1,e,680,336.0,191.3,-527.8,0,0
412,1,1,e,690,329.5,182.0,-579.6,0,0
412,1,1,e,700,323.0,185.3,-597.5,0,0
412,1,1,e,710,318.1,199.6,-624.6,0,0
412,1,1,e,720,311.6,214.5,-655.2,0,0
