Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
414,1,1,c,10,0.0,33.6,0.0,0,0
414,1,1,c,20,1.6,33.6,0.0,0,0
414,1,1,c,30,1.6,24.3,0.0,0,0
414,1,1,c,40,4.9,17.1,31.3,0,0
414,1,1,c,50,8.1,16.0,123.6,0,0
414,1,1,c,60,11.4,20.4,236.2,0,0
414,1,1,c,70,14.6,29.2,376.2,0,0
414,1,1,c,80,19.5,41.9,435.2,0,0
414,1,1,c,90,24.3,60.1,494.7,0,0
414,1,1,c,100,30.8,79.4,528.7,0,0
414,1,1,c,110,37.3,93.7,575.1,0,0
414,1,1,c,120,42.2,95.9,612.7,0,0
414,1,1,c,130,48.7,93.2,664.0,0,0
414,1,1,c,140,55.2,86.6,682.7,0,0
414,1,1,c,150,61.7,88.2,712.6,0,0
414,1,1,c,160,69.8,95.4,710.4,0,0
414,1,1,c,170,76.3,104.8,724.7,0,0
414,1,1,c,180,82.8,111.9,744.8,0,0
414,1,1,c,190,90.9,110.8,757.9,0,0
414,1,1,c,200,99.0,110.3,799.6,0,0
414,1,1,c,210,105.5,110.3,809.8,0,0
414,1,1,c,220,112.0,110.8,797.6,0,0
414,1,1,c,230,120.1,116.3,780.3,0,0
414,1,1,c,240,128.2,127.9,804.6,0,0
414,1,1,c,250,134.7,129.6,813.5,0,0
414,1,1,c,260,142.8,123.5,807.0,0,0
414,1,1,c,270,151.0,121.3,828.0,0,0
414,1,1,c,280,157.4,118.6,830.0,0,0
414,1,1,c,290,165.6,119.1,822.4,0,0
414,1,1,c,300,173.7,121.3,833.1,0,0
414,1,1,c,310,181.8,121.9,819.8,0,0
414,1,1,c,320,189.9,121.3,809.6,0,0
414,1,1,c,330,196.4,120.8,841.2,0,0
414,1,1,c,340,204.5,122.4,819.7,0,0
414,1,1,c,350,211.0,122.4,821.5,0,0
414,1,1,c,360,219.1,120.2,822.1,0,0
414,1,1,c,370,227.2,117.4,784.0,0,0
414,1,1,c,380,233.7,115.8,785.7,0,0
414,1,1,c,390,241.9,117.4,812.6,0,0
414,1,1,c,400,248.3,114.1,790.1,0,0
414,1,1,c,410,256.5,123.5,780.1,0,0
414,1,1,c,420,264.6,130.1,814.2,0,0
414,1,1,c,430,271.1,128.5,803.4,0,0
414,1,1,c,440,277.6,122.4,782.2,0,0
414,1,1,c,450,287.3,117.4,798.9,0,0
414,1,1,c,460,293.8,115.8,799.3,0,0
414,1,1,c,470,301.9,117.4,795.3,0,0
414,1,1,c,480,310.0,120.2,800.1,0,0
414,1,1,c,490,316.5,120.8,799.8,0,0
414,1,1,c,500,324.6,118.6,779.4,0,0
414,1,1,c,510,331.1,120.2,790.2,0,0
414,1,1,c,520,339.2,121.9,815.4,0,0
414,1,1,c,530,345.7,123.0,802.9,0,0
414,1,1,c,540,353.8,125.2,778.3,0,0
414,1,1,c,550,358.7,134.5,751.5,0,0
414,1,1,c,560,362.0,150.0,615.0,0,0
414,1,1,c,570,365.2,166.0,463.2,0,0
414,1,1,c,580,365.2,175.9,315.6,0,0
414,1,1,c,590,365.2,172.0,194.3,0,0
414,1,1,e,600,363.6,167.1,0.0,0,0
414,1,1,e,610,362.0,183.1,-52.4,0,0
414,1,1,e,620,358.7,211.7,-115.8,0,0
414,1,1,e,630,355.5,233.2,-231.6,0,0
414,1,1,e,640,352.2,242.6,-309.5,0,0
414,1,1,e,650,347.4,243.7,-381.5,0,0
414,1,1,e,660,342.5,236.6,-440.7,0,0
414,1,1,e,670,337.6,234.9,-484.1,0,0
414,1,1,e,680,332.7,235.4,-538.3,0,0
414,1,1,e,690,326.3,242.1,-589.3,0,0
414,1,1,e,700,319.8,249.2,-591.8,0,0
414,1,1,e,710,314.9,250.9,-617.6,0,0
414,1,1,e,720,308.4,249.8,-643.8,0,0
414,1,1,e,730,301.9,242.6,-664.7,0,0
414,1,1,e,740,295.4,247.6,-675.1,0,0
414,1,1,e,750,288.9,252.5,-690.1,0,0
414,1,1,e,760,280.8,263.0,-710.5,0,0
414,1,1,e,770,274.3,258.6,-718.7,0,0
414,1,1,e,780,267.8,258.6,-741.0,0,0
414,1,1,e,790,261.3,259.7,-740.8,0,0
414,1,1,e,800,254.8,259.7,-753.4,0,0
414,1,1,e,810,246.7,264.7,-760.7,0,0
414,1,1,e,820,238.6,270.7,-772.5,0,0
414,1,1,e,830,232.1,275.7,-769.1,0,0
414,1,1,e,840,225.6,274.0,-770.1,0,0
414,1,1,e,850,217.5,272.4,-775.3,0,0
414,1,1,e,860,211.0,269.6,-768.3,0,0
414,1,1,e,870,202.9,242.6,-769.7,0,0
414,1,1,e,880,196.4,254.2,-780.4,0,0
414,1,1,e,890,189.9,274.0,-783.7,0,0
414,1,1,e,900,180.2,285.1,-790.1,0,0
414,1,1,e,910,173.7,284.0,-795.9,0,0
414,1,1,e,920,167.2,278.5,-778.9,0,0
414,1,1,e,930,159.1,261.4,-768.0,0,0
414,1,1,e,940,152.6,263.6,-785.0,0,0
414,1,1,e,950,144.5,274.0,-791.2,0,0
414,1,1,e,960,136.3,292.8,-792.9,0,0
414,1,1,e,970,128.2,302.7,-808.3,0,0
414,1,1,e,980,121.7,300.0,-826.0,0,0
414,1,1,e,990,115.2,291.1,-795.7,0,0
414,1,1,e,1000,107.1,269.1,-800.4,0,0
414,1,1,e,1010,100.6,274.6,-805.9,0,0
414,1,1,e,1020,92.5,290.6,-807.5,0,0
414,1,1,e,1030,84.4,304.4,-776.5,0,0
414,1,1,e,1040,77.9,312.6,-780.4,0,0
414,1,1,e,1050,69.8,310.4,-786.1,0,0
414,1,1,e,1060,63.3,298.9,-781.3,0,0
414,1,1,e,1070,55.2,292.8,-773.4,0,0
414,1,1,e,1080,47.1,292.2,-806.9,0,0
414,1,1,e,1090,40.6,300.0,-806.2,0,0
414,1,1,e,1100,32.5,301.1,-794.5,0,0
414,1,1,e,1110,24.3,301.1,-784.1,0,0
414,1,1,e,1120,17.9,301.6,-797.4,0,0
414,1,1,e,1130,9.7,284.5,-779.3,0,0
414,1,1,e,1140,3.2,292.8,-786.8,0,0
414,1,1,e,1150,-4.9,310.4,-817.2,0,0
414,1,1,e,1160,-11.4,316.5,-795.4,0,0
414,1,1,e,1170,-17.9,304.9,-756.0,0,0
414,1,1,e,1180,-22.7,288.4,-681.0,0,0
414,1,1,e,1190,-27.6,268.0,-557.8,0,0
414,1,1,e,1200,-27.6,247.6,-430.5,0,0
414,1,1,e,1210,-29.2,243.7,-289.2,0,0
414,1,2,c,1220,-27.6,244.8,0.0,0,0
414,1,2,c,1230,-27.6,244.3,0.0,0,0
414,1,2,c,1240,-24.3,226.1,23.8,0,0
414,1,2,c,1250,-22.7,200.2,104.6,0,0
414,1,2,c,1260,-19.5,179.8,204.4,0,0
414,1,2,c,1270,-16.2,168.2,320.8,0,0
414,1,2,c,1280,-11.4,166.5,394.0,0,0
414,1,2,c,1290,-6.5,169.3,445.9,0,0
414,1,2,c,1300,-1.6,173.1,522.1,0,0
414,1,2,c,1310,4.9,172.6,566.3,0,0
414,1,2,c,1320,9.7,166.0,592.8,0,0
414,1,2,c,1330,16.2,160.5,628.4,0,0
414,1,2,c,1340,22.7,153.8,650.6,0,0
414,1,2,c,1350,29.2,150.5,666.9,0,0
414,1,2,c,1360,37.3,148.9,689.0,0,0
414,1,2,c,1370,43.8,148.3,709.8,0,0
414,1,2,c,1380,50.3,146.7,731.0,0,0
414,1,2,c,1390,56.8,133.4,760.1,0,0
414,1,2,c,1400,63.3,139.0,768.1,0,0
