Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
416,1,1,c,10,0.0,34.2,0.0,0,0
416,1,1,c,20,0.0,35.8,0.0,0,0
416,1,1,c,30,0.0,33.1,0.0,0,0
416,1,1,c,40,3.2,34.7,44.2,0,0
416,1,1,c,50,6.5,38.0,124.6,0,0
416,1,1,c,60,9.7,42.5,239.8,0,0
416,1,1,c,70,13.0,49.1,349.5,0,0
416,1,1,c,80,19.5,56.2,422.4,0,0
416,1,1,c,90,22.7,64.5,494.2,0,0
416,1,1,c,100,29.2,72.2,539.7,0,0
416,1,1,c,110,35.7,79.4,583.1,0,0
416,1,1,c,120,40.6,84.4,603.0,0,0
416,1,1,c,130,47.1,87.7,653.8,0,0
416,1,1,c,140,53.6,90.4,676.4,0,0
416,1,1,c,150,58.4,92.6,690.1,0,0
416,1,1,c,160,66.5,92.1,704.7,0,0
416,1,1,c,170,74.7,96.5,714.1,0,0
416,1,1,c,180,81.2,100.9,734.9,0,0
416,1,1,c,190,87.7,104.2,746.4,0,0
416,1,1,c,200,94.1,107.5,756.3,0,0
416,1,1,c,210,102.3,108.6,760.8,0,0
416,1,1,c,220,110.4,107.0,782.6,0,0
416,1,1,c,230,116.9,107.0,799.0,0,0
416,1,1,c,240,125.0,107.0,789.4,0,0
416,1,1,c,250,131.5,106.4,785.6,0,0
416,1,1,c,260,139.6,106.4,811.8,0,0
416,1,1,c,270,146.1,107.0,795.5,0,0
416,1,1,c,280,154.2,106.4,784.3,0,0
416,1,1,c,290,162.3,107.5,827.9,0,0
416,1,1,c,300,168.8,108.6,807.4,0,0
416,1,1,c,310,176.9,108.6,804.5,0,0
416,1,1,c,320,185.0,107.0,835.0,0,0
416,1,1,c,330,191.5,105.9,809.8,0,0
416,1,1,c,340,199.6,103.1,807.6,0,0
416,1,1,c,350,207.8,102.6,826.7,0,0
416,1,1,c,360,215.9,101.5,812.0,0,0
416,1,1,c,370,224.0,99.8,825.5,0,0
416,1,1,c,380,230.5,98.1,845.2,0,0
416,1,1,c,390,237.0,95.4,814.8,0,0
416,1,1,c,400,246.7,92.1,830.0,0,0
416,1,1,c,410,253.2,88.2,820.5,0,0
416,1,1,c,420,261.3,81.6,790.9,0,0
416,1,1,c,430,267.8,78.3,799.2,0,0
416,1,1,c,440,275.9,74.4,806.6,0,0
416,1,1,c,450,284.1,71.1,809.0,0,0
416,1,1,c,460,290.5,66.7,790.0,0,0
416,1,1,c,470,297.0,67.3,762.3,0,0
416,1,1,c,480,301.9,75.0,658.8,0,0
416,1,1,c,490,303.5,87.1,512.3,0,0
416,1,1,c,500,305.2,100.9,355.6,0,0
416,1,1,e,510,303.5,108.1,0.0,0,0
416,1,1,e,520,303.5,112.5,0.0,0,0
416,1,1,e,530,301.9,115.2,-21.0,0,0
416,1,1,e,540,300.3,124.6,-58.9,0,0
416,1,1,e,550,297.0,143.4,-160.5,0,0
416,1,1,e,560,293.8,161.0,-242.0,0,0
416,1,1,e,570,288.9,178.7,-352.8,0,0
416,1,1,e,580,285.7,191.9,-408.7,0,0
416,1,1,e,590,279.2,200.2,-470.5,0,0
416,1,1,e,600,274.3,199.1,-521.7,0,0
416,1,1,e,610,269.4,191.3,-555.0,0,0
416,1,1,e,620,263.0,179.8,-588.3,0,0
416,1,1,e,630,256.5,170.9,-598.4,0,0
416,1,1,e,640,250.0,171.5,-638.6,0,0
416,1,1,e,650,243.5,178.1,-672.7,0,0
416,1,1,e,660,237.0,184.7,-697.7,0,0
416,1,1,e,670,230.5,186.4,-713.3,0,0
416,1,1,e,680,224.0,182.0,-734.1,0,0
416,1,1,e,690,217.5,170.9,-738.3,0,0
416,1,1,e,700,211.0,170.9,-766.7,0,0
416,1,1,e,710,204.5,178.7,-767.6,0,0
416,1,1,e,720,196.4,191.9,-755.2,0,0
416,1,1,e,730,189.9,202.4,-740.9,0,0
416,1,1,e,740,181.8,207.3,-748.5,0,0
416,1,1,e,750,175.3,206.2,-747.1,0,0
416,1,1,e,760,168.8,199.6,-748.1,0,0
416,1,1,e,770,160.7,194.6,-763.8,0,0
416,1,1,e,780,152.6,194.6,-787.9,0,0
416,1,1,e,790,146.1,200.7,-783.8,0,0
416,1,1,e,800,139.6,208.4,-777.4,0,0
416,1,1,e,810,131.5,215.0,-787.6,0,0
416,1,1,e,820,123.4,213.9,-800.1,0,0
416,1,1,e,830,116.9,206.2,-794.0,0,0
416,1,1,e,840,108.8,210.6,-773.3,0,0
416,1,1,e,850,102.3,221.1,-793.6,0,0
416,1,1,e,860,94.1,235.4,-799.3,0,0
416,1,1,e,870,87.7,240.4,-800.9,0,0
416,1,1,e,880,79.5,236.6,-779.1,0,0
416,1,1,e,890,71.4,221.7,-788.4,0,0
416,1,1,e,900,64.9,206.2,-803.4,0,0
416,1,1,e,910,58.4,201.3,-780.6,0,0
416,1,1,e,920,50.3,212.3,-782.1,0,0
416,1,1,e,930,42.2,228.3,-806.2,0,0
