Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
424,1,1,c,10,0.0,34.2,0.0,0,0
424,1,1,c,20,0.0,33.6,0.0,0,0
424,1,1,c,30,1.6,27.0,0.0,0,0
424,1,1,c,40,3.2,23.7,21.1,0,0
424,1,1,c,50,6.5,22.6,107.5,0,0
424,1,1,c,60,9.7,22.6,213.0,0,0
424,1,1,c,70,14.6,23.7,342.6,0,0
424,1,1,c,80,19.5,25.9,414.6,0,0
424,1,1,c,90,24.3,29.2,476.5,0,0
424,1,1,c,100,29.2,32.5,519.8,0,0
424,1,1,c,110,35.7,36.9,560.1,0,0
424,1,1,c,120,40.6,40.8,619.2,0,0
424,1,1,c,130,47.1,44.1,633.1,0,0
424,1,1,c,140,53.6,47.4,642.8,0,0
424,1,1,c,150,60.1,50.7,658.6,0,0
424,1,1,c,160,68.2,52.4,694.8,0,0
424,1,1,c,170,74.7,52.9,719.8,0,0
424,1,1,c,180,81.2,55.1,747.6,0,0
424,1,1,c,190,89.3,55.1,760.7,0,0
424,1,1,c,200,95.8,56.2,769.5,0,0
424,1,1,c,210,102.3,56.2,775.7,0,0
424,1,1,c,220,112.0,57.9,796.1,0,0
424,1,1,c,230,118.5,58.4,791.5,0,0
424,1,1,c,240,125.0,58.4,772.1,0,0
424,1,1,c,250,133.1,58.4,776.2,0,0
424,1,1,c,260,141.2,58.4,800.6,0,0
424,1,1,c,270,147.7,56.2,811.4,0,0
424,1,1,c,280,155.8,55.1,796.5,0,0
424,1,1,c,290,163.9,56.2,799.1,0,0
424,1,1,c,300,170.4,57.9,800.2,0,0
424,1,1,c,310,178.5,56.8,794.3,0,0
424,1,1,c,320,185.0,63.4,804.5,0,0
424,1,1,c,330,193.2,65.6,812.1,0,0
424,1,1,c,340,201.3,66.7,797.6,0,0
424,1,1,c,350,209.4,68.9,805.6,0,0
424,1,1,c,360,215.9,68.4,828.1,0,0
424,1,1,c,370,222.4,67.3,804.7,0,0
424,1,1,c,380,232.1,67.3,816.0,0,0
424,1,1,c,390,238.6,65.6,815.7,0,0
424,1,1,c,400,246.7,64.0,800.9,0,0
424,1,1,c,410,253.2,64.5,797.3,0,0
424,1,1,c,420,261.3,64.5,822.8,0,0
424,1,1,c,430,267.8,64.5,806.0,0,0
424,1,1,c,440,275.9,66.7,788.8,0,0
424,1,1,c,450,284.1,66.7,812.9,0,0
424,1,1,c,460,290.5,65.6,816.8,0,0
424,1,1,c,470,298.7,66.2,800.1,0,0
424,1,1,c,480,305.2,67.3,806.0,0,0
424,1,1,c,490,313.3,66.7,804.5,0,0
424,1,1,c,500,319.8,66.7,781.3,0,0
424,1,1,c,510,327.9,66.7,779.3,0,0
424,1,1,c,520,336.0,68.4,800.5,0,0
424,1,1,c,530,342.5,71.1,800.5,0,0
424,1,1,c,540,350.6,74.4,791.7,0,0
