Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
432,1,1,c,10,0.0,33.1,0.0,0,0
432,1,1,c,20,0.0,32.0,0.0,0,0
432,1,1,c,30,1.6,27.0,0.0,0,0
432,1,1,c,40,3.2,25.4,63.2,0,0
432,1,1,c,50,6.5,27.0,157.5,0,0
432,1,1,c,60,11.4,30.3,270.7,0,0
432,1,1,c,70,14.6,33.1,342.3,0,0
432,1,1,c,80,19.5,35.8,420.7,0,0
432,1,1,c,90,24.3,40.3,452.0,0,0
432,1,1,c,100,29.2,45.8,520.9,0,0
432,1,1,c,110,35.7,52.4,574.2,0,0
432,1,1,c,120,42.2,59.0,612.0,0,0
432,1,1,c,130,48.7,65.1,646.7,0,0
432,1,1,c,140,55.2,71.1,681.9,0,0
432,1,1,c,150,61.7,75.0,715.0,0,0
432,1,1,c,160,68.2,76.6,737.3,0,0
432,1,1,c,170,74.7,75.0,755.8,0,0
432,1,1,c,180,81.2,72.8,739.5,0,0
432,1,1,c,190,89.3,72.8,744.9,0,0
432,1,1,c,200,97.4,73.9,754.2,0,0
432,1,1,c,210,103.9,72.8,781.1,0,0
432,1,1,c,220,110.4,75.5,785.2,0,0
432,1,1,c,230,116.9,82.7,792.1,0,0
432,1,1,c,240,126.6,82.7,802.3,0,0
432,1,1,c,250,133.1,83.3,795.7,0,0
432,1,1,c,260,139.6,82.7,772.3,0,0
432,1,1,c,270,147.7,78.9,784.9,0,0
432,1,1,c,280,154.2,76.6,808.0,0,0
432,1,1,c,290,162.3,75.5,821.5,0,0
432,1,1,c,300,170.4,70.6,797.0,0,0
432,1,1,c,310,178.5,67.8,803.8,0,0
432,1,1,c,320,185.0,66.2,819.9,0,0
432,1,1,c,330,191.5,62.9,811.6,0,0
432,1,1,c,340,199.6,60.7,794.0,0,0
432,1,1,c,350,207.8,59.6,798.0,0,0
432,1,1,c,360,214.3,56.2,803.5,0,0
432,1,1,c,370,222.4,52.4,802.2,0,0
432,1,1,c,380,228.9,48.0,798.1,0,0
432,1,1,c,390,237.0,43.0,795.5,0,0
432,1,1,c,400,243.5,38.0,779.7,0,0
432,1,1,c,410,251.6,32.0,774.8,0,0
432,1,1,c,420,258.1,25.9,765.6,0,0
432,1,1,c,430,266.2,21.5,776.0,0,0
432,1,1,c,440,272.7,16.5,774.9,0,0
432,1,1,c,450,279.2,14.3,780.6,0,0
432,1,1,c,460,287.3,11.0,769.4,0,0
432,1,1,c,470,293.8,12.1,762.8,0,0
432,1,1,c,480,298.7,15.4,717.1,0,0
432,1,1,c,490,303.5,22.6,612.9,0,0
432,1,1,c,500,305.2,30.3,477.0,0,0
432,1,1,c,510,305.2,42.5,306.6,0,0
432,1,1,c,520,305.2,52.9,182.7,0,0
432,1,1,e,530,303.5,57.3,0.0,0,0
432,1,1,e,540,301.9,64.0,-27.4,0,0
432,1,1,e,550,298.7,72.8,-97.9,0,0
432,1,1,e,560,295.4,80.5,-203.4,0,0
432,1,1,e,570,292.2,85.5,-319.4,0,0
432,1,1,e,580,287.3,89.3,-396.6,0,0
432,1,1,e,590,282.4,92.1,-450.9,0,0
432,1,1,e,600,277.6,94.8,-490.4,0,0
432,1,1,e,610,272.7,104.8,-527.0,0,0
432,1,1,e,620,266.2,115.2,-580.9,0,0
432,1,1,e,630,259.7,122.4,-613.2,0,0
432,1,1,e,640,253.2,126.3,-645.8,0,0
432,1,1,e,650,246.7,127.4,-678.7,0,0
