Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
434,1,1,c,10,0.0,30.3,0.0,0,0
434,1,1,c,20,0.0,25.9,0.0,0,0
434,1,1,c,30,1.6,18.7,0.0,0,0
434,1,1,c,40,3.2,14.3,44.0,0,0
434,1,1,c,50,6.5,14.9,129.7,0,0
434,1,1,c,60,9.7,16.0,242.1,0,0
434,1,1,c,70,13.0,15.4,346.7,0,0
434,1,1,c,80,19.5,15.4,418.1,0,0
434,1,1,c,90,22.7,17.6,487.6,0,0
434,1,1,c,100,29.2,20.4,534.0,0,0
434,1,1,c,110,34.1,24.8,563.9,0,0
434,1,1,c,120,40.6,29.8,586.7,0,0
434,1,1,c,130,47.1,35.3,643.7,0,0
434,1,1,c,140,53.6,41.9,650.2,0,0
434,1,1,c,150,60.1,48.5,670.9,0,0
434,1,1,c,160,66.5,54.6,688.0,0,0
434,1,1,c,170,74.7,57.9,725.2,0,0
434,1,1,c,180,81.2,61.2,740.8,0,0
434,1,1,c,190,87.7,64.0,751.9,0,0
434,1,1,c,200,94.1,66.7,756.3,0,0
434,1,1,c,210,102.3,67.8,758.9,0,0
434,1,1,c,220,110.4,68.4,771.9,0,0
434,1,1,c,230,116.9,68.4,777.8,0,0
434,1,1,c,240,123.4,68.4,768.8,0,0
434,1,1,c,250,131.5,68.4,787.0,0,0
434,1,1,c,260,139.6,68.4,830.0,0,0
434,1,1,c,270,146.1,68.4,819.4,0,0
434,1,1,c,280,154.2,69.5,794.0,0,0
434,1,1,c,290,160.7,70.6,794.1,0,0
434,1,1,c,300,168.8,71.7,804.4,0,0
434,1,1,c,310,176.9,71.1,794.5,0,0
434,1,1,c,320,183.4,70.0,821.7,0,0
434,1,1,c,330,191.5,73.9,813.9,0,0
434,1,1,c,340,199.6,76.6,794.9,0,0
434,1,1,c,350,207.8,77.2,803.3,0,0
434,1,1,c,360,214.3,76.6,820.0,0,0
434,1,1,c,370,220.7,77.2,810.2,0,0
434,1,1,c,380,228.9,76.6,805.6,0,0
434,1,1,c,390,237.0,77.7,821.6,0,0
434,1,1,c,400,243.5,80.5,807.3,0,0
434,1,1,c,410,251.6,80.5,784.4,0,0
434,1,1,c,420,259.7,82.2,788.3,0,0
434,1,1,c,430,266.2,82.7,802.6,0,0
434,1,1,c,440,272.7,81.1,805.5,0,0
434,1,1,c,450,282.4,81.1,816.0,0,0
434,1,1,c,460,288.9,81.6,823.7,0,0
434,1,1,c,470,295.4,79.4,803.6,0,0
434,1,1,c,480,303.5,78.3,806.3,0,0
434,1,1,c,490,311.6,78.9,816.8,0,0
434,1,1,c,500,318.1,83.8,769.5,0,0
434,1,1,c,510,321.4,94.3,677.5,0,0
434,1,1,c,520,324.6,105.3,542.3,0,0
434,1,1,c,530,324.6,118.6,378.5,0,0
434,1,1,c,540,324.6,128.5,224.6,0,0
434,1,1,c,550,324.6,136.7,128.2,0,0
434,1,1,e,560,323.0,147.8,0.0,0,0
434,1,1,e,570,319.8,164.9,-70.7,0,0
434,1,1,e,580,318.1,180.9,-167.6,0,0
434,1,1,e,590,313.3,193.0,-279.7,0,0
434,1,1,e,600,308.4,203.5,-360.1,0,0
434,1,1,e,610,305.2,212.3,-427.7,0,0
434,1,1,e,620,298.7,220.0,-476.5,0,0
434,1,1,e,630,295.4,228.3,-523.4,0,0
434,1,1,e,640,288.9,237.1,-565.2,0,0
434,1,1,e,650,282.4,245.4,-592.6,0,0
434,1,1,e,660,277.6,252.5,-616.0,0,0
434,1,1,e,670,271.1,258.1,-636.7,0,0
434,1,1,e,680,264.6,263.6,-653.1,0,0
434,1,1,e,690,258.1,265.8,-676.2,0,0
434,1,1,e,700,251.6,270.2,-682.8,0,0
434,1,1,e,710,245.1,272.4,-693.5,0,0
434,1,1,e,720,237.0,272.9,-704.8,0,0
434,1,1,e,730,230.5,277.9,-724.8,0,0
434,1,1,e,740,224.0,281.8,-735.9,0,0
434,1,1,e,750,217.5,284.0,-747.4,0,0
434,1,1,e,760,209.4,285.1,-770.4,0,0
434,1,1,e,770,202.9,288.9,-768.2,0,0
434,1,1,e,780,194.8,293.3,-768.5,0,0
434,1,1,e,790,188.3,297.8,-756.9,0,0
434,1,1,e,800,180.2,300.5,-756.6,0,0
434,1,1,e,810,175.3,303.8,-750.7,0,0
434,1,1,e,820,165.6,302.7,-767.4,0,0
434,1,1,e,830,159.1,297.8,-777.8,0,0
434,1,1,e,840,151.0,290.0,-777.7,0,0
434,1,1,e,850,144.5,281.8,-785.9,0,0
434,1,1,e,860,136.3,268.0,-815.0,0,0
434,1,1,e,870,129.9,272.9,-807.5,0,0
434,1,1,e,880,121.7,272.4,-792.9,0,0
434,1,1,e,890,115.2,271.3,-813.0,0,0
434,1,1,e,900,107.1,265.8,-793.5,0,0
434,1,1,e,910,99.0,260.3,-779.1,0,0
434,1,1,e,920,90.9,250.9,-791.9,0,0
434,1,1,e,930,84.4,243.7,-804.7,0,0
434,1,1,e,940,76.3,241.0,-792.5,0,0
434,1,1,e,950,68.2,243.2,-799.7,0,0
434,1,1,e,960,61.7,243.7,-807.9,0,0
434,1,1,e,970,53.6,241.5,-801.4,0,0
434,1,1,e,980,47.1,243.7,-800.0,0,0
434,1,1,e,990,39.0,251.4,-816.4,0,0
434,1,1,e,1000,30.8,255.9,-803.0,0,0
434,1,1,e,1010,24.3,258.6,-805.2,0,0
434,1,1,e,1020,16.2,260.3,-835.1,0,0
434,1,1,e,1030,9.7,263.0,-817.3,0,0
434,1,1,e,1040,1.6,264.1,-789.1,0,0
434,1,1,e,1050,-6.5,265.8,-813.1,0,0
434,1,1,e,1060,-13.0,267.4,-800.4,0,0
434,1,1,e,1070,-19.5,260.3,-750.2,0,0
434,1,1,e,1080,-22.7,250.3,-669.3,0,0
434,1,1,e,1090,-26.0,239.9,-558.9,0,0
434,1,1,e,1100,-29.2,227.2,-417.0,0,0
434,1,1,e,1110,-29.2,219.5,-273.5,0,0
434,1,2,c,1120,-27.6,207.3,0.0,0,0
434,1,2,c,1130,-26.0,194.1,12.4,0,0
434,1,2,c,1140,-24.3,174.8,54.5,0,0
434,1,2,c,1150,-22.7,156.0,130.7,0,0
434,1,2,c,1160,-19.5,145.6,234.2,0,0
434,1,2,c,1170,-14.6,140.6,321.1,0,0
434,1,2,c,1180,-9.7,139.0,407.8,0,0
434,1,2,c,1190,-6.5,139.5,458.6,0,0
434,1,2,c,1200,0.0,139.0,521.3,0,0
434,1,2,c,1210,6.5,137.3,574.4,0,0
434,1,2,c,1220,11.4,135.1,587.9,0,0
434,1,2,c,1230,17.9,131.8,617.8,0,0
434,1,2,c,1240,24.3,127.9,653.7,0,0
434,1,2,c,1250,30.8,123.0,674.4,0,0
434,1,2,c,1260,37.3,120.8,698.4,0,0
434,1,2,c,1270,45.4,119.7,719.2,0,0
434,1,2,c,1280,51.9,118.0,736.3,0,0
434,1,2,c,1290,58.4,115.2,745.4,0,0
434,1,2,c,1300,64.9,114.1,750.1,0,0
434,1,2,c,1310,71.4,111.4,769.0,0,0
434,1,2,c,1320,79.5,108.6,785.5,0,0
434,1,2,c,1330,87.7,106.4,789.3,0,0
434,1,2,c,1340,94.1,107.0,778.7,0,0
434,1,2,c,1350,102.3,104.2,783.0,0,0
434,1,2,c,1360,110.4,101.5,810.1,0,0
434,1,2,c,1370,116.9,98.7,806.6,0,0
434,1,2,c,1380,125.0,97.6,798.5,0,0
434,1,2,c,1390,133.1,95.9,798.4,0,0
434,1,2,c,1400,139.6,93.7,814.1,0,0
434,1,2,c,1410,146.1,92.6,780.6,0,0
434,1,2,c,1420,154.2,92.1,785.2,0,0
434,1,2,c,1430,162.3,92.1,819.0,0,0
434,1,2,c,1440,168.8,92.6,820.9,0,0
434,1,2,c,1450,176.9,91.0,794.0,0,0
434,1,2,c,1460,185.0,87.1,834.5,0,0
434,1,2,c,1470,191.5,89.9,824.9,0,0
434,1,2,c,1480,199.6,90.4,805.6,0,0
434,1,2,c,1490,207.8,89.3,831.8,0,0
434,1,2,c,1500,214.3,89.3,811.8,0,0
434,1,2,c,1510,222.4,89.3,796.7,0,0
434,1,2,c,1520,230.5,88.8,816.9,0,0
434,1,2,c,1530,237.0,91.0,829.9,0,0
434,1,2,c,1540,245.1,92.6,803.4,0,0
434,1,2,c,1550,253.2,91.5,799.5,0,0
434,1,2,c,1560,259.7,92.6,799.0,0,0
434,1,2,c,1570,267.8,91.5,797.3,0,0
434,1,2,c,1580,275.9,88.2,813.9,0,0
434,1,2,c,1590,282.4,86.0,817.3,0,0
434,1,2,c,1600,288.9,85.5,801.1,0,0
434,1,2,c,1610,297.0,82.7,792.9,0,0
434,1,2,c,1620,305.2,80.5,808.4,0,0
434,1,2,c,1630,311.6,81.6,796.6,0,0
434,1,2,c,1640,318.1,86.6,736.5,0,0
434,1,2,c,1650,321.4,96.5,646.1,0,0
434,1,2,c,1660,323.0,107.5,489.3,0,0
434,1,2,c,1670,324.6,118.6,340.2,0,0
434,1,2,e,1680,323.0,127.4,0.0,0,0
434,1,2,e,1690,323.0,136.7,0.0,0,0
434,1,2,e,1700,321.4,150.0,-27.3,0,0
434,1,2,e,1710,318.1,167.6,-81.9,0,0
434,1,2,e,1720,314.9,183.1,-173.1,0,0
434,1,2,e,1730,311.6,195.7,-269.8,0,0
434,1,2,e,1740,308.4,208.4,-369.1,0,0
434,1,2,e,1750,303.5,222.8,-416.3,0,0
434,1,2,e,1760,298.7,236.6,-489.2,0,0
434,1,2,e,1770,292.2,250.3,-515.3,0,0
434,1,2,e,1780,287.3,264.7,-555.8,0,0
434,1,2,e,1790,282.4,276.8,-589.3,0,0
434,1,2,e,1800,275.9,286.2,-618.3,0,0
434,1,2,e,1810,269.4,295.0,-623.4,0,0
434,1,2,e,1820,263.0,304.9,-656.6,0,0
434,1,2,e,1830,256.5,313.7,-681.9,0,0
434,1,2,e,1840,250.0,322.6,-717.0,0,0
434,1,2,e,1850,243.5,323.7,-731.1,0,0
434,1,2,e,1860,237.0,319.8,-723.6,0,0
434,1,2,e,1870,230.5,318.7,-740.0,0,0
434,1,2,e,1880,224.0,317.1,-739.6,0,0
434,1,2,e,1890,217.5,320.4,-744.0,0,0
434,1,2,e,1900,209.4,328.6,-749.1,0,0
434,1,2,e,1910,201.3,339.1,-752.4,0,0
434,1,2,e,1920,194.8,343.5,-766.8,0,0
434,1,2,e,1930,188.3,344.1,-759.2,0,0
434,1,2,e,1940,180.2,341.9,-772.5,0,0
434,1,2,e,1950,173.7,342.4,-765.1,0,0
434,1,2,e,1960,165.6,338.0,-772.6,0,0
434,1,2,e,1970,159.1,328.6,-767.4,0,0
434,1,2,e,1980,151.0,320.9,-776.0,0,0
434,1,2,e,1990,142.8,313.7,-801.7,0,0
434,1,2,e,2000,136.3,297.8,-808.2,0,0
434,1,2,e,2010,129.9,298.3,-787.0,0,0
434,1,2,e,2020,121.7,294.4,-791.5,0,0
434,1,2,e,2030,113.6,276.8,-807.8,0,0
434,1,2,e,2040,107.1,263.6,-805.1,0,0
434,1,2,e,2050,99.0,248.7,-781.1,0,0
434,1,2,e,2060,90.9,239.9,-795.8,0,0
434,1,2,e,2070,84.4,236.0,-813.7,0,0
434,1,2,e,2080,76.3,236.6,-808.7,0,0
434,1,2,e,2090,68.2,239.9,-812.2,0,0
434,1,2,e,2100,61.7,238.2,-805.8,0,0
434,1,2,e,2110,53.6,232.7,-793.7,0,0
434,1,2,e,2120,45.4,224.4,-795.6,0,0
434,1,2,e,2130,39.0,223.9,-801.3,0,0
434,1,2,e,2140,30.8,224.4,-783.5,0,0
434,1,2,e,2150,22.7,232.1,-803.3,0,0
434,1,2,e,2160,16.2,236.6,-814.9,0,0
434,1,2,e,2170,8.1,238.8,-800.3,0,0
434,1,2,e,2180,0.0,237.7,-797.3,0,0
434,1,2,e,2190,-6.5,242.6,-810.3,0,0
434,1,2,e,2200,-13.0,243.2,-777.9,0,0
434,1,2,e,2210,-19.5,234.9,-747.1,0,0
434,1,2,e,2220,-24.3,223.3,-649.9,0,0
434,1,2,e,2230,-27.6,212.3,-518.8,0,0
434,1,2,e,2240,-29.2,200.7,-400.5,0,0
434,1,2,e,2250,-29.2,196.9,-268.4,0,0
434,1,2,e,2260,-29.2,183.1,-165.0,0,0
434,1,3,c,2270,-27.6,170.4,5.6,0,0
434,1,3,c,2280,-24.3,152.7,61.6,0,0
434,1,3,c,2290,-22.7,136.7,145.5,0,0
434,1,3,c,2300,-19.5,127.9,255.7,0,0
434,1,3,c,2310,-14.6,124.1,331.5,0,0
434,1,3,c,2320,-9.7,121.9,419.5,0,0
434,1,3,c,2330,-4.9,120.2,463.8,0,0
434,1,3,c,2340,0.0,119.1,533.5,0,0
434,1,3,c,2350,6.5,117.4,583.8,0,0
434,1,3,c,2360,13.0,116.3,611.6,0,0
434,1,3,c,2370,19.5,114.1,627.6,0,0
434,1,3,c,2380,26.0,110.8,665.8,0,0
434,1,3,c,2390,32.5,105.3,685.1,0,0
434,1,3,c,2400,39.0,100.9,712.2,0,0
434,1,3,c,2410,45.4,98.1,726.0,0,0
434,1,3,c,2420,51.9,95.4,750.4,0,0
434,1,3,c,2430,60.1,91.5,763.3,0,0
434,1,3,c,2440,66.5,91.0,754.3,0,0
434,1,3,c,2450,74.7,89.3,754.7,0,0
434,1,3,c,2460,81.2,88.2,755.0,0,0
434,1,3,c,2470,87.7,87.7,772.3,0,0
434,1,3,c,2480,95.8,88.2,775.8,0,0
434,1,3,c,2490,103.9,86.0,792.4,0,0
434,1,3,c,2500,110.4,83.3,800.1,0,0
434,1,3,c,2510,118.5,81.1,787.3,0,0
434,1,3,c,2520,125.0,80.5,792.8,0,0
434,1,3,c,2530,133.1,78.9,808.9,0,0
434,1,3,c,2540,139.6,77.7,807.5,0,0
434,1,3,c,2550,147.7,76.1,787.0,0,0
434,1,3,c,2560,155.8,74.4,793.2,0,0
434,1,3,c,2570,162.3,75.0,786.0,0,0
434,1,3,c,2580,170.4,75.5,767.5,0,0
434,1,3,c,2590,176.9,73.9,778.7,0,0
434,1,3,c,2600,185.0,70.0,814.8,0,0
434,1,3,c,2610,191.5,73.9,803.0,0,0
434,1,3,c,2620,199.6,75.0,785.2,0,0
434,1,3,c,2630,207.8,74.4,819.9,0,0
434,1,3,c,2640,214.3,75.0,812.6,0,0
434,1,3,c,2650,222.4,74.4,799.2,0,0
434,1,3,c,2660,230.5,74.4,819.2,0,0
434,1,3,c,2670,237.0,76.1,818.8,0,0
434,1,3,c,2680,245.1,76.1,808.7,0,0
