Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
427,1,1,c,10,0.0,34.7,0.0,0,0
427,1,1,c,20,1.6,36.4,0.0,0,0
427,1,1,c,30,3.2,34.7,0.0,0,0
427,1,1,c,40,4.9,32.0,15.6,0,0
427,1,1,c,50,8.1,31.4,107.0,0,0
427,1,1,c,60,11.4,31.4,215.2,0,0
427,1,1,c,70,16.2,33.6,361.2,0,0
427,1,1,c,80,21.1,39.1,433.6,0,0
427,1,1,c,90,26.0,47.4,495.7,0,0
427,1,1,c,100,32.5,57.9,538.9,0,0
427,1,1,c,110,35.7,70.0,567.2,0,0
427,1,1,c,120,43.8,80.5,628.7,0,0
427,1,1,c,130,50.3,89.3,652.1,0,0
427,1,1,c,140,56.8,94.3,667.1,0,0
427,1,1,c,150,63.3,96.5,683.6,0,0
427,1,1,c,160,69.8,93.2,709.5,0,0
427,1,1,c,170,77.9,86.6,741.4,0,0
427,1,1,c,180,84.4,103.1,753.6,0,0
427,1,1,c,190,90.9,123.0,760.7,0,0
427,1,1,c,200,99.0,130.1,762.1,0,0
427,1,1,c,210,107.1,125.2,781.8,0,0
427,1,1,c,220,113.6,119.1,793.9,0,0
427,1,1,c,230,121.7,116.9,781.4,0,0
427,1,1,c,240,129.9,114.7,812.0,0,0
427,1,1,c,250,136.3,116.9,822.4,0,0
427,1,1,c,260,144.5,120.2,827.0,0,0
427,1,1,c,270,152.6,121.3,829.3,0,0
427,1,1,c,280,159.1,125.2,853.0,0,0
427,1,1,c,290,167.2,125.2,802.9,0,0
427,1,1,c,300,175.3,124.1,840.7,0,0
427,1,1,c,310,181.8,125.2,808.2,0,0
427,1,1,c,320,191.5,127.9,820.3,0,0
427,1,1,c,330,198.0,131.8,834.4,0,0
427,1,1,c,340,204.5,134.0,816.0,0,0
427,1,1,c,350,214.3,137.3,828.9,0,0
427,1,1,c,360,220.7,138.4,841.4,0,0
427,1,1,c,370,228.9,141.7,814.6,0,0
427,1,1,c,380,237.0,145.6,816.8,0,0
427,1,1,c,390,243.5,148.9,822.6,0,0
427,1,1,c,400,251.6,152.7,791.9,0,0
427,1,1,c,410,259.7,154.4,813.4,0,0
427,1,1,c,420,266.2,156.0,813.3,0,0
427,1,1,c,430,274.3,158.3,805.2,0,0
427,1,1,c,440,282.4,160.5,805.3,0,0
427,1,1,c,450,288.9,162.1,812.4,0,0
427,1,1,c,460,297.0,162.1,800.0,0,0
427,1,1,c,470,305.2,160.5,805.0,0,0
427,1,1,c,480,311.6,158.3,809.4,0,0
427,1,1,c,490,319.8,156.0,793.8,0,0
427,1,1,c,500,326.3,155.5,797.9,0,0
427,1,1,c,510,334.4,155.5,802.8,0,0
427,1,1,c,520,342.5,156.6,784.5,0,0
427,1,1,c,530,349.0,158.3,784.6,0,0
427,1,1,c,540,357.1,159.9,818.8,0,0
427,1,1,c,550,363.6,161.0,811.0,0,0
427,1,1,c,560,371.7,160.5,805.1,0,0
427,1,1,c,570,379.8,164.9,827.9,0,0
427,1,1,c,580,386.3,168.2,809.5,0,0
427,1,1,c,590,394.4,169.3,785.5,0,0
427,1,1,c,600,402.5,165.4,805.1,0,0
427,1,1,c,610,409.0,162.1,821.1,0,0
427,1,1,c,620,417.2,159.4,801.6,0,0
427,1,1,c,630,425.3,161.6,805.7,0,0
427,1,1,c,640,431.8,162.1,802.4,0,0
427,1,1,c,650,438.3,161.0,776.3,0,0
427,1,1,c,660,446.4,159.4,773.9,0,0
427,1,1,c,670,454.5,159.9,791.9,0,0
427,1,1,c,680,461.0,170.4,747.0,0,0
427,1,1,c,690,464.2,186.4,673.0,0,0
427,1,1,c,700,467.5,204.6,531.0,0,0
427,1,1,c,710,467.5,218.9,373.1,0,0
427,1,1,c,720,467.5,227.2,223.7,0,0
427,1,1,c,730,467.5,231.6,130.1,0,0
427,1,1,e,740,464.2,240.4,-6.8,0,0
427,1,1,e,750,462.6,254.2,-70.9,0,0
427,1,1,e,760,459.4,265.2,-166.3,0,0
427,1,1,e,770,456.1,270.7,-277.3,0,0
427,1,1,e,780,451.2,271.8,-362.8,0,0
427,1,1,e,790,448.0,272.9,-425.5,0,0
427,1,1,e,800,441.5,278.5,-478.0,0,0
427,1,1,e,810,436.6,286.7,-533.9,0,0
427,1,1,e,820,431.8,293.3,-554.9,0,0
427,1,1,e,830,425.3,293.9,-594.8,0,0
427,1,1,e,840,418.8,293.9,-598.1,0,0
427,1,1,e,850,412.3,297.8,-632.9,0,0
427,1,1,e,860,405.8,309.9,-662.8,0,0
427,1,1,e,870,399.3,323.7,-681.7,0,0
427,1,1,e,880,392.8,333.0,-702.5,0,0
427,1,1,e,890,386.3,336.9,-714.8,0,0
427,1,1,e,900,379.8,340.8,-732.1,0,0
427,1,1,e,910,373.3,345.2,-729.0,0,0
427,1,1,e,920,366.8,357.9,-747.6,0,0
427,1,1,e,930,360.3,369.4,-752.9,0,0
427,1,1,e,940,352.2,376.1,-753.3,0,0
427,1,1,e,950,345.7,373.9,-747.1,0,0
427,1,1,e,960,337.6,367.2,-743.0,0,0
427,1,1,e,970,331.1,359.0,-752.9,0,0
427,1,1,e,980,324.6,349.6,-754.0,0,0
427,1,1,e,990,316.5,357.3,-774.5,0,0
427,1,1,e,1000,308.4,368.3,-792.9,0,0
427,1,1,e,1010,301.9,371.6,-786.6,0,0
427,1,1,e,1020,295.4,366.1,-775.1,0,0
427,1,1,e,1030,288.9,357.3,-779.0,0,0
427,1,1,e,1040,279.2,350.7,-789.6,0,0
427,1,1,e,1050,272.7,343.5,-783.6,0,0
427,1,1,e,1060,266.2,343.0,-769.4,0,0
427,1,1,e,1070,258.1,350.1,-784.3,0,0
427,1,1,e,1080,250.0,356.2,-825.7,0,0
427,1,1,e,1090,243.5,357.9,-815.2,0,0
427,1,1,e,1100,235.4,356.2,-791.7,0,0
427,1,1,e,1110,227.2,350.1,-810.9,0,0
427,1,1,e,1120,220.7,343.0,-798.7,0,0
427,1,1,e,1130,212.6,340.8,-792.2,0,0
427,1,1,e,1140,204.5,345.7,-801.9,0,0
427,1,1,e,1150,198.0,349.6,-813.7,0,0
427,1,1,e,1160,191.5,350.1,-790.5,0,0
427,1,1,e,1170,183.4,346.8,-792.8,0,0
427,1,1,e,1180,175.3,336.9,-797.3,0,0
427,1,1,e,1190,168.8,328.1,-789.6,0,0
427,1,1,e,1200,160.7,333.0,-780.0,0,0
427,1,1,e,1210,152.6,341.3,-791.0,0,0
427,1,1,e,1220,146.1,352.9,-808.0,0,0
427,1,1,e,1230,138.0,356.2,-797.9,0,0
427,1,1,e,1240,131.5,339.7,-797.6,0,0
427,1,1,e,1250,123.4,336.4,-808.2,0,0
427,1,1,e,1260,116.9,334.7,-782.2,0,0
427,1,1,e,1270,108.8,335.3,-784.2,0,0
427,1,1,e,1280,100.6,327.0,-823.4,0,0
427,1,1,e,1290,94.1,331.9,-816.8,0,0
427,1,1,e,1300,86.0,340.8,-778.5,0,0
427,1,1,e,1310,77.9,344.6,-800.1,0,0
427,1,1,e,1320,71.4,341.3,-800.5,0,0
427,1,1,e,1330,63.3,329.2,-793.6,0,0
427,1,1,e,1340,55.2,316.5,-804.3,0,0
427,1,1,e,1350,48.7,312.1,-814.6,0,0
427,1,1,e,1360,42.2,317.1,-809.4,0,0
427,1,1,e,1370,32.5,316.0,-814.9,0,0
427,1,1,e,1380,26.0,315.4,-820.0,0,0
427,1,1,e,1390,17.9,306.6,-797.0,0,0
427,1,1,e,1400,9.7,300.5,-819.7,0,0
