Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
450,1,1,c,10,0.0,30.3,0.0,0,0
450,1,1,c,20,1.6,25.9,0.0,0,0
450,1,1,c,30,1.6,17.1,0.0,0,0
450,1,1,c,40,4.9,11.0,40.0,0,0
450,1,1,c,50,8.1,6.6,126.0,0,0
450,1,1,c,60,11.4,5.5,230.5,0,0
450,1,1,c,70,14.6,6.1,316.7,0,0
450,1,1,c,80,16.2,6.6,334.3,0,0
450,1,1,c,90,19.5,9.4,320.8,0,0
450,1,1,c,100,21.1,14.9,315.6,0,0
450,1,1,c,110,24.3,20.4,281.2,0,0
450,1,1,c,120,27.6,23.2,269.7,0,0
450,1,1,c,130,30.8,27.6,271.6,0,0
450,1,1,c,140,34.1,33.1,333.5,0,0
450,1,1,c,150,39.0,38.6,392.0,0,0
450,1,1,c,160,43.8,43.6,462.7,0,0
450,1,1,c,170,48.7,48.0,493.1,0,0
450,1,1,c,180,53.6,49.6,537.7,0,0
450,1,1,c,190,60.1,48.5,583.5,0,0
450,1,1,c,200,66.5,44.1,595.2,0,0
450,1,1,c,210,73.0,39.7,636.1,0,0
450,1,1,c,220,79.5,36.9,679.3,0,0
450,1,1,c,230,84.4,38.0,694.3,0,0
450,1,1,c,240,90.9,40.3,707.2,0,0
450,1,1,c,250,99.0,45.2,720.6,0,0
450,1,1,c,260,105.5,50.7,730.5,0,0
450,1,1,c,270,112.0,55.1,741.3,0,0
450,1,1,c,280,120.1,57.9,758.9,0,0
450,1,1,c,290,128.2,58.4,755.8,0,0
450,1,1,c,300,134.7,56.8,772.0,0,0
450,1,1,c,310,141.2,55.1,783.8,0,0
450,1,1,c,320,149.3,54.6,804.3,0,0
450,1,1,c,330,155.8,56.2,820.6,0,0
450,1,1,c,340,163.9,60.1,811.6,0,0
450,1,1,c,350,172.1,62.9,801.1,0,0
450,1,1,c,360,180.2,61.8,825.3,0,0
450,1,1,c,370,186.7,65.6,824.4,0,0
450,1,1,c,380,194.8,67.8,806.2,0,0
450,1,1,c,390,202.9,68.4,800.9,0,0
450,1,1,c,400,209.4,68.9,815.8,0,0
450,1,1,c,410,215.9,67.8,783.7,0,0
450,1,1,c,420,224.0,68.4,778.5,0,0
450,1,1,c,430,232.1,68.9,804.3,0,0
