Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
454,1,1,c,10,0.0,34.7,-0.0,0,0
454,1,1,c,20,0.0,35.3,-0.0,0,0
454,1,1,c,30,1.6,30.3,0.0,0,0
454,1,1,c,40,3.2,28.1,0.0,0,0
454,1,1,c,50,6.5,27.0,81.0,0,0
454,1,1,c,60,9.7,27.0,204.0,0,0
454,1,1,c,70,14.6,30.9,330.8,0,0
454,1,1,c,80,19.5,35.8,447.0,0,0
454,1,1,c,90,26.0,45.8,488.3,0,0
454,1,1,c,100,30.8,55.7,552.3,0,0
454,1,1,c,110,35.7,64.5,588.8,0,0
454,1,1,c,120,43.8,68.9,638.8,0,0
454,1,1,c,130,48.7,68.9,662.8,0,0
454,1,1,c,140,56.8,66.2,694.0,0,0
454,1,1,c,150,63.3,63.4,707.6,0,0
454,1,1,c,160,69.8,64.0,711.1,0,0
454,1,1,c,170,77.9,66.2,726.9,0,0
454,1,1,c,180,84.4,68.9,732.5,0,0
454,1,1,c,190,90.9,67.8,748.5,0,0
454,1,1,c,200,99.0,73.9,757.9,0,0
454,1,1,c,210,105.5,81.1,749.8,0,0
454,1,1,c,220,113.6,83.8,779.1,0,0
454,1,1,c,230,120.1,85.5,800.3,0,0
454,1,1,c,240,128.2,82.7,802.0,0,0
454,1,1,c,250,136.3,78.3,808.0,0,0
454,1,1,c,260,142.8,77.2,804.1,0,0
454,1,1,c,270,151.0,77.2,789.1,0,0
454,1,1,c,280,159.1,76.6,810.0,0,0
454,1,1,c,290,165.6,79.4,829.7,0,0
454,1,1,c,300,173.7,80.0,799.8,0,0
454,1,1,c,310,181.8,80.5,814.9,0,0
454,1,1,c,320,188.3,81.1,827.2,0,0
454,1,1,c,330,196.4,81.1,812.6,0,0
454,1,1,c,340,204.5,81.1,816.1,0,0
454,1,1,c,350,211.0,81.1,826.9,0,0
454,1,1,c,360,219.1,81.6,805.6,0,0
454,1,1,c,370,227.2,82.7,813.8,0,0
454,1,1,c,380,233.7,82.2,829.7,0,0
454,1,1,c,390,240.2,81.6,788.9,0,0
454,1,1,c,400,250.0,80.0,825.4,0,0
454,1,1,c,410,256.5,79.4,819.6,0,0
454,1,1,c,420,264.6,79.4,810.9,0,0
454,1,1,c,430,272.7,78.9,819.2,0,0
454,1,1,c,440,279.2,78.3,801.2,0,0
454,1,1,c,450,287.3,74.4,789.9,0,0
454,1,1,c,460,295.4,77.2,823.4,0,0
454,1,1,c,470,301.9,76.6,813.6,0,0
454,1,1,c,480,310.0,75.5,795.1,0,0
454,1,1,c,490,318.1,73.3,808.5,0,0
454,1,1,c,500,324.6,70.0,807.1,0,0
454,1,1,c,510,332.7,69.5,790.6,0,0
454,1,1,c,520,340.9,71.7,789.5,0,0
454,1,1,c,530,347.4,73.3,792.9,0,0
454,1,1,c,540,355.5,73.3,790.4,0,0
454,1,1,c,550,362.0,77.7,783.3,0,0
454,1,1,c,560,368.5,88.8,750.7,0,0
454,1,1,c,570,371.7,104.2,623.6,0,0
454,1,1,c,580,373.3,120.2,483.0,0,0
454,1,1,c,590,373.3,129.6,306.2,0,0
454,1,1,c,600,373.3,129.0,178.4,0,0
454,1,1,c,610,373.3,124.1,84.4,0,0
454,1,1,e,620,370.1,125.7,-8.4,0,0
454,1,1,e,630,368.5,137.3,-84.0,0,0
454,1,1,e,640,365.2,151.6,-185.5,0,0
454,1,1,e,650,360.3,158.8,-321.9,0,0
454,1,1,e,660,357.1,158.3,-406.4,0,0
454,1,1,e,670,350.6,153.3,-459.5,0,0
