Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
455,1,1,c,10,0.0,36.4,0.0,0,0
455,1,1,c,20,0.0,38.6,0.0,0,0
455,1,1,c,30,1.6,38.6,0.0,0,0
455,1,1,c,40,3.2,43.0,46.1,0,0
455,1,1,c,50,6.5,49.6,131.4,0,0
455,1,1,c,60,9.7,55.7,250.7,0,0
455,1,1,c,70,14.6,61.2,355.6,0,0
455,1,1,c,80,19.5,65.1,433.2,0,0
455,1,1,c,90,22.7,68.9,485.4,0,0
455,1,1,c,100,29.2,70.6,530.7,0,0
455,1,1,c,110,35.7,72.8,577.1,0,0
455,1,1,c,120,42.2,74.4,608.5,0,0
455,1,1,c,130,48.7,75.5,652.7,0,0
455,1,1,c,140,55.2,76.6,690.0,0,0
455,1,1,c,150,61.7,77.2,701.2,0,0
455,1,1,c,160,68.2,77.2,724.5,0,0
455,1,1,c,170,74.7,75.5,734.0,0,0
455,1,1,c,180,81.2,77.7,746.2,0,0
455,1,1,c,190,87.7,80.0,752.6,0,0
455,1,1,c,200,95.8,81.6,736.3,0,0
455,1,1,c,210,102.3,83.3,748.6,0,0
455,1,1,c,220,110.4,84.4,771.6,0,0
455,1,1,c,230,116.9,84.4,766.3,0,0
455,1,1,c,240,125.0,84.9,772.2,0,0
455,1,1,c,250,133.1,85.5,796.4,0,0
455,1,1,c,260,139.6,83.8,800.7,0,0
455,1,1,c,270,147.7,81.1,789.4,0,0
455,1,1,c,280,155.8,80.5,808.5,0,0
455,1,1,c,290,162.3,79.4,815.3,0,0
455,1,1,c,300,170.4,79.4,804.6,0,0
455,1,1,c,310,178.5,78.9,807.3,0,0
455,1,1,c,320,185.0,77.7,802.2,0,0
455,1,1,c,330,193.2,76.1,776.8,0,0
455,1,1,c,340,199.6,75.5,784.5,0,0
455,1,1,c,350,207.8,72.8,807.1,0,0
455,1,1,c,360,215.9,71.7,795.4,0,0
455,1,1,c,370,222.4,71.1,786.7,0,0
455,1,1,c,380,230.5,69.5,805.4,0,0
455,1,1,c,390,237.0,68.4,792.3,0,0
455,1,1,c,400,245.1,67.3,781.6,0,0
455,1,1,c,410,253.2,66.2,800.1,0,0
455,1,1,c,420,259.7,64.5,811.4,0,0
455,1,1,c,430,267.8,61.2,794.6,0,0
455,1,1,c,440,275.9,56.8,789.2,0,0
455,1,1,c,450,282.4,56.2,787.6,0,0
455,1,1,c,460,288.9,63.4,741.9,0,0
455,1,1,c,470,292.2,71.7,672.3,0,0
455,1,1,c,480,295.4,80.5,549.0,0,0
455,1,1,c,490,295.4,92.6,373.1,0,0
455,1,1,c,500,295.4,102.6,209.4,0,0
455,1,1,c,510,295.4,106.4,111.4,0,0
455,1,1,e,520,293.8,115.2,0.0,0,0
455,1,1,e,530,292.2,123.0,-68.9,0,0
455,1,1,e,540,288.9,126.8,-169.8,0,0
455,1,1,e,550,284.1,127.9,-284.7,0,0
455,1,1,e,560,279.2,129.6,-369.7,0,0
455,1,1,e,570,275.9,130.1,-432.0,0,0
455,1,1,e,580,269.4,129.6,-485.0,0,0
455,1,1,e,590,264.6,129.6,-527.7,0,0
455,1,1,e,600,259.7,128.5,-566.8,0,0
455,1,1,e,610,253.2,126.8,-600.6,0,0
455,1,1,e,620,246.7,126.8,-624.4,0,0
455,1,1,e,630,240.2,130.1,-662.4,0,0
455,1,1,e,640,233.7,131.8,-696.2,0,0
455,1,1,e,650,227.2,131.2,-716.2,0,0
455,1,1,e,660,220.7,138.4,-730.0,0,0
455,1,1,e,670,214.3,142.8,-731.6,0,0
455,1,1,e,680,207.8,148.3,-721.5,0,0
455,1,1,e,690,199.6,151.6,-735.2,0,0
455,1,1,e,700,193.2,151.1,-725.4,0,0
455,1,1,e,710,186.7,155.5,-742.2,0,0
455,1,1,e,720,178.5,159.9,-749.0,0,0
455,1,1,e,730,172.1,162.1,-767.4,0,0
455,1,1,e,740,163.9,161.6,-780.9,0,0
455,1,1,e,750,155.8,168.7,-789.8,0,0
455,1,1,e,760,149.3,175.9,-775.2,0,0
455,1,1,e,770,142.8,179.8,-780.5,0,0
455,1,1,e,780,134.7,181.4,-774.3,0,0
455,1,1,e,790,126.6,186.4,-791.3,0,0
455,1,1,e,800,120.1,191.9,-780.2,0,0
455,1,1,e,810,113.6,195.2,-778.8,0,0
455,1,1,e,820,105.5,197.4,-768.6,0,0
455,1,1,e,830,97.4,196.3,-786.2,0,0
455,1,1,e,840,90.9,195.7,-781.9,0,0
455,1,1,e,850,82.8,191.3,-784.8,0,0
455,1,1,e,860,76.3,187.5,-809.2,0,0
455,1,1,e,870,68.2,188.0,-832.7,0,0
455,1,1,e,880,61.7,189.1,-803.6,0,0
455,1,1,e,890,53.6,194.6,-801.0,0,0
455,1,1,e,900,45.4,198.0,-814.2,0,0
455,1,1,e,910,39.0,196.3,-811.9,0,0
455,1,1,e,920,30.8,186.4,-784.1,0,0
455,1,1,e,930,24.3,197.4,-778.4,0,0
455,1,1,e,940,16.2,193.5,-785.6,0,0
455,1,1,e,950,9.7,195.2,-792.3,0,0
455,1,1,e,960,1.6,194.6,-781.7,0,0
455,1,1,e,970,-6.5,201.8,-811.4,0,0
455,1,1,e,980,-13.0,201.3,-793.5,0,0
455,1,1,e,990,-19.5,194.6,-748.9,0,0
455,1,1,e,1000,-24.3,185.3,-659.7,0,0
455,1,1,e,1010,-27.6,171.5,-548.7,0,0
455,1,1,e,1020,-29.2,159.4,-404.3,0,0
455,1,1,e,1030,-29.2,154.4,-268.4,0,0
455,1,2,c,1040,-27.6,154.9,0.0,0,0
455,1,2,c,1050,-26.0,148.9,8.3,0,0
455,1,2,c,1060,-24.3,141.7,50.0,0,0
455,1,2,c,1070,-22.7,137.3,136.1,0,0
455,1,2,c,1080,-19.5,130.1,241.7,0,0
455,1,2,c,1090,-14.6,125.7,320.5,0,0
455,1,2,c,1100,-9.7,122.4,409.0,0,0
455,1,2,c,1110,-4.9,119.1,469.0,0,0
455,1,2,c,1120,0.0,116.3,529.4,0,0
455,1,2,c,1130,6.5,113.6,566.6,0,0
455,1,2,c,1140,13.0,114.7,581.6,0,0
455,1,2,c,1150,17.9,115.2,620.6,0,0
455,1,2,c,1160,24.3,115.2,651.9,0,0
455,1,2,c,1170,30.8,115.8,673.2,0,0
455,1,2,c,1180,39.0,114.1,688.4,0,0
455,1,2,c,1190,45.4,113.0,712.9,0,0
455,1,2,c,1200,51.9,109.7,747.3,0,0
455,1,2,c,1210,58.4,108.1,763.4,0,0
455,1,2,c,1220,66.5,105.9,764.9,0,0
455,1,2,c,1230,73.0,102.0,781.7,0,0
455,1,2,c,1240,81.2,98.1,786.6,0,0
455,1,2,c,1250,87.7,103.7,785.5,0,0
455,1,2,c,1260,95.8,104.2,772.1,0,0
455,1,2,c,1270,103.9,104.8,797.5,0,0
455,1,2,c,1280,110.4,105.3,798.9,0,0
455,1,2,c,1290,118.5,103.7,798.2,0,0
455,1,2,c,1300,126.6,101.5,810.8,0,0
455,1,2,c,1310,133.1,101.5,823.2,0,0
455,1,2,c,1320,141.2,98.1,799.5,0,0
455,1,2,c,1330,149.3,94.3,809.7,0,0
455,1,2,c,1340,155.8,93.7,836.9,0,0
455,1,2,c,1350,163.9,91.5,807.8,0,0
455,1,2,c,1360,172.1,91.0,830.3,0,0
455,1,2,c,1370,178.5,90.4,832.3,0,0
455,1,2,c,1380,186.7,90.4,796.4,0,0
455,1,2,c,1390,194.8,89.9,812.8,0,0
455,1,2,c,1400,201.3,89.9,810.4,0,0
455,1,2,c,1410,209.4,86.6,796.9,0,0
