Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
475,1,1,c,10,0.0,34.2,-0.0,0,0
475,1,1,c,20,1.6,35.3,0.0,0,0
475,1,1,c,30,3.2,33.1,0.0,0,0
475,1,1,c,40,4.9,31.4,20.6,0,0
475,1,1,c,50,8.1,30.3,113.9,0,0
475,1,1,c,60,11.4,30.9,224.2,0,0
475,1,1,c,70,16.2,31.4,374.3,0,0
475,1,1,c,80,21.1,33.6,429.5,0,0
475,1,1,c,90,26.0,38.0,506.1,0,0
475,1,1,c,100,32.5,43.0,546.6,0,0
475,1,1,c,110,37.3,48.5,572.0,0,0
475,1,1,c,120,43.8,53.5,609.4,0,0
475,1,1,c,130,50.3,56.8,641.1,0,0
475,1,1,c,140,56.8,59.6,671.1,0,0
475,1,1,c,150,63.3,62.3,682.6,0,0
475,1,1,c,160,71.4,65.1,711.7,0,0
475,1,1,c,170,77.9,66.7,724.4,0,0
475,1,1,c,180,84.4,66.7,744.8,0,0
475,1,1,c,190,92.5,65.1,757.7,0,0
475,1,1,c,200,99.0,63.4,763.7,0,0
475,1,1,c,210,107.1,64.0,773.8,0,0
475,1,1,c,220,113.6,65.1,781.7,0,0
475,1,1,c,230,121.7,67.8,787.8,0,0
475,1,1,c,240,128.2,68.9,792.3,0,0
475,1,1,c,250,136.3,68.9,786.0,0,0
475,1,1,c,260,142.8,67.3,784.1,0,0
475,1,1,c,270,151.0,69.5,801.4,0,0
475,1,1,c,280,159.1,71.1,826.3,0,0
475,1,1,c,290,165.6,73.3,804.9,0,0
475,1,1,c,300,173.7,75.5,786.3,0,0
475,1,1,c,310,181.8,75.0,804.7,0,0
475,1,1,c,320,188.3,76.1,808.9,0,0
475,1,1,c,330,196.4,77.7,785.6,0,0
475,1,1,c,340,204.5,77.2,802.9,0,0
475,1,1,c,350,211.0,76.1,817.5,0,0
475,1,1,c,360,219.1,74.4,800.8,0,0
475,1,1,c,370,227.2,73.3,806.2,0,0
475,1,1,c,380,233.7,73.9,817.0,0,0
475,1,1,c,390,241.9,76.6,799.1,0,0
475,1,1,c,400,250.0,81.1,813.9,0,0
475,1,1,c,410,256.5,84.9,827.5,0,0
475,1,1,c,420,264.6,88.8,812.0,0,0
475,1,1,c,430,272.7,89.9,820.4,0,0
475,1,1,c,440,279.2,88.2,815.8,0,0
475,1,1,c,450,287.3,84.9,792.5,0,0
475,1,1,c,460,293.8,82.2,825.0,0,0
475,1,1,c,470,301.9,81.1,832.3,0,0
475,1,1,c,480,310.0,81.6,814.8,0,0
475,1,1,c,490,318.1,82.7,823.5,0,0
475,1,1,c,500,324.6,83.3,821.3,0,0
475,1,1,c,510,332.7,80.0,793.3,0,0
475,1,1,c,520,340.9,80.5,816.8,0,0
475,1,1,c,530,347.4,80.5,835.1,0,0
475,1,1,c,540,355.5,80.0,828.9,0,0
475,1,1,c,550,363.6,80.5,812.9,0,0
475,1,1,c,560,370.1,81.1,803.3,0,0
475,1,1,c,570,378.2,78.3,784.9,0,0
475,1,1,c,580,384.7,74.4,795.3,0,0
475,1,1,c,590,392.8,74.4,817.4,0,0
475,1,1,c,600,399.3,75.0,797.5,0,0
475,1,1,c,610,407.4,76.6,783.0,0,0
475,1,1,c,620,415.5,77.2,806.7,0,0
475,1,1,c,630,422.0,76.1,805.6,0,0
475,1,1,c,640,430.1,73.9,792.4,0,0
475,1,1,c,650,438.3,73.9,789.6,0,0
475,1,1,c,660,444.7,72.8,806.0,0,0
475,1,1,c,670,451.2,73.3,777.1,0,0
475,1,1,c,680,459.4,74.4,775.5,0,0
475,1,1,c,690,467.5,80.0,784.7,0,0
475,1,1,c,700,472.3,91.0,722.2,0,0
475,1,1,c,710,475.6,102.6,613.6,0,0
475,1,1,c,720,477.2,114.7,477.2,0,0
475,1,1,c,730,477.2,123.5,300.4,0,0
475,1,1,c,740,477.2,128.5,174.9,0,0
475,1,1,e,750,477.2,130.7,86.0,0,0
475,1,1,e,760,474.0,137.3,-21.3,0,0
475,1,1,e,770,472.3,148.3,-93.7,0,0
475,1,1,e,780,467.5,161.0,-207.2,0,0
475,1,1,e,790,464.2,173.7,-333.9,0,0
475,1,1,e,800,459.4,185.8,-408.3,0,0
475,1,1,e,810,454.5,196.9,-473.8,0,0
475,1,1,e,820,449.6,206.8,-512.7,0,0
475,1,1,e,830,444.7,211.7,-542.1,0,0
475,1,1,e,840,438.3,212.8,-593.4,0,0
475,1,1,e,850,431.8,211.2,-597.8,0,0
475,1,1,e,860,426.9,206.2,-633.3,0,0
475,1,1,e,870,420.4,202.4,-651.8,0,0
475,1,1,e,880,413.9,196.9,-664.7,0,0
475,1,1,e,890,407.4,194.6,-669.1,0,0
475,1,1,e,900,399.3,192.4,-699.8,0,0
475,1,1,e,910,392.8,200.2,-716.9,0,0
475,1,1,e,920,386.3,207.9,-742.6,0,0
475,1,1,e,930,379.8,221.1,-750.9,0,0
475,1,1,e,940,373.3,223.3,-755.3,0,0
475,1,1,e,950,365.2,221.1,-755.3,0,0
475,1,1,e,960,357.1,224.4,-769.2,0,0
475,1,1,e,970,350.6,229.4,-776.0,0,0
475,1,1,e,980,344.1,233.8,-784.2,0,0
475,1,1,e,990,336.0,232.1,-774.8,0,0
475,1,1,e,1000,329.5,232.1,-783.2,0,0
475,1,1,e,1010,321.4,236.0,-780.5,0,0
475,1,1,e,1020,314.9,242.1,-776.0,0,0
475,1,1,e,1030,306.8,248.1,-770.8,0,0
475,1,1,e,1040,300.3,253.1,-777.0,0,0
475,1,1,e,1050,292.2,253.6,-798.6,0,0
475,1,1,e,1060,285.7,245.9,-795.1,0,0
475,1,1,e,1070,277.6,252.5,-776.9,0,0
475,1,1,e,1080,271.1,269.1,-784.7,0,0
475,1,1,e,1090,263.0,289.5,-799.3,0,0
475,1,1,e,1100,256.5,300.5,-798.2,0,0
475,1,1,e,1110,248.3,306.0,-772.2,0,0
475,1,1,e,1120,241.9,308.2,-780.4,0,0
475,1,1,e,1130,233.7,302.2,-774.0,0,0
475,1,1,e,1140,227.2,286.2,-780.2,0,0
475,1,1,e,1150,219.1,274.6,-772.4,0,0
475,1,1,e,1160,212.6,268.5,-781.0,0,0
475,1,1,e,1170,204.5,264.1,-806.2,0,0
475,1,1,e,1180,198.0,268.0,-792.6,0,0
475,1,1,e,1190,189.9,279.0,-782.0,0,0
475,1,1,e,1200,181.8,292.2,-811.0,0,0
475,1,1,e,1210,175.3,293.9,-821.6,0,0
475,1,1,e,1220,167.2,288.9,-802.5,0,0
475,1,1,e,1230,159.1,270.7,-801.4,0,0
475,1,1,e,1240,152.6,256.4,-798.7,0,0
475,1,1,e,1250,144.5,253.1,-774.4,0,0
475,1,1,e,1260,138.0,259.2,-782.1,0,0
475,1,1,e,1270,129.9,268.5,-812.7,0,0
475,1,1,e,1280,123.4,271.8,-788.7,0,0
475,1,1,e,1290,115.2,264.7,-780.0,0,0
475,1,1,e,1300,107.1,249.8,-812.8,0,0
475,1,1,e,1310,100.6,238.8,-804.2,0,0
475,1,1,e,1320,92.5,228.8,-799.1,0,0
475,1,1,e,1330,84.4,239.9,-822.8,0,0
475,1,1,e,1340,77.9,248.1,-835.9,0,0
475,1,1,e,1350,69.8,250.3,-806.6,0,0
475,1,1,e,1360,61.7,245.9,-799.6,0,0
475,1,1,e,1370,55.2,244.8,-799.3,0,0
475,1,1,e,1380,47.1,238.8,-797.1,0,0
475,1,1,e,1390,39.0,230.5,-810.9,0,0
475,1,1,e,1400,32.5,222.2,-813.6,0,0
475,1,1,e,1410,24.3,211.7,-798.3,0,0
475,1,1,e,1420,17.9,202.4,-812.0,0,0
475,1,1,e,1430,9.7,195.7,-835.6,0,0
475,1,1,e,1440,3.2,188.0,-821.0,0,0
475,1,1,e,1450,-4.9,180.3,-792.0,0,0
475,1,1,e,1460,-11.4,177.6,-809.2,0,0
475,1,1,e,1470,-19.5,166.0,-764.6,0,0
475,1,1,e,1480,-24.3,151.1,-680.1,0,0
475,1,1,e,1490,-27.6,129.6,-567.6,0,0
475,1,1,e,1500,-29.2,116.9,-430.3,0,0
475,1,1,e,1510,-29.2,113.0,-292.1,0,0
475,1,1,e,1520,-29.2,112.5,-174.0,0,0
475,1,2,c,1530,-27.6,117.4,0.0,0,0
475,1,2,c,1540,-26.0,116.9,53.3,0,0
475,1,2,c,1550,-22.7,110.8,141.8,0,0
475,1,2,c,1560,-19.5,104.2,238.2,0,0
475,1,2,c,1570,-14.6,106.4,324.6,0,0
475,1,2,c,1580,-9.7,117.4,393.8,0,0
475,1,2,c,1590,-4.9,136.2,469.0,0,0
475,1,2,c,1600,0.0,153.3,521.3,0,0
475,1,2,c,1610,6.5,164.3,574.6,0,0
475,1,2,c,1620,13.0,168.2,603.1,0,0
475,1,2,c,1630,17.9,167.6,639.6,0,0
475,1,2,c,1640,24.3,164.9,650.3,0,0
475,1,2,c,1650,32.5,166.5,688.6,0,0
475,1,2,c,1660,39.0,167.6,705.2,0,0
475,1,2,c,1670,45.4,172.0,734.7,0,0
475,1,2,c,1680,51.9,175.9,742.9,0,0
475,1,2,c,1690,60.1,176.4,749.0,0,0
475,1,2,c,1700,66.5,175.3,770.3,0,0
475,1,2,c,1710,74.7,173.1,791.7,0,0
475,1,2,c,1720,82.8,170.9,804.6,0,0
475,1,2,c,1730,90.9,170.9,822.3,0,0
475,1,2,c,1740,99.0,172.6,821.0,0,0
475,1,2,c,1750,107.1,174.2,826.8,0,0
475,1,2,c,1760,113.6,173.7,863.6,0,0
475,1,2,c,1770,121.7,173.7,832.2,0,0
475,1,2,c,1780,129.9,172.6,840.0,0,0
475,1,2,c,1790,136.3,167.6,815.4,0,0
475,1,2,c,1800,144.5,169.3,815.3,0,0
475,1,2,c,1810,151.0,170.4,832.0,0,0
475,1,2,c,1820,159.1,170.4,828.5,0,0
475,1,2,c,1830,167.2,167.6,793.4,0,0
475,1,2,c,1840,175.3,164.9,794.5,0,0
475,1,2,c,1850,181.8,165.4,808.7,0,0
475,1,2,c,1860,189.9,167.1,797.9,0,0
475,1,2,c,1870,196.4,170.4,795.9,0,0
475,1,2,c,1880,204.5,167.6,808.7,0,0
475,1,2,c,1890,211.0,163.8,805.0,0,0
475,1,2,c,1900,219.1,159.4,784.3,0,0
475,1,2,c,1910,227.2,157.7,791.3,0,0
475,1,2,c,1920,233.7,160.5,786.6,0,0
475,1,2,c,1930,241.9,167.6,770.2,0,0
475,1,2,c,1940,248.3,173.7,782.2,0,0
475,1,2,c,1950,256.5,173.7,818.4,0,0
475,1,2,c,1960,263.0,172.6,800.3,0,0
475,1,2,c,1970,271.1,169.3,791.3,0,0
475,1,2,c,1980,279.2,167.6,822.0,0,0
475,1,2,c,1990,285.7,167.6,808.5,0,0
475,1,2,c,2000,293.8,169.3,778.8,0,0
475,1,2,c,2010,300.3,170.9,796.7,0,0
475,1,2,c,2020,308.4,171.5,808.1,0,0
475,1,2,c,2030,316.5,169.8,811.0,0,0
475,1,2,c,2040,324.6,164.9,804.5,0,0
475,1,2,c,2050,331.1,157.7,800.4,0,0
475,1,2,c,2060,337.6,162.7,792.2,0,0
475,1,2,c,2070,345.7,172.6,790.6,0,0
475,1,2,c,2080,353.8,177.6,816.6,0,0
475,1,2,c,2090,360.3,177.0,799.8,0,0
475,1,2,c,2100,368.5,174.2,798.9,0,0
475,1,2,c,2110,376.6,169.8,820.5,0,0
475,1,2,c,2120,383.1,169.3,816.3,0,0
475,1,2,c,2130,391.2,175.3,798.4,0,0
475,1,2,c,2140,399.3,178.7,791.5,0,0
475,1,2,c,2150,405.8,180.3,800.9,0,0
475,1,2,c,2160,412.3,175.9,773.0,0,0
475,1,2,c,2170,420.4,168.2,781.1,0,0
475,1,2,c,2180,428.5,164.9,817.5,0,0
475,1,2,c,2190,435.0,167.6,799.3,0,0
475,1,2,c,2200,443.1,170.9,783.3,0,0
475,1,2,c,2210,451.2,174.2,804.8,0,0
475,1,2,c,2220,457.7,175.9,805.2,0,0
475,1,2,c,2230,465.8,182.0,787.3,0,0
475,1,2,c,2240,470.7,195.2,756.3,0,0
475,1,2,c,2250,475.6,211.7,641.6,0,0
475,1,2,c,2260,477.2,227.2,485.8,0,0
475,1,2,c,2270,477.2,237.1,330.2,0,0
475,1,2,c,2280,477.2,236.6,189.0,0,0
475,1,2,e,2290,475.6,235.4,0.0,0,0
475,1,2,e,2300,474.0,246.5,-29.4,0,0
475,1,2,e,2310,470.7,268.0,-93.5,0,0
475,1,2,e,2320,467.5,287.3,-194.0,0,0
475,1,2,e,2330,464.2,302.7,-306.5,0,0
475,1,2,e,2340,461.0,304.4,-388.6,0,0
475,1,2,e,2350,456.1,291.7,-447.2,0,0
475,1,2,e,2360,451.2,275.1,-496.4,0,0
475,1,2,e,2370,444.7,263.0,-526.2,0,0
475,1,2,e,2380,438.3,260.3,-574.6,0,0
475,1,2,e,2390,433.4,262.5,-598.1,0,0
475,1,2,e,2400,426.9,263.6,-637.4,0,0
475,1,2,e,2410,420.4,261.9,-646.2,0,0
475,1,2,e,2420,413.9,256.4,-658.8,0,0
475,1,2,e,2430,407.4,250.3,-678.0,0,0
475,1,2,e,2440,400.9,248.1,-683.7,0,0
475,1,2,e,2450,394.4,255.3,-689.1,0,0
475,1,2,e,2460,386.3,260.3,-699.9,0,0
475,1,2,e,2470,379.8,266.9,-732.2,0,0
475,1,2,e,2480,373.3,264.1,-746.0,0,0
475,1,2,e,2490,366.8,258.6,-755.8,0,0
475,1,2,e,2500,360.3,258.6,-765.3,0,0
475,1,2,e,2510,350.6,264.1,-773.5,0,0
475,1,2,e,2520,344.1,265.2,-787.5,0,0
475,1,2,e,2530,337.6,257.5,-778.1,0,0
475,1,2,e,2540,329.5,248.7,-803.9,0,0
475,1,2,e,2550,321.4,244.8,-815.0,0,0
475,1,2,e,2560,314.9,251.4,-806.4,0,0
475,1,2,e,2570,306.8,262.5,-781.6,0,0
475,1,2,e,2580,300.3,266.9,-774.4,0,0
475,1,2,e,2590,292.2,256.4,-804.6,0,0
475,1,2,e,2600,285.7,231.0,-785.2,0,0
475,1,2,e,2610,277.6,222.8,-773.0,0,0
475,1,2,e,2620,271.1,229.9,-811.3,0,0
475,1,2,e,2630,263.0,247.0,-808.5,0,0
475,1,2,e,2640,254.8,263.6,-801.3,0,0
475,1,2,e,2650,246.7,272.4,-816.0,0,0
475,1,2,e,2660,240.2,269.6,-812.4,0,0
475,1,2,e,2670,233.7,255.3,-793.6,0,0
475,1,2,e,2680,225.6,236.0,-783.0,0,0
475,1,2,e,2690,217.5,231.0,-797.5,0,0
475,1,2,e,2700,211.0,237.1,-802.4,0,0
475,1,2,e,2710,202.9,241.0,-798.7,0,0
475,1,2,e,2720,194.8,245.4,-804.0,0,0
475,1,2,e,2730,188.3,247.6,-810.2,0,0
475,1,2,e,2740,181.8,247.0,-795.8,0,0
475,1,2,e,2750,173.7,239.9,-810.5,0,0
475,1,2,e,2760,165.6,237.1,-824.3,0,0
475,1,2,e,2770,159.1,237.7,-818.5,0,0
475,1,2,e,2780,151.0,238.8,-785.2,0,0
475,1,2,e,2790,142.8,238.2,-796.7,0,0
475,1,2,e,2800,136.3,234.3,-800.2,0,0
475,1,2,e,2810,129.9,225.5,-773.5,0,0
475,1,2,e,2820,121.7,217.8,-765.3,0,0
475,1,2,e,2830,113.6,218.4,-792.7,0,0
475,1,2,e,2840,107.1,225.0,-791.4,0,0
475,1,2,e,2850,99.0,231.0,-776.5,0,0
475,1,2,e,2860,90.9,227.2,-795.0,0,0
475,1,2,e,2870,84.4,222.8,-796.3,0,0
475,1,2,e,2880,76.3,210.1,-793.9,0,0
475,1,2,e,2890,68.2,194.6,-811.5,0,0
475,1,2,e,2900,61.7,184.7,-830.1,0,0
475,1,2,e,2910,53.6,186.4,-803.0,0,0
475,1,2,e,2920,45.4,189.7,-819.5,0,0
475,1,2,e,2930,39.0,193.0,-814.4,0,0
475,1,2,e,2940,30.8,193.0,-807.5,0,0
475,1,2,e,2950,24.3,190.8,-812.7,0,0
475,1,2,e,2960,16.2,185.8,-829.8,0,0
475,1,2,e,2970,8.1,182.5,-813.7,0,0
475,1,2,e,2980,1.6,179.2,-805.4,0,0
475,1,2,e,2990,-6.5,185.8,-804.4,0,0
475,1,2,e,3000,-13.0,201.3,-782.3,0,0
475,1,2,e,3010,-19.5,209.5,-754.8,0,0
475,1,2,e,3020,-24.3,202.4,-668.5,0,0
475,1,2,e,3030,-26.0,185.8,-544.9,0,0
475,1,2,e,3040,-27.6,170.9,-379.7,0,0
475,1,2,e,3050,-27.6,163.2,-236.4,0,0
475,1,3,c,3060,-26.0,164.9,0.0,0,0
475,1,3,c,3070,-26.0,169.8,0.0,0,0
475,1,3,c,3080,-22.7,169.8,49.3,0,0
475,1,3,c,3090,-19.5,162.7,138.8,0,0
475,1,3,c,3100,-16.2,154.4,269.6,0,0
475,1,3,c,3110,-13.0,148.3,377.9,0,0
475,1,3,c,3120,-8.1,148.9,433.5,0,0
475,1,3,c,3130,-1.6,151.1,497.2,0,0
475,1,3,c,3140,3.2,152.2,546.4,0,0
475,1,3,c,3150,8.1,150.5,582.6,0,0
475,1,3,c,3160,16.2,150.0,608.7,0,0
475,1,3,c,3170,22.7,145.0,653.5,0,0
475,1,3,c,3180,29.2,145.0,687.9,0,0
475,1,3,c,3190,35.7,145.0,717.3,0,0
