Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
476,1,1,c,10,0.0,37.5,0.0,0,0
476,1,1,c,20,0.0,41.4,0.0,0,0
476,1,1,c,30,3.2,41.9,0.0,0,0
476,1,1,c,40,4.9,41.9,16.2,0,0
476,1,1,c,50,8.1,43.6,96.1,0,0
476,1,1,c,60,11.4,45.8,217.5,0,0
476,1,1,c,70,16.2,49.6,358.6,0,0
476,1,1,c,80,21.1,53.5,448.1,0,0
476,1,1,c,90,26.0,60.7,499.0,0,0
476,1,1,c,100,32.5,68.9,552.3,0,0
476,1,1,c,110,37.3,77.2,572.3,0,0
476,1,1,c,120,43.8,83.8,631.7,0,0
476,1,1,c,130,50.3,88.2,657.1,0,0
476,1,1,c,140,56.8,88.8,673.3,0,0
476,1,1,c,150,61.7,87.7,685.7,0,0
476,1,1,c,160,69.8,86.6,706.5,0,0
476,1,1,c,170,77.9,87.7,725.7,0,0
476,1,1,c,180,84.4,89.9,730.3,0,0
476,1,1,c,190,90.9,93.2,726.7,0,0
476,1,1,c,200,99.0,99.3,755.8,0,0
476,1,1,c,210,105.5,103.7,762.6,0,0
476,1,1,c,220,113.6,104.2,800.3,0,0
476,1,1,c,230,120.1,104.2,793.7,0,0
476,1,1,c,240,128.2,102.0,776.8,0,0
476,1,1,c,250,136.3,98.1,806.3,0,0
476,1,1,c,260,142.8,97.0,810.0,0,0
476,1,1,c,270,151.0,97.0,792.9,0,0
476,1,1,c,280,159.1,95.9,809.8,0,0
476,1,1,c,290,165.6,97.6,811.6,0,0
476,1,1,c,300,173.7,97.6,790.6,0,0
476,1,1,c,310,181.8,97.6,823.2,0,0
476,1,1,c,320,188.3,98.1,813.6,0,0
476,1,1,c,330,196.4,97.6,810.2,0,0
476,1,1,c,340,204.5,94.3,826.5,0,0
476,1,1,c,350,212.6,92.1,820.4,0,0
476,1,1,c,360,220.7,91.0,810.4,0,0
476,1,1,c,370,227.2,94.8,850.5,0,0
476,1,1,c,380,235.4,99.8,803.0,0,0
476,1,1,c,390,243.5,103.1,848.9,0,0
476,1,1,c,400,250.0,103.7,829.5,0,0
476,1,1,c,410,258.1,103.7,818.1,0,0
476,1,1,c,420,266.2,103.7,841.4,0,0
476,1,1,c,430,272.7,104.2,804.0,0,0
476,1,1,c,440,280.8,102.0,786.3,0,0
476,1,1,c,450,288.9,105.9,814.4,0,0
476,1,1,c,460,295.4,110.3,806.5,0,0
476,1,1,c,470,303.5,112.5,795.0,0,0
476,1,1,c,480,311.6,113.6,822.2,0,0
476,1,1,c,490,318.1,113.6,807.6,0,0
476,1,1,c,500,326.3,110.8,809.9,0,0
476,1,1,c,510,334.4,108.6,833.7,0,0
476,1,1,c,520,340.9,111.9,835.1,0,0
476,1,1,c,530,349.0,115.2,799.4,0,0
476,1,1,c,540,357.1,118.6,798.9,0,0
476,1,1,c,550,363.6,119.1,810.9,0,0
476,1,1,c,560,371.7,116.9,797.9,0,0
476,1,1,c,570,378.2,113.0,794.1,0,0
476,1,1,c,580,386.3,109.7,790.1,0,0
476,1,1,c,590,392.8,107.5,736.8,0,0
476,1,1,c,600,396.1,98.1,647.6,0,0
476,1,1,c,610,399.3,144.5,512.1,0,0
476,1,1,c,620,399.3,172.6,374.5,0,0
476,1,1,c,630,399.3,195.7,230.3,0,0
476,1,1,e,640,397.7,204.6,0.0,0,0
476,1,1,e,650,396.1,212.3,-28.2,0,0
476,1,1,e,660,394.4,210.1,-88.3,0,0
476,1,1,e,670,391.2,206.8,-179.6,0,0
476,1,1,e,680,386.3,218.9,-291.5,0,0
476,1,1,e,690,383.1,231.6,-370.8,0,0
476,1,1,e,700,378.2,244.8,-427.5,0,0
476,1,1,e,710,373.3,248.7,-484.5,0,0
476,1,1,e,720,366.8,243.2,-525.4,0,0
476,1,1,e,730,362.0,231.0,-556.6,0,0
476,1,1,e,740,357.1,224.4,-608.3,0,0
476,1,1,e,750,350.6,228.3,-631.0,0,0
476,1,1,e,760,344.1,237.1,-650.4,0,0
476,1,1,e,770,337.6,244.8,-676.7,0,0
476,1,1,e,780,331.1,249.2,-709.9,0,0
476,1,1,e,790,324.6,244.8,-720.6,0,0
476,1,1,e,800,316.5,236.6,-734.4,0,0
476,1,1,e,810,310.0,234.3,-728.4,0,0
476,1,1,e,820,303.5,239.9,-724.0,0,0
476,1,1,e,830,295.4,245.9,-722.7,0,0
476,1,1,e,840,288.9,213.9,-746.5,0,0
476,1,1,e,850,282.4,235.4,-771.0,0,0
476,1,1,e,860,275.9,249.8,-771.1,0,0
476,1,1,e,870,269.4,264.7,-772.0,0,0
476,1,1,e,880,261.3,264.7,-762.3,0,0
476,1,1,e,890,253.2,259.2,-764.6,0,0
476,1,1,e,900,246.7,252.5,-765.4,0,0
476,1,1,e,910,238.6,232.7,-777.7,0,0
476,1,1,e,920,230.5,229.9,-791.5,0,0
476,1,1,e,930,224.0,237.7,-783.2,0,0
476,1,1,e,940,215.9,257.5,-763.7,0,0
476,1,1,e,950,209.4,271.8,-774.6,0,0
476,1,1,e,960,201.3,271.3,-812.9,0,0
476,1,1,e,970,194.8,259.7,-807.5,0,0
476,1,1,e,980,188.3,238.2,-790.0,0,0
476,1,1,e,990,178.5,220.6,-813.6,0,0
476,1,1,e,1000,172.1,205.1,-803.0,0,0
476,1,1,e,1010,163.9,202.4,-793.4,0,0
476,1,1,e,1020,155.8,209.5,-818.5,0,0
476,1,1,e,1030,149.3,224.4,-817.1,0,0
476,1,1,e,1040,141.2,236.6,-805.7,0,0
476,1,1,e,1050,134.7,243.7,-807.5,0,0
476,1,1,e,1060,126.6,239.3,-822.9,0,0
