Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
478,1,1,c,10,0.0,34.2,0.0,0,0
478,1,1,c,20,1.6,33.6,0.0,0,0
478,1,1,c,30,1.6,26.5,0.0,0,0
478,1,1,c,40,4.9,21.0,39.6,0,0
478,1,1,c,50,8.1,19.9,124.0,0,0
478,1,1,c,60,11.4,22.6,240.6,0,0
478,1,1,c,70,16.2,27.6,358.6,0,0
478,1,1,c,80,21.1,33.6,428.5,0,0
478,1,1,c,90,26.0,41.4,498.0,0,0
478,1,1,c,100,30.8,48.0,551.1,0,0
478,1,1,c,110,37.3,54.6,605.8,0,0
478,1,1,c,120,43.8,59.6,618.9,0,0
478,1,1,c,130,50.3,63.4,649.6,0,0
478,1,1,c,140,55.2,66.2,683.8,0,0
478,1,1,c,150,63.3,64.5,704.5,0,0
478,1,1,c,160,69.8,67.3,720.9,0,0
478,1,1,c,170,76.3,70.6,729.1,0,0
478,1,1,c,180,82.8,70.0,732.3,0,0
478,1,1,c,190,90.9,68.9,741.5,0,0
478,1,1,c,200,97.4,67.3,741.8,0,0
478,1,1,c,210,105.5,65.1,748.9,0,0
478,1,1,c,220,112.0,67.3,758.1,0,0
478,1,1,c,230,120.1,71.1,779.2,0,0
478,1,1,c,240,126.6,73.3,789.6,0,0
478,1,1,c,250,134.7,73.3,795.8,0,0
478,1,1,c,260,141.2,72.2,780.3,0,0
478,1,1,c,270,149.3,69.5,777.7,0,0
478,1,1,c,280,157.4,68.9,799.5,0,0
478,1,1,c,290,163.9,70.6,809.1,0,0
478,1,1,c,300,172.1,70.6,800.3,0,0
478,1,1,c,310,180.2,69.5,816.9,0,0
478,1,1,c,320,186.7,71.7,832.8,0,0
478,1,1,c,330,194.8,75.0,805.6,0,0
478,1,1,c,340,202.9,79.4,818.6,0,0
478,1,1,c,350,209.4,82.2,831.6,0,0
478,1,1,c,360,217.5,80.0,808.7,0,0
478,1,1,c,370,225.6,75.5,809.9,0,0
478,1,1,c,380,232.1,74.4,813.5,0,0
478,1,1,c,390,238.6,74.4,792.2,0,0
478,1,1,c,400,248.3,75.0,818.9,0,0
478,1,1,c,410,254.8,72.8,827.9,0,0
478,1,1,c,420,261.3,76.6,811.7,0,0
478,1,1,c,430,271.1,81.1,822.0,0,0
478,1,1,c,440,277.6,83.3,820.5,0,0
478,1,1,c,450,285.7,81.6,800.6,0,0
478,1,1,c,460,293.8,78.9,800.9,0,0
478,1,1,c,470,300.3,77.2,800.7,0,0
478,1,1,c,480,308.4,78.3,789.2,0,0
478,1,1,c,490,316.5,81.1,810.3,0,0
478,1,1,c,500,323.0,81.1,814.5,0,0
478,1,1,c,510,331.1,82.2,781.4,0,0
478,1,1,c,520,339.2,82.2,792.2,0,0
478,1,1,c,530,345.7,89.3,787.4,0,0
478,1,1,c,540,350.6,105.3,717.2,0,0
478,1,1,c,550,353.8,124.6,599.1,0,0
478,1,1,c,560,355.5,139.0,455.9,0,0
478,1,1,c,570,355.5,147.2,288.6,0,0
478,1,1,c,580,355.5,142.3,172.4,0,0
478,1,1,e,590,353.8,140.1,0.0,0,0
478,1,1,e,600,352.2,150.0,-45.8,0,0
478,1,1,e,610,349.0,163.8,-130.7,0,0
478,1,1,e,620,345.7,173.1,-243.6,0,0
478,1,1,e,630,342.5,178.1,-334.0,0,0
478,1,1,e,640,337.6,179.8,-399.9,0,0
478,1,1,e,650,332.7,179.8,-465.6,0,0
478,1,1,e,660,326.3,173.7,-500.6,0,0
478,1,1,e,670,321.4,165.4,-539.1,0,0
478,1,1,e,680,316.5,155.5,-578.9,0,0
478,1,1,e,690,310.0,147.2,-614.9,0,0
478,1,1,e,700,303.5,148.9,-644.9,0,0
478,1,1,e,710,297.0,168.7,-674.7,0,0
478,1,1,e,720,290.5,183.1,-714.2,0,0
478,1,1,e,730,284.1,188.6,-720.1,0,0
478,1,1,e,740,277.6,186.4,-728.1,0,0
