Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
480,1,1,c,10,0.0,34.2,0.0,0,0
480,1,1,c,20,0.0,33.6,0.0,0,0
480,1,1,c,30,1.6,28.7,0.0,0,0
480,1,1,c,40,3.2,28.1,18.7,0,0
480,1,1,c,50,6.5,29.2,113.4,0,0
480,1,1,c,60,9.7,33.1,224.7,0,0
480,1,1,c,70,14.6,38.0,357.3,0,0
480,1,1,c,80,19.5,44.7,422.1,0,0
480,1,1,c,90,24.3,51.3,485.9,0,0
480,1,1,c,100,29.2,55.1,529.4,0,0
480,1,1,c,110,35.7,56.2,560.5,0,0
480,1,1,c,120,42.2,55.7,617.6,0,0
480,1,1,c,130,48.7,52.9,643.1,0,0
480,1,1,c,140,53.6,50.7,666.3,0,0
480,1,1,c,150,61.7,48.5,693.8,0,0
480,1,1,c,160,68.2,46.3,707.6,0,0
480,1,1,c,170,74.7,51.8,721.7,0,0
480,1,1,c,180,82.8,55.1,745.7,0,0
480,1,1,c,190,89.3,57.9,752.6,0,0
480,1,1,c,200,95.8,59.0,758.1,0,0
480,1,1,c,210,103.9,57.9,762.1,0,0
480,1,1,c,220,110.4,56.2,768.8,0,0
480,1,1,c,230,118.5,56.8,787.5,0,0
480,1,1,c,240,125.0,55.7,776.5,0,0
480,1,1,c,250,133.1,53.5,773.5,0,0
480,1,1,c,260,141.2,52.4,805.6,0,0
480,1,1,c,270,147.7,50.7,800.5,0,0
480,1,1,c,280,155.8,48.5,794.1,0,0
480,1,1,c,290,162.3,48.5,796.1,0,0
480,1,1,c,300,170.4,48.5,816.0,0,0
480,1,1,c,310,176.9,48.0,794.7,0,0
480,1,1,c,320,183.4,46.3,796.0,0,0
480,1,1,c,330,193.2,41.4,814.1,0,0
480,1,1,c,340,199.6,37.5,815.1,0,0
480,1,1,c,350,207.8,36.9,790.3,0,0
480,1,1,c,360,214.3,35.8,798.9,0,0
480,1,1,c,370,222.4,34.2,799.5,0,0
480,1,1,c,380,228.9,30.9,792.0,0,0
480,1,1,c,390,237.0,27.6,771.2,0,0
