Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
500,1,1,c,10,0.0,37.5,-0.0,0,0
500,1,1,c,20,1.6,43.6,0.0,0,0
500,1,1,c,30,3.2,50.2,0.0,0,0
500,1,1,c,40,4.9,60.7,22.0,0,0
500,1,1,c,50,8.1,76.1,117.4,0,0
500,1,1,c,60,13.0,95.4,253.1,0,0
500,1,1,c,70,16.2,114.1,392.4,0,0
500,1,1,c,80,22.7,123.0,455.9,0,0
500,1,1,c,90,27.6,119.7,517.0,0,0
500,1,1,c,100,32.5,110.3,560.9,0,0
500,1,1,c,110,39.0,101.5,618.9,0,0
500,1,1,c,120,45.4,99.3,638.1,0,0
500,1,1,c,130,51.9,103.7,676.7,0,0
500,1,1,c,140,58.4,111.9,699.3,0,0
500,1,1,c,150,64.9,119.1,708.8,0,0
500,1,1,c,160,71.4,122.4,725.7,0,0
500,1,1,c,170,79.5,121.3,735.4,0,0
500,1,1,c,180,86.0,120.2,747.6,0,0
500,1,1,c,190,94.1,119.7,763.4,0,0
500,1,1,c,200,100.6,123.0,763.9,0,0
500,1,1,c,210,108.8,127.9,769.6,0,0
500,1,1,c,220,116.9,132.3,785.2,0,0
500,1,1,c,230,123.4,135.6,809.7,0,0
500,1,1,c,240,131.5,136.2,796.9,0,0
500,1,1,c,250,139.6,134.0,819.4,0,0
500,1,1,c,260,146.1,130.7,838.8,0,0
500,1,1,c,270,154.2,126.3,810.3,0,0
500,1,1,c,280,162.3,124.6,847.1,0,0
500,1,1,c,290,170.4,125.2,826.0,0,0
500,1,1,c,300,178.5,127.4,836.9,0,0
500,1,1,c,310,185.0,129.0,830.4,0,0
500,1,1,c,320,193.2,127.4,814.6,0,0
500,1,1,c,330,201.3,129.6,824.8,0,0
500,1,1,c,340,207.8,130.7,841.7,0,0
500,1,1,c,350,215.9,131.2,821.9,0,0
500,1,1,c,360,224.0,129.6,812.8,0,0
500,1,1,c,370,230.5,126.8,817.4,0,0
500,1,1,c,380,238.6,124.1,804.2,0,0
500,1,1,c,390,246.7,122.4,813.1,0,0
500,1,1,c,400,253.2,121.3,810.7,0,0
500,1,1,c,410,261.3,119.7,790.0,0,0
500,1,1,c,420,267.8,119.1,802.3,0,0
500,1,1,c,430,275.9,118.0,816.4,0,0
500,1,1,c,440,282.4,113.6,815.8,0,0
500,1,1,c,450,290.5,110.3,787.3,0,0
500,1,1,c,460,297.0,110.3,788.7,0,0
500,1,1,c,470,305.2,105.9,797.0,0,0
500,1,1,c,480,311.6,102.6,777.3,0,0
500,1,1,c,490,319.8,100.4,769.1,0,0
500,1,1,c,500,327.9,99.8,789.7,0,0
500,1,1,c,510,334.4,96.5,788.1,0,0
500,1,1,c,520,340.9,93.2,779.8,0,0
500,1,1,c,530,349.0,94.3,768.8,0,0
500,1,1,c,540,353.8,102.0,719.7,0,0
500,1,1,c,550,357.1,114.7,603.5,0,0
500,1,1,c,560,360.3,132.9,439.9,0,0
500,1,1,c,570,360.3,146.7,312.6,0,0
500,1,1,e,580,358.7,152.7,0.0,0,0
500,1,1,e,590,358.7,158.3,0.0,0,0
500,1,1,e,600,357.1,169.3,-39.3,0,0
500,1,1,e,610,353.8,185.8,-109.3,0,0
500,1,1,e,620,350.6,207.9,-214.7,0,0
500,1,1,e,630,347.4,222.2,-305.7,0,0
500,1,1,e,640,342.5,236.0,-371.1,0,0
500,1,1,e,650,337.6,245.9,-435.6,0,0
500,1,1,e,660,332.7,253.1,-474.1,0,0
500,1,1,e,670,327.9,258.6,-530.4,0,0
500,1,1,e,680,321.4,264.1,-561.2,0,0
500,1,1,e,690,316.5,270.7,-572.1,0,0
500,1,1,e,700,310.0,280.7,-601.1,0,0
500,1,1,e,710,303.5,291.1,-631.2,0,0
500,1,1,e,720,298.7,299.4,-660.0,0,0
500,1,1,e,730,290.5,299.4,-672.2,0,0
500,1,1,e,740,284.1,290.0,-687.3,0,0
500,1,1,e,750,277.6,280.1,-689.3,0,0
500,1,1,e,760,269.4,281.8,-720.4,0,0
500,1,1,e,770,263.0,294.4,-745.7,0,0
500,1,1,e,780,256.5,317.1,-747.4,0,0
500,1,1,e,790,250.0,333.6,-755.1,0,0
500,1,1,e,800,241.9,346.8,-763.3,0,0
500,1,1,e,810,233.7,352.3,-771.4,0,0
500,1,1,e,820,227.2,346.3,-771.0,0,0
500,1,1,e,830,220.7,336.4,-773.0,0,0
500,1,1,e,840,214.3,328.1,-766.0,0,0
500,1,1,e,850,206.1,327.5,-751.7,0,0
500,1,1,e,860,198.0,333.6,-777.7,0,0
500,1,1,e,870,191.5,343.5,-782.7,0,0
500,1,1,e,880,185.0,347.9,-787.6,0,0
500,1,1,e,890,176.9,341.9,-777.2,0,0
500,1,1,e,900,168.8,333.6,-797.1,0,0
500,1,1,e,910,162.3,331.9,-781.1,0,0
500,1,1,e,920,154.2,339.7,-779.0,0,0
500,1,1,e,930,146.1,343.0,-804.0,0,0
500,1,1,e,940,139.6,356.2,-805.8,0,0
500,1,1,e,950,133.1,361.7,-797.1,0,0
500,1,1,e,960,125.0,357.9,-796.3,0,0
500,1,1,e,970,116.9,346.3,-804.3,0,0
500,1,1,e,980,110.4,340.2,-785.2,0,0
500,1,1,e,990,102.3,339.7,-770.9,0,0
500,1,1,e,1000,94.1,344.1,-779.2,0,0
500,1,1,e,1010,87.7,352.3,-792.7,0,0
500,1,1,e,1020,79.5,357.9,-777.5,0,0
500,1,1,e,1030,73.0,358.4,-795.2,0,0
500,1,1,e,1040,64.9,350.7,-821.6,0,0
500,1,1,e,1050,58.4,340.8,-811.8,0,0
500,1,1,e,1060,50.3,324.2,-790.6,0,0
500,1,1,e,1070,42.2,319.8,-816.5,0,0
500,1,1,e,1080,35.7,327.5,-816.6,0,0
500,1,1,e,1090,27.6,339.7,-788.4,0,0
500,1,1,e,1100,19.5,354.0,-795.5,0,0
500,1,1,e,1110,13.0,357.3,-798.1,0,0
500,1,1,e,1120,4.9,352.3,-789.1,0,0
500,1,1,e,1130,-3.2,345.2,-804.1,0,0
500,1,1,e,1140,-9.7,339.7,-818.9,0,0
500,1,1,e,1150,-16.2,328.1,-773.9,0,0
500,1,1,e,1160,-22.7,310.4,-721.4,0,0
500,1,1,e,1170,-26.0,290.0,-632.3,0,0
500,1,1,e,1180,-29.2,271.8,-484.4,0,0
500,1,1,e,1190,-29.2,257.0,-355.2,0,0
500,1,1,e,1200,-29.2,244.8,-229.1,0,0
500,1,2,c,1210,-27.6,222.8,0.0,0,0
500,1,2,c,1220,-26.0,199.6,17.3,0,0
500,1,2,c,1230,-24.3,172.6,72.9,0,0
500,1,2,c,1240,-21.1,146.7,166.8,0,0
500,1,2,c,1250,-17.9,132.3,275.3,0,0
500,1,2,c,1260,-13.0,129.6,366.5,0,0
500,1,2,c,1270,-8.1,127.4,428.7,0,0
500,1,2,c,1280,-3.2,121.3,494.1,0,0
500,1,2,c,1290,1.6,112.5,548.5,0,0
500,1,2,c,1300,8.1,105.3,572.3,0,0
500,1,2,c,1310,14.6,115.2,617.1,0,0
500,1,2,c,1320,21.1,136.2,641.8,0,0
500,1,2,c,1330,27.6,160.5,660.8,0,0
500,1,2,c,1340,34.1,178.1,682.5,0,0
500,1,2,c,1350,40.6,187.5,701.1,0,0
500,1,2,c,1360,48.7,192.4,738.2,0,0
500,1,2,c,1370,55.2,193.5,767.8,0,0
500,1,2,c,1380,63.3,195.2,774.6,0,0
500,1,2,c,1390,69.8,198.5,803.7,0,0
500,1,2,c,1400,77.9,202.4,822.2,0,0
500,1,2,c,1410,86.0,205.1,816.7,0,0
500,1,2,c,1420,94.1,206.8,829.4,0,0
500,1,2,c,1430,100.6,211.2,834.8,0,0
500,1,2,c,1440,108.8,211.2,808.9,0,0
500,1,2,c,1450,116.9,210.1,825.9,0,0
500,1,2,c,1460,125.0,209.5,826.0,0,0
500,1,2,c,1470,133.1,210.6,811.1,0,0
500,1,2,c,1480,139.6,213.4,837.3,0,0
500,1,2,c,1490,147.7,212.3,796.5,0,0
500,1,2,c,1500,154.2,211.7,819.9,0,0
500,1,2,c,1510,162.3,210.1,828.3,0,0
500,1,2,c,1520,170.4,210.6,806.6,0,0
500,1,2,c,1530,178.5,212.3,812.5,0,0
500,1,2,c,1540,185.0,213.4,811.7,0,0
500,1,2,c,1550,191.5,207.9,787.3,0,0
500,1,2,c,1560,201.3,207.9,815.0,0,0
