Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
657,1,1,c,0.01,0,3.63,0,0,0
657,1,1,c,0.02,0,3.34,0,0,0
657,1,1,c,0.03,0.18,3.34,0,0,0
657,1,1,c,0.04,0.55,3.69,2.04,0,0
657,1,1,c,0.05,0.73,4.63,11.88,0,0
657,1,1,c,0.06,1.28,5.8,25.12,0,0
657,1,1,c,0.07,1.65,7.26,40.32,0,0
657,1,1,c,0.08,2.2,8.85,46.49,0,0
657,1,1,c,0.09,2.75,9.9,55.92,0,0
657,1,1,c,0.1,3.48,10.66,61.73,0,0
657,1,1,c,0.11,4.03,11.01,64.77,0,0
657,1,1,c,0.12,4.76,11.31,67.46,0,0
657,1,1,c,0.13,5.5,11.89,70.02,0,0
657,1,1,c,0.14,6.23,12.6,70.36,0,0
657,1,1,c,0.15,6.78,13.12,72.82,0,0
657,1,1,c,0.16,7.51,13.24,74.8,0,0
657,1,1,c,0.17,8.43,13.18,78.47,0,0
657,1,1,c,0.18,9.16,13.01,78.46,0,0
657,1,1,c,0.19,9.71,13.18,79.66,0,0
657,1,1,c,0.2,10.63,13.77,78.48,0,0
657,1,1,c,0.21,11.36,14.24,77.22,0,0
657,1,1,c,0.22,12.28,14.41,80.54,0,0
657,1,1,c,0.23,13.01,14.47,81.76,0,0
657,1,1,c,0.24,13.74,14.41,81.13,0,0
657,1,1,c,0.25,14.66,14.35,84.1,0,0
657,1,1,c,0.26,15.41,14.41,83.03,0,0
657,1,1,c,0.27,16.13,14.53,86.01,0,0
657,1,1,c,0.28,17.04,14.59,83.55,0,0
657,1,1,c,0.29,17.78,14.35,84.78,0,0
657,1,1,c,0.3,18.51,14.24,82.1,0,0
657,1,1,c,0.31,19.43,14,80.73,0,0
657,1,1,c,0.32,20.16,13.88,82.46,0,0
657,1,1,c,0.33,20.71,14.24,80.03,0,0
657,1,1,c,0.34,21.62,15.41,80.15,0,0
657,1,1,c,0.35,22.17,17.34,70.41,0,0
657,1,1,c,0.36,22.36,18.51,58.76,0,0
657,1,1,c,0.37,22.54,19.22,41.43,0,0
657,1,1,c,0.38,22.54,18.1,28.31,0,0
657,1,1,e,0.39,22.36,18.4,0,0,0
657,1,1,e,0.4,22.17,20.33,-2.32,0,0
657,1,1,e,0.41,21.81,21.68,-8.4,0,0
657,1,1,e,0.42,21.62,21.5,-19.04,0,0
657,1,1,e,0.43,21.07,21.62,-30.02,0,0
657,1,1,e,0.44,20.71,21.56,-41.8,0,0
657,1,1,e,0.45,20.16,21.62,-45.37,0,0
657,1,1,e,0.46,19.61,21.62,-53.36,0,0
657,1,1,e,0.47,19.06,21.85,-56.62,0,0
657,1,1,e,0.48,18.51,22.03,-61.39,0,0
657,1,1,e,0.49,17.96,22.2,-63.82,0,0
657,1,1,e,0.5,17.23,21.97,-64.17,0,0
657,1,1,e,0.51,16.68,21.97,-65.88,0,0
657,1,1,e,0.52,15.94,22.73,-69.43,0,0
657,1,1,e,0.53,15.21,23.73,-72.71,0,0
657,1,1,e,0.54,14.48,24.61,-74.09,0,0
657,1,1,e,0.55,13.93,24.9,-73.54,0,0
657,1,1,e,0.56,13.01,25.02,-73.01,0,0
657,1,1,e,0.57,12.28,25.66,-73.04,0,0
657,1,1,e,0.58,11.55,26.54,-73.22,0,0
657,1,1,e,0.59,10.81,27.54,-76.06,0,0
657,1,1,e,0.6,10.08,28.18,-77.09,0,0
657,1,1,e,0.61,9.35,28.53,-77.16,0,0
657,1,1,e,0.62,8.61,28.47,-78.52,0,0
657,1,1,e,0.63,7.88,28.53,-77.99,0,0
657,1,1,e,0.64,7.33,28.65,-77.34,0,0
657,1,1,e,0.65,6.41,29.29,-78.84,0,0
657,1,1,e,0.66,5.68,29.88,-77.15,0,0
657,1,1,e,0.67,4.95,30.64,-76.96,0,0
657,1,1,e,0.68,4.21,31.23,-79.63,0,0
657,1,1,e,0.69,3.48,31.81,-79.39,0,0
657,1,1,e,0.7,2.75,32.16,-77.98,0,0
657,1,1,e,0.71,2.02,32.98,-81.81,0,0
657,1,1,e,0.72,1.28,33.69,-79.34,0,0
657,1,1,e,0.73,0.55,34.1,-79.99,0,0
657,1,1,e,0.74,-0.18,33.28,-79.05,0,0
657,1,1,e,0.75,-0.92,34.57,-77.52,0,0
657,1,1,e,0.76,-1.65,34.21,-73.78,0,0
657,1,1,e,0.77,-2.2,32.87,-66.72,0,0
657,1,1,e,0.78,-2.57,30.87,-57.26,0,0
657,1,1,e,0.79,-2.75,28.59,-43.62,0,0
657,1,1,e,0.8,-2.75,27.24,-30.43,0,0
657,1,2,c,0.81,-2.57,25.84,0,0,0
657,1,2,c,0.82,-2.38,25.02,0.47,0,0
657,1,2,c,0.83,-2.38,23.38,5.22,0,0
657,1,2,c,0.84,-2.02,21.68,16.36,0,0
657,1,2,c,0.85,-1.47,20.62,27.11,0,0
657,1,2,c,0.86,-1.1,19.63,35.91,0,0
657,1,2,c,0.87,-0.73,19.1,42.47,0,0
657,1,2,c,0.88,0,18.81,49.79,0,0
657,1,2,c,0.89,0.55,18.28,56.51,0,0
657,1,2,c,0.9,1.1,17.69,59.17,0,0
657,1,2,c,0.91,1.83,17.34,63,0,0
657,1,2,c,0.92,2.38,17.11,68.19,0,0
657,1,2,c,0.93,3.12,16.93,70.55,0,0
657,1,2,c,0.94,3.85,16.76,74.81,0,0
657,1,2,c,0.95,4.58,16.7,75.4,0,0
657,1,2,c,0.96,5.31,16.35,76.21,0,0
657,1,2,c,0.97,6.05,16.11,76.1,0,0
657,1,2,c,0.98,6.78,15.94,80.79,0,0
657,1,2,c,0.99,7.51,15.7,79.72,0,0
657,1,2,c,1,8.43,15.58,80.92,0,0
657,1,2,c,1.01,9.16,14.94,80.82,0,0
657,1,2,c,1.02,9.9,14.82,79.82,0,0
657,1,2,c,1.03,10.81,14.88,81.48,0,0
657,1,2,c,1.04,11.55,14.82,80.53,0,0
657,1,2,c,1.05,12.28,14.71,83.64,0,0
657,1,2,c,1.06,13.01,14.59,82.83,0,0
657,1,2,c,1.07,13.74,14.47,82.29,0,0
657,1,2,c,1.08,14.48,14.18,83.81,0,0
657,1,2,c,1.09,15.39,14.18,81.21,0,0
657,1,2,c,1.1,16.13,13.94,82.39,0,0
657,1,2,c,1.11,16.86,13.94,80.64,0,0
657,1,2,c,1.12,17.78,13.71,81.51,0,0
657,1,2,c,1.13,18.51,13.47,79.64,0,0
657,1,2,c,1.14,19.24,13.12,78.52,0,0
657,1,2,c,1.15,19.98,13.01,80.19,0,0
657,1,2,c,1.16,20.71,12.89,78.42,0,0
657,1,2,c,1.17,21.44,13.65,78.1,0,0
657,1,2,c,1.18,21.81,15.82,73.7,0,0
657,1,2,c,1.19,22.17,16.99,63.41,0,0
657,1,2,c,1.2,22.36,17.63,44.79,0,0
657,1,2,c,1.21,22.36,17.81,28.99,0,0
657,1,2,e,1.22,22.17,16.64,0,0,0
657,1,2,e,1.23,22.17,17.99,0,0,0
657,1,2,e,1.24,21.81,19.8,-6.64,0,0
657,1,2,e,1.25,21.44,19.74,-15.02,0,0
657,1,2,e,1.26,21.07,19.86,-27.21,0,0
657,1,2,e,1.27,20.71,20.86,-40.35,0,0
657,1,2,e,1.28,20.16,21.38,-45.65,0,0
657,1,2,e,1.29,19.61,21.79,-54.06,0,0
657,1,2,e,1.3,19.06,22.79,-54.11,0,0
657,1,2,e,1.31,18.51,23.14,-61.12,0,0
657,1,2,e,1.32,17.78,23.38,-62.19,0,0
657,1,2,e,1.33,17.23,23.79,-64,0,0
657,1,2,e,1.34,16.49,24.08,-64.73,0,0
657,1,2,e,1.35,15.94,24.14,-68.57,0,0
657,1,2,e,1.36,15.21,24.61,-71.42,0,0
657,1,2,e,1.37,14.48,25.07,-72.24,0,0
657,1,2,e,1.38,13.74,24.78,-73.08,0,0
657,1,2,e,1.39,13.01,24.61,-72.81,0,0
657,1,2,e,1.4,12.28,25.43,-73.22,0,0
657,1,2,e,1.41,11.55,26.42,-73.53,0,0
657,1,2,e,1.42,10.81,27.3,-76.39,0,0
657,1,2,e,1.43,10.08,28.06,-77.25,0,0
657,1,2,e,1.44,9.35,28.53,-77.15,0,0
657,1,2,e,1.45,8.61,28.24,-78.43,0,0
657,1,2,e,1.46,8.06,28,-77.85,0,0
657,1,2,e,1.47,7.15,27.71,-77.09,0,0
657,1,2,e,1.48,6.41,28,-80.92,0,0
657,1,2,e,1.49,5.68,28.59,-79.66,0,0
657,1,2,e,1.5,4.95,29.23,-80.08,0,0
657,1,2,e,1.51,4.21,29.76,-82.43,0,0
657,1,2,e,1.52,3.48,30.29,-79.72,0,0
657,1,2,e,1.53,2.75,30.52,-80.4,0,0
657,1,2,e,1.54,2.02,31.11,-83.55,0,0
657,1,2,e,1.55,1.28,31.46,-81.42,0,0
657,1,2,e,1.56,0.55,31.81,-79.71,0,0
657,1,2,e,1.57,-0.18,30.35,-79.81,0,0
657,1,2,e,1.58,-0.92,31.64,-78.81,0,0
657,1,2,e,1.59,-1.65,31.17,-75.89,0,0
657,1,2,e,1.6,-2.02,29.82,-69.2,0,0
657,1,2,e,1.61,-2.38,27.42,-59.14,0,0
657,1,2,e,1.62,-2.57,24.55,-42.93,0,0
657,1,2,e,1.63,-2.57,22.38,-28.42,0,0
657,1,2,e,1.64,-2.57,21.09,-15.68,0,0
657,1,3,c,1.65,-2.38,20.68,0,0,0
657,1,3,c,1.66,-2.02,19.86,4.5,0,0
657,1,3,c,1.67,-1.83,18.98,14.02,0,0
657,1,3,c,1.68,-1.47,18.04,26.99,0,0
657,1,3,c,1.69,-0.92,17.28,42.88,0,0
657,1,3,c,1.7,-0.37,16.35,47.38,0,0
657,1,3,c,1.71,0.18,15.76,55.27,0,0
657,1,3,c,1.72,0.73,15.35,57.07,0,0
657,1,3,c,1.73,1.47,15.06,60.99,0,0
657,1,3,c,1.74,2.02,14.76,63.94,0,0
657,1,3,c,1.75,2.57,14.06,65.88,0,0
657,1,3,c,1.76,3.48,13.65,68.43,0,0
657,1,3,c,1.77,4.21,13.42,71.69,0,0
657,1,3,c,1.78,4.76,13.36,73.99,0,0
657,1,3,c,1.79,5.68,13.36,75.86,0,0
657,1,3,c,1.8,6.23,13.36,75.82,0,0
657,1,3,c,1.81,6.96,13.06,76.04,0,0
