Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
664,1,1,c,0.01,0,3.28,0,0,0
664,1,1,c,0.02,0,2.93,0,0,0
664,1,1,c,0.03,0.18,2.23,0,0,0
664,1,1,c,0.04,0.37,2.17,0,0,0
664,1,1,c,0.05,0.73,2.4,11.6,0,0
664,1,1,c,0.06,1.28,2.46,22.9,0,0
664,1,1,c,0.07,1.65,2.4,36.64,0,0
664,1,1,c,0.08,2.2,2.69,45.99,0,0
664,1,1,c,0.09,2.75,2.93,52.01,0,0
664,1,1,c,0.1,3.48,3.11,58.49,0,0
664,1,1,c,0.11,4.03,2.99,64.56,0,0
664,1,1,c,0.12,4.76,2.75,67.27,0,0
664,1,1,c,0.13,5.31,2.23,69.37,0,0
664,1,1,c,0.14,6.05,1.93,69.82,0,0
664,1,1,c,0.15,6.78,1.87,71.82,0,0
664,1,1,c,0.16,7.51,1.99,73.13,0,0
664,1,1,c,0.17,8.25,2.05,74.38,0,0
664,1,1,c,0.18,8.98,1.99,75.38,0,0
664,1,1,c,0.19,9.71,1.99,75.14,0,0
664,1,1,c,0.2,10.45,1.93,76.11,0,0
664,1,1,c,0.21,11.18,1.93,76.63,0,0
664,1,1,c,0.22,11.91,1.87,76.51,0,0
664,1,1,c,0.23,12.64,1.76,76.51,0,0
664,1,1,c,0.24,13.38,1.82,79.82,0,0
664,1,1,c,0.25,14.11,1.87,78.2,0,0
664,1,1,c,0.26,14.84,1.82,80.54,0,0
664,1,1,c,0.27,15.58,1.82,78.83,0,0
664,1,1,c,0.28,16.49,1.76,78.2,0,0
664,1,1,c,0.29,17.23,1.64,79.98,0,0
664,1,1,c,0.3,17.96,1.7,78.43,0,0
664,1,1,c,0.31,18.69,1.93,79,0,0
664,1,1,c,0.32,19.43,2.05,80.55,0,0
664,1,1,c,0.33,20.16,2.05,79.15,0,0
664,1,1,c,0.34,20.89,2.05,79.3,0,0
664,1,1,c,0.35,21.62,1.99,80.27,0,0
664,1,1,c,0.36,22.36,1.93,79.19,0,0
664,1,1,c,0.37,23.27,1.76,79.48,0,0
664,1,1,c,0.38,23.82,2.34,76.73,0,0
664,1,1,c,0.39,24.37,3.57,68.37,0,0
664,1,1,c,0.4,24.56,5.1,54.76,0,0
664,1,1,c,0.41,24.56,6.62,37.6,0,0
664,1,1,c,0.42,24.56,6.8,21.99,0,0
664,1,1,c,0.43,24.56,6.5,11.71,0,0
664,1,1,e,0.44,24.37,7.44,0,0,0
664,1,1,e,0.45,24.01,8.61,-7.36,0,0
664,1,1,e,0.46,23.64,9.14,-18.01,0,0
664,1,1,e,0.47,23.27,9.55,-32.13,0,0
664,1,1,e,0.48,22.72,10.31,-41.67,0,0
664,1,1,e,0.49,22.17,10.84,-50.04,0,0
664,1,1,e,0.5,21.62,11.07,-53.93,0,0
