Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
685,1,1,c,10,0.0,33.6,-0.0,0,0
685,1,1,c,20,0.0,32.5,-0.0,0,0
685,1,1,c,30,1.6,27.6,0.0,0,0
685,1,1,c,40,3.2,28.7,0.0,0,0
685,1,1,c,50,6.5,28.1,92.7,0,0
685,1,1,c,60,9.7,30.3,205.1,0,0
685,1,1,c,70,14.6,30.3,339.9,0,0
685,1,1,c,80,19.5,30.9,442.4,0,0
685,1,1,c,90,26.0,32.5,492.2,0,0
685,1,1,c,100,30.8,35.3,533.8,0,0
685,1,1,c,110,37.3,38.0,587.6,0,0
685,1,1,c,120,42.2,40.3,635.2,0,0
685,1,1,c,130,48.7,40.8,660.4,0,0
685,1,1,c,140,55.2,41.4,673.8,0,0
685,1,1,c,150,61.7,41.4,681.2,0,0
685,1,1,c,160,69.8,41.4,703.5,0,0
685,1,1,c,170,76.3,39.7,726.2,0,0
685,1,1,c,180,82.8,37.5,729.4,0,0
685,1,1,c,190,90.9,37.5,737.9,0,0
685,1,1,c,200,97.4,41.4,731.3,0,0
685,1,1,c,210,105.5,40.8,749.0,0,0
685,1,1,c,220,112.0,40.8,764.0,0,0
685,1,1,c,230,120.1,41.9,809.8,0,0
685,1,1,c,240,126.6,40.3,802.0,0,0
685,1,1,c,250,134.7,40.3,794.2,0,0
685,1,1,c,260,141.2,40.3,819.9,0,0
685,1,1,c,270,149.3,39.7,806.1,0,0
685,1,1,c,280,155.8,39.7,792.4,0,0
685,1,1,c,290,163.9,40.8,796.5,0,0
685,1,1,c,300,172.1,41.4,817.2,0,0
685,1,1,c,310,178.5,43.6,803.7,0,0
685,1,1,c,320,186.7,43.0,788.6,0,0
685,1,1,c,330,194.8,41.9,816.3,0,0
685,1,1,c,340,201.3,40.8,819.0,0,0
685,1,1,c,350,209.4,41.4,810.3,0,0
685,1,1,c,360,217.5,41.9,802.7,0,0
685,1,1,c,370,224.0,41.9,814.3,0,0
685,1,1,c,380,230.5,41.9,788.1,0,0
685,1,1,c,390,238.6,41.4,772.0,0,0
685,1,1,c,400,246.7,41.4,780.5,0,0
685,1,1,c,410,253.2,41.4,789.2,0,0
685,1,1,c,420,261.3,43.0,792.0,0,0
685,1,1,c,430,267.8,44.1,793.0,0,0
685,1,1,c,440,275.9,46.9,787.5,0,0
685,1,1,c,450,280.8,54.6,710.5,0,0
685,1,1,c,460,284.1,67.8,599.1,0,0
685,1,1,c,470,285.7,77.7,477.0,0,0
685,1,1,c,480,285.7,83.3,299.5,0,0
685,1,1,c,490,285.7,82.2,176.2,0,0
685,1,1,c,500,285.7,81.6,81.7,0,0
685,1,1,e,510,282.4,91.0,-16.9,0,0
685,1,1,e,520,280.8,100.4,-88.8,0,0
685,1,1,e,530,275.9,112.5,-200.4,0,0
685,1,1,e,540,272.7,122.4,-337.0,0,0
685,1,1,e,550,269.4,126.3,-394.8,0,0
685,1,1,e,560,263.0,124.6,-457.4,0,0
685,1,1,e,570,258.1,120.8,-514.8,0,0
685,1,1,e,580,253.2,119.7,-562.3,0,0
685,1,1,e,590,246.7,119.7,-593.6,0,0
685,1,1,e,600,240.2,121.3,-616.2,0,0
685,1,1,e,610,233.7,120.2,-649.2,0,0
685,1,1,e,620,227.2,115.2,-679.2,0,0
685,1,1,e,630,220.7,121.9,-692.6,0,0
685,1,1,e,640,214.3,126.8,-711.1,0,0
685,1,1,e,650,207.8,129.0,-728.7,0,0
685,1,1,e,660,201.3,129.6,-726.1,0,0
685,1,1,e,670,194.8,131.2,-742.3,0,0
685,1,1,e,680,186.7,130.1,-755.4,0,0
685,1,1,e,690,180.2,131.8,-750.4,0,0
685,1,1,e,700,172.1,132.3,-747.5,0,0
685,1,1,e,710,165.6,137.9,-746.0,0,0
685,1,1,e,720,159.1,138.4,-749.0,0,0
685,1,1,e,730,151.0,141.2,-764.2,0,0
685,1,1,e,740,142.8,139.5,-795.7,0,0
685,1,1,e,750,136.3,138.4,-803.6,0,0
685,1,1,e,760,129.9,135.6,-794.6,0,0
685,1,1,e,770,121.7,136.2,-780.4,0,0
685,1,1,e,780,113.6,140.6,-808.7,0,0
685,1,1,e,790,107.1,143.4,-802.4,0,0
685,1,1,e,800,99.0,144.5,-796.9,0,0
685,1,1,e,810,92.5,141.7,-781.4,0,0
685,1,1,e,820,84.4,138.4,-803.5,0,0
685,1,1,e,830,77.9,139.5,-793.7,0,0
685,1,1,e,840,71.4,140.1,-778.0,0,0
685,1,1,e,850,61.7,145.6,-802.5,0,0
685,1,1,e,860,55.2,147.8,-795.5,0,0
685,1,1,e,870,47.1,145.0,-781.6,0,0
685,1,1,e,880,40.6,146.7,-779.3,0,0
