Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
692,1,1,c,10,0.0,45.0,0.0,0,0
692,1,1,c,20,0.0,45.0,0.0,0,0
692,1,1,c,30,1.8,40.2,0.0,0,0
692,1,1,c,40,3.7,35.4,0.0,0,0
692,1,1,c,50,7.3,34.8,81.7,0,0
692,1,1,c,60,11.0,37.0,213.3,0,0
692,1,1,c,70,16.5,43.4,358.4,0,0
692,1,1,c,80,22.0,50.9,486.8,0,0
692,1,1,c,90,27.5,56.8,542.2,0,0
692,1,1,c,100,33.0,61.6,602.4,0,0
692,1,1,c,110,40.3,62.1,656.9,0,0
692,1,1,c,120,47.6,61.1,683.6,0,0
692,1,1,c,130,55.0,56.8,716.2,0,0
692,1,1,c,140,62.3,55.2,740.7,0,0
692,1,1,c,150,69.6,54.1,755.2,0,0
692,1,1,c,160,77.0,53.6,768.3,0,0
692,1,1,c,170,84.3,54.1,763.7,0,0
692,1,1,c,180,91.6,54.1,764.5,0,0
692,1,1,c,190,99.0,54.1,770.2,0,0
692,1,1,c,200,106.3,54.6,775.3,0,0
692,1,1,c,210,113.6,55.2,793.7,0,0
692,1,1,c,220,121.0,55.2,814.8,0,0
692,1,1,c,230,128.3,54.1,810.6,0,0
692,1,1,c,240,135.6,50.9,803.8,0,0
692,1,1,c,250,142.9,49.8,806.7,0,0
692,1,1,c,260,150.3,52.0,797.1,0,0
692,1,1,c,270,159.4,54.1,799.4,0,0
692,1,1,c,280,166.8,55.2,796.6,0,0
692,1,1,c,290,174.1,54.6,794.6,0,0
692,1,1,c,300,181.4,53.0,790.7,0,0
692,1,1,c,310,188.8,50.4,772.6,0,0
692,1,1,c,320,197.9,48.2,788.8,0,0
692,1,1,c,330,205.3,47.1,786.5,0,0
692,1,1,c,340,212.6,47.7,793.8,0,0
692,1,1,c,350,219.9,47.7,816.0,0,0
692,1,1,c,360,227.2,48.2,808.5,0,0
692,1,1,c,370,234.6,46.1,812.4,0,0
692,1,1,c,380,241.9,43.4,812.7,0,0
692,1,1,c,390,251.1,40.7,800.6,0,0
692,1,1,c,400,258.4,38.6,791.5,0,0
692,1,1,c,410,265.7,35.9,790.3,0,0
692,1,1,c,420,273.1,34.8,790.1,0,0
692,1,1,c,430,280.4,32.7,796.5,0,0
692,1,1,c,440,287.7,30.0,795.4,0,0
692,1,1,c,450,295.0,29.5,768.7,0,0
692,1,1,c,460,300.5,34.3,716.8,0,0
692,1,1,c,470,304.2,43.9,577.1,0,0
692,1,1,c,480,304.2,54.1,430.9,0,0
692,1,1,c,490,304.2,61.6,272.6,0,0
692,1,1,c,500,304.2,62.1,158.7,0,0
692,1,1,e,510,302.4,68.6,-6.1,0,0
692,1,1,e,520,298.7,77.1,-68.9,0,0
692,1,1,e,530,295.0,84.1,-173.7,0,0
692,1,1,e,540,291.4,87.3,-300.8,0,0
692,1,1,e,550,285.9,91.6,-409.1,0,0
692,1,1,e,560,280.4,94.3,-484.9,0,0
692,1,1,e,570,274.9,104.5,-543.7,0,0
692,1,1,e,580,269.4,110.9,-596.5,0,0
692,1,1,e,590,263.9,116.8,-616.7,0,0
692,1,1,e,600,256.6,118.9,-665.6,0,0
692,1,1,e,610,249.2,120.0,-660.5,0,0
692,1,1,e,620,243.7,120.5,-692.3,0,0
692,1,1,e,630,236.4,125.4,-721.6,0,0
692,1,1,e,640,230.9,131.3,-735.0,0,0
692,1,1,e,650,223.6,132.9,-739.4,0,0
692,1,1,e,660,216.2,134.5,-736.1,0,0
692,1,1,e,670,208.9,138.8,-748.8,0,0
692,1,1,e,680,201.6,140.4,-771.5,0,0
692,1,1,e,690,194.3,142.5,-786.9,0,0
692,1,1,e,700,186.9,142.0,-788.1,0,0
692,1,1,e,710,179.6,143.6,-783.9,0,0
692,1,1,e,720,172.3,146.8,-799.6,0,0
692,1,1,e,730,164.9,147.9,-785.4,0,0
