Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
694,1,1,c,10,0.0,39.1,0.0,0,0
694,1,1,c,20,0.0,43.9,0.0,0,0
694,1,1,c,30,1.8,48.2,0.0,0,0
694,1,1,c,40,3.7,48.8,0.0,0,0
694,1,1,c,50,7.3,48.2,107.9,0,0
694,1,1,c,60,12.8,50.4,236.4,0,0
694,1,1,c,70,16.5,52.0,383.4,0,0
694,1,1,c,80,22.0,54.1,491.7,0,0
694,1,1,c,90,29.3,56.3,544.0,0,0
694,1,1,c,100,34.8,62.7,601.6,0,0
694,1,1,c,110,40.3,68.0,644.5,0,0
694,1,1,c,120,47.6,73.9,687.3,0,0
694,1,1,c,130,55.0,72.9,704.5,0,0
694,1,1,c,140,62.3,71.8,726.2,0,0
694,1,1,c,150,69.6,68.0,738.6,0,0
694,1,1,c,160,77.0,65.4,754.4,0,0
694,1,1,c,170,84.3,65.4,750.9,0,0
694,1,1,c,180,91.6,67.0,759.4,0,0
694,1,1,c,190,99.0,68.0,791.4,0,0
694,1,1,c,200,106.3,70.7,799.0,0,0
694,1,1,c,210,113.6,72.3,790.4,0,0
694,1,1,c,220,121.0,73.9,808.5,0,0
694,1,1,c,230,128.3,75.0,803.7,0,0
694,1,1,c,240,135.6,73.9,803.6,0,0
694,1,1,c,250,144.8,73.9,807.8,0,0
694,1,1,c,260,152.1,74.5,790.2,0,0
694,1,1,c,270,159.4,76.1,808.5,0,0
694,1,1,c,280,166.8,78.2,788.2,0,0
694,1,1,c,290,175.9,80.9,810.2,0,0
694,1,1,c,300,183.3,83.0,803.9,0,0
694,1,1,c,310,190.6,83.0,815.1,0,0
694,1,1,c,320,197.9,83.0,820.1,0,0
694,1,1,c,330,205.3,84.1,807.2,0,0
694,1,1,c,340,212.6,84.1,806.0,0,0
694,1,1,c,350,221.7,84.1,821.9,0,0
694,1,1,c,360,229.1,83.6,817.5,0,0
694,1,1,c,370,236.4,82.0,807.4,0,0
694,1,1,c,380,243.7,80.4,791.3,0,0
694,1,1,c,390,251.1,79.8,778.0,0,0
694,1,1,c,400,260.2,75.5,797.1,0,0
694,1,1,c,410,267.6,68.0,792.8,0,0
694,1,1,c,420,273.1,62.1,772.5,0,0
694,1,1,c,430,278.6,62.1,720.8,0,0
694,1,1,c,440,282.2,65.9,587.3,0,0
694,1,1,c,450,282.2,72.9,420.7,0,0
694,1,1,c,460,282.2,80.4,258.2,0,0
694,1,1,c,470,282.2,86.3,142.7,0,0
694,1,1,e,480,280.4,93.8,0.0,0,0
694,1,1,e,490,276.7,105.5,-59.4,0,0
694,1,1,e,500,274.9,117.9,-162.7,0,0
694,1,1,e,510,269.4,124.8,-293.4,0,0
694,1,1,e,520,263.9,129.1,-398.3,0,0
694,1,1,e,530,260.2,131.8,-482.4,0,0
694,1,1,e,540,254.7,133.4,-524.1,0,0
694,1,1,e,550,247.4,135.5,-587.5,0,0
694,1,1,e,560,241.9,137.7,-614.9,0,0
694,1,1,e,570,236.4,140.4,-644.3,0,0
694,1,1,e,580,227.2,142.0,-653.3,0,0
694,1,1,e,590,221.7,146.3,-691.0,0,0
694,1,1,e,600,214.4,148.4,-721.0,0,0
694,1,1,e,610,207.1,152.1,-733.6,0,0
694,1,1,e,620,199.8,153.2,-739.5,0,0
694,1,1,e,630,194.3,153.8,-743.8,0,0
694,1,1,e,640,186.9,155.9,-763.4,0,0
694,1,1,e,650,177.8,157.0,-785.1,0,0
694,1,1,e,660,170.4,159.1,-788.8,0,0
694,1,1,e,670,163.1,161.3,-794.8,0,0
694,1,1,e,680,155.8,160.2,-791.2,0,0
694,1,1,e,690,148.4,150.5,-782.5,0,0
694,1,1,e,700,141.1,138.8,-778.2,0,0
694,1,1,e,710,133.8,130.7,-781.2,0,0
