Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
695,1,1,c,10,1.6,32.5,0.0,0,0
695,1,1,c,20,1.6,31.4,0.0,0,0
695,1,1,c,30,1.6,25.4,0.0,0,0
695,1,1,c,40,4.9,22.6,25.9,0,0
695,1,1,c,50,8.1,22.6,106.1,0,0
695,1,1,c,60,11.4,23.7,214.5,0,0
695,1,1,c,70,14.6,25.9,340.1,0,0
695,1,1,c,80,19.5,28.1,414.3,0,0
695,1,1,c,90,24.3,30.9,482.1,0,0
695,1,1,c,100,29.2,32.5,514.3,0,0
695,1,1,c,110,35.7,33.6,548.8,0,0
695,1,1,c,120,40.6,34.2,602.7,0,0
695,1,1,c,130,47.1,33.6,627.0,0,0
695,1,1,c,140,53.6,32.0,648.2,0,0
695,1,1,c,150,60.1,32.5,674.6,0,0
695,1,1,c,160,66.5,38.0,696.2,0,0
695,1,1,c,170,74.7,39.7,712.4,0,0
695,1,1,c,180,81.2,41.4,722.0,0,0
695,1,1,c,190,89.3,43.0,749.6,0,0
695,1,1,c,200,95.8,43.0,762.3,0,0
695,1,1,c,210,102.3,44.7,763.2,0,0
695,1,1,c,220,110.4,47.4,760.5,0,0
695,1,1,c,230,118.5,49.6,782.8,0,0
695,1,1,c,240,125.0,50.2,779.6,0,0
695,1,1,c,250,131.5,51.3,777.6,0,0
695,1,1,c,260,139.6,52.9,789.8,0,0
695,1,1,c,270,147.7,53.5,824.2,0,0
695,1,1,c,280,154.2,57.9,805.9,0,0
695,1,1,c,290,162.3,60.1,783.9,0,0
695,1,1,c,300,170.4,61.2,800.2,0,0
695,1,1,c,310,176.9,60.7,797.7,0,0
695,1,1,c,320,185.0,60.7,789.5,0,0
695,1,1,c,330,193.2,60.1,814.8,0,0
695,1,1,c,340,199.6,60.7,813.7,0,0
695,1,1,c,350,207.8,60.1,800.1,0,0
695,1,1,c,360,215.9,60.1,810.1,0,0
695,1,1,c,370,222.4,62.3,807.8,0,0
695,1,1,c,380,230.5,65.6,793.1,0,0
695,1,1,c,390,238.6,66.7,808.1,0,0
695,1,1,c,400,245.1,65.6,817.3,0,0
695,1,1,c,410,253.2,63.4,787.4,0,0
695,1,1,c,420,261.3,66.7,804.2,0,0
695,1,1,c,430,267.8,68.4,812.6,0,0
695,1,1,c,440,275.9,66.2,793.1,0,0
695,1,1,c,450,282.4,64.0,773.1,0,0
695,1,1,c,460,287.3,67.3,716.7,0,0
695,1,1,c,470,290.5,74.4,604.4,0,0
695,1,1,c,480,292.2,82.7,430.6,0,0
695,1,1,c,490,292.2,90.4,277.6,0,0
695,1,1,c,500,292.2,94.3,142.8,0,0
695,1,1,e,510,290.5,98.1,0.0,0,0
695,1,1,e,520,288.9,111.9,-14.2,0,0
695,1,1,e,530,285.7,129.6,-117.8,0,0
695,1,1,e,540,282.4,147.8,-215.6,0,0
695,1,1,e,550,277.6,164.3,-347.4,0,0
695,1,1,e,560,274.3,177.6,-405.4,0,0
695,1,1,e,570,269.4,183.1,-467.7,0,0
695,1,1,e,580,263.0,184.2,-512.8,0,0
695,1,1,e,590,258.1,186.9,-555.8,0,0
695,1,1,e,600,251.6,193.0,-582.9,0,0
695,1,1,e,610,246.7,202.9,-602.1,0,0
695,1,1,e,620,240.2,215.6,-624.7,0,0
695,1,1,e,630,233.7,227.2,-646.7,0,0
695,1,1,e,640,227.2,235.4,-659.4,0,0
695,1,1,e,650,220.7,238.8,-680.6,0,0
695,1,1,e,660,212.6,240.4,-699.3,0,0
695,1,1,e,670,206.1,237.7,-713.5,0,0
695,1,1,e,680,199.6,243.7,-746.7,0,0
695,1,1,e,690,193.2,254.2,-759.6,0,0
695,1,1,e,700,186.7,266.3,-751.1,0,0
