Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
718,1,1,c,0.01,0,3.6,0,0,0
718,1,1,c,0.02,0.18,5.72,0,0,0
718,1,1,c,0.03,0.37,4.96,0,0,0
718,1,1,c,0.04,0.55,6.81,2.34,0,0
718,1,1,c,0.05,0.92,5.45,12.72,0,0
718,1,1,c,0.06,1.28,8.23,25.04,0,0
718,1,1,c,0.07,1.83,8.23,39.74,0,0
718,1,1,c,0.08,2.2,8.83,46.43,0,0
718,1,1,c,0.09,2.93,8.18,53.2,0,0
718,1,1,c,0.1,3.67,7.96,60.06,0,0
718,1,1,c,0.11,4.21,8.45,63.2,0,0
718,1,1,c,0.12,4.76,9.43,69.03,0,0
718,1,1,c,0.13,5.5,9.1,71.21,0,0
718,1,1,c,0.14,6.23,8.89,71.42,0,0
718,1,1,c,0.15,6.96,9.05,71.91,0,0
718,1,1,c,0.16,7.7,8.99,73.91,0,0
718,1,1,c,0.17,8.43,9.32,77.6,0,0
718,1,1,c,0.18,9.16,9.05,79.64,0,0
718,1,1,c,0.19,9.9,8.56,79.46,0,0
718,1,1,c,0.2,10.63,6.76,78.52,0,0
718,1,1,c,0.21,11.36,7.14,78.56,0,0
718,1,1,c,0.22,12.1,7.2,78.67,0,0
718,1,1,c,0.23,13.01,6.92,79.5,0,0
718,1,1,c,0.24,13.74,6.6,80.64,0,0
718,1,1,c,0.25,14.48,6.54,80.1,0,0
718,1,1,c,0.26,15.21,6.38,80.43,0,0
718,1,1,c,0.27,15.94,6.32,78.78,0,0
718,1,1,c,0.28,16.86,6.6,80.31,0,0
718,1,1,c,0.29,17.59,6.05,80.93,0,0
718,1,1,c,0.3,18.33,6.38,81.43,0,0
718,1,1,c,0.31,19.06,6.54,82.55,0,0
718,1,1,c,0.32,19.79,6.7,80.86,0,0
718,1,1,c,0.33,20.53,6.6,81.01,0,0
718,1,1,c,0.34,21.26,6.65,80.49,0,0
718,1,1,c,0.35,21.99,6.38,79.79,0,0
718,1,1,c,0.36,22.72,6.43,81.9,0,0
718,1,1,c,0.37,23.64,6.27,80.99,0,0
718,1,1,c,0.38,24.37,6.32,80.73,0,0
718,1,1,c,0.39,25.11,6.65,78.37,0,0
718,1,1,c,0.4,25.84,6.87,78.59,0,0
718,1,1,c,0.41,26.57,7.09,78.32,0,0
718,1,1,c,0.42,27.49,7.58,79.08,0,0
718,1,1,c,0.43,28.22,7.36,78.78,0,0
718,1,1,c,0.44,28.96,7.2,79.35,0,0
718,1,1,c,0.45,29.69,7.14,79.57,0,0
718,1,1,c,0.46,30.42,7.3,80.79,0,0
718,1,1,c,0.47,31.15,7.25,80.94,0,0
718,1,1,c,0.48,31.89,7.41,82.14,0,0
718,1,1,c,0.49,32.62,7.52,82.03,0,0
718,1,1,c,0.5,33.35,8.83,81.11,0,0
718,1,1,c,0.51,33.9,10.63,73.27,0,0
718,1,1,c,0.52,34.27,12.1,61.62,0,0
718,1,1,c,0.53,34.45,12.81,48.61,0,0
718,1,1,c,0.54,34.45,13.03,31.59,0,0
718,1,1,c,0.55,34.45,13.46,19.29,0,0
718,1,1,e,0.56,34.27,17.72,0,0,0
718,1,1,e,0.57,33.9,22.73,-8.08,0,0
718,1,1,e,0.58,33.72,25.67,-17.44,0,0
718,1,1,e,0.59,33.35,29.16,-29.59,0,0
718,1,1,e,0.6,32.8,32.33,-36.39,0,0
718,1,1,e,0.61,32.25,33.03,-44.17,0,0
718,1,1,e,0.62,31.7,36.41,-49.16,0,0
718,1,1,e,0.63,31.15,37.29,-53.63,0,0
718,1,1,e,0.64,30.6,35.11,-60.09,0,0
718,1,1,e,0.65,30.05,36.09,-62.77,0,0
718,1,1,e,0.66,29.32,36.52,-67.01,0,0
718,1,1,e,0.67,28.59,36.85,-67.3,0,0
718,1,1,e,0.68,28.04,36.85,-68.85,0,0
718,1,1,e,0.69,27.31,36.36,-70.32,0,0
718,1,1,e,0.7,26.57,37.39,-71.52,0,0
718,1,1,e,0.71,25.84,38.32,-72.85,0,0
718,1,1,e,0.72,25.11,38.21,-75.41,0,0
718,1,1,e,0.73,24.56,38.16,-76.25,0,0
718,1,1,e,0.74,23.82,40.45,-77.05,0,0
718,1,1,e,0.75,23.09,41.32,-74.55,0,0
718,1,1,e,0.76,22.36,39.68,-74.52,0,0
718,1,1,e,0.77,21.62,40.88,-74.65,0,0
718,1,1,e,0.78,20.71,41.16,-78.25,0,0
718,1,1,e,0.79,19.98,43.66,-78.62,0,0
718,1,1,e,0.8,19.43,44.54,-79.44,0,0
718,1,1,e,0.81,18.51,45.3,-77.62,0,0
718,1,1,e,0.82,17.78,44.86,-77.9,0,0
