Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
799,1,1,c,0.01,0,4.19,0,0,0
799,1,1,c,0.02,0,5.3,0,0,0
799,1,1,c,0.03,0.18,6.52,0,0,0
799,1,1,c,0.04,0.37,8.09,5.84,0,0
799,1,1,c,0.05,0.73,9.55,15.68,0,0
799,1,1,c,0.06,1.1,10.94,28.72,0,0
799,1,1,c,0.07,1.65,11.64,38.41,0,0
799,1,1,c,0.08,2.2,11.93,47.91,0,0
799,1,1,c,0.09,2.75,12.28,51.9,0,0
799,1,1,c,0.1,3.3,12.11,59.46,0,0
799,1,1,c,0.11,4.03,11.64,63.74,0,0
799,1,1,c,0.12,4.76,10.83,65.9,0,0
799,1,1,c,0.13,5.5,10.3,67.77,0,0
799,1,1,c,0.14,6.05,9.9,71.27,0,0
799,1,1,c,0.15,6.78,10.01,72.63,0,0
799,1,1,c,0.16,7.51,10.59,75.29,0,0
799,1,1,c,0.17,8.25,10.94,76.55,0,0
799,1,1,c,0.18,8.98,10.94,77.98,0,0
799,1,1,c,0.19,9.71,11.41,78.08,0,0
799,1,1,c,0.2,10.45,11.47,79.21,0,0
799,1,1,c,0.21,11.18,11.41,77.87,0,0
799,1,1,c,0.22,11.91,11.64,79.27,0,0
799,1,1,c,0.23,12.83,12.17,79.29,0,0
799,1,1,c,0.24,13.56,12.11,79.49,0,0
799,1,1,c,0.25,14.29,12.11,81.66,0,0
799,1,1,c,0.26,15.03,11.99,80.53,0,0
799,1,1,c,0.27,15.76,11.7,80.7,0,0
799,1,1,c,0.28,16.49,11.18,83.28,0,0
799,1,1,c,0.29,17.23,10.94,82.66,0,0
799,1,1,c,0.3,17.96,10.83,82.05,0,0
799,1,1,c,0.31,18.88,10.83,80.77,0,0
799,1,1,c,0.32,19.43,10.65,79.07,0,0
799,1,1,c,0.33,20.34,11,78.49,0,0
799,1,1,c,0.34,21.07,11.06,78.53,0,0
799,1,1,c,0.35,21.99,10.65,79.49,0,0
799,1,1,c,0.36,22.72,10.42,80.66,0,0
799,1,1,c,0.37,23.46,10.07,78.82,0,0
799,1,1,c,0.38,24.19,9.9,81.46,0,0
799,1,1,c,0.39,24.92,9.72,80.36,0,0
799,1,1,c,0.4,25.66,10.01,81.77,0,0
799,1,1,c,0.41,26.39,10.01,83.12,0,0
799,1,1,c,0.42,27.12,10.07,80.76,0,0
799,1,1,c,0.43,28.04,9.84,80.78,0,0
799,1,1,c,0.44,28.77,9.72,79.83,0,0
799,1,1,c,0.45,29.5,9.66,79.2,0,0
799,1,1,c,0.46,30.24,9.49,79.42,0,0
799,1,1,c,0.47,30.97,9.43,78.63,0,0
799,1,1,c,0.48,31.89,9.37,79.52,0,0
799,1,1,c,0.49,32.44,9.43,78.92,0,0
799,1,1,c,0.5,33.35,9.31,78.68,0,0
799,1,1,c,0.51,34.09,9.31,81.78,0,0
799,1,1,c,0.52,34.82,9.55,80.41,0,0
799,1,1,c,0.53,35.55,9.6,80.52,0,0
799,1,1,c,0.54,36.29,9.37,81.68,0,0
799,1,1,c,0.55,37.02,9.31,79.75,0,0
799,1,1,c,0.56,37.75,9.26,78.43,0,0
799,1,1,c,0.57,38.48,9.31,80.26,0,0
799,1,1,c,0.58,39.22,9.02,77.93,0,0
799,1,1,c,0.59,39.77,9.95,74.17,0,0
799,1,1,c,0.6,40.13,11.53,63.52,0,0
799,1,1,c,0.61,40.32,12.75,50.14,0,0
799,1,1,c,0.62,40.32,14.96,31.56,0,0
799,1,1,c,0.63,40.32,15.95,18.57,0,0
799,1,1,e,0.64,40.13,17.35,0,0,0
799,1,1,e,0.65,39.95,20.84,-4.36,0,0
799,1,1,e,0.66,39.58,25.9,-13.46,0,0
799,1,1,e,0.67,39.22,29.92,-25.81,0,0
799,1,1,e,0.68,38.67,30.73,-35.99,0,0
799,1,1,e,0.69,38.12,31.84,-44.14,0,0
799,1,1,e,0.7,37.75,32.83,-51.37,0,0
799,1,1,e,0.71,37.02,32.71,-55.85,0,0
799,1,1,e,0.72,36.47,33.12,-60.22,0,0
799,1,1,e,0.73,35.92,33.64,-63.72,0,0
799,1,1,e,0.74,35.19,34.05,-65.46,0,0
799,1,1,e,0.75,34.64,34.63,-67.28,0,0
799,1,1,e,0.76,33.9,34.34,-69.34,0,0
799,1,1,e,0.77,33.35,33.7,-71.18,0,0
799,1,1,e,0.78,32.62,33.99,-72.19,0,0
799,1,1,e,0.79,31.89,34.87,-73,0,0
799,1,1,e,0.8,31.15,36.15,-73.94,0,0
799,1,1,e,0.81,30.42,36.61,-74.18,0,0
799,1,1,e,0.82,29.69,36.61,-74.44,0,0
799,1,1,e,0.83,28.96,36.38,-75.28,0,0
799,1,1,e,0.84,28.22,36.9,-77.53,0,0
799,1,1,e,0.85,27.49,37.37,-77.24,0,0
799,1,1,e,0.86,26.76,37.31,-77.28,0,0
799,1,1,e,0.87,26.02,37.2,-79.06,0,0
799,1,1,e,0.88,25.29,37.72,-79.82,0,0
799,1,1,e,0.89,24.56,37.95,-81.21,0,0
799,1,1,e,0.9,23.82,37.6,-80.97,0,0
799,1,1,e,0.91,23.09,37.95,-79.32,0,0
799,1,1,e,0.92,22.17,38.36,-79.36,0,0
799,1,1,e,0.93,21.44,39.41,-79.3,0,0
799,1,1,e,0.94,20.71,38.53,-78.73,0,0
799,1,1,e,0.95,19.98,36.79,-79.85,0,0
799,1,1,e,0.96,19.24,36.9,-79.64,0,0
799,1,1,e,0.97,18.51,37.14,-79.68,0,0
799,1,1,e,0.98,17.78,39.06,-78.16,0,0
799,1,1,e,0.99,16.86,41.15,-77.89,0,0
799,1,1,e,1,16.13,41.1,-78.97,0,0
799,1,1,e,1.01,15.39,40.98,-79.78,0,0
799,1,1,e,1.02,14.66,42.55,-77.76,0,0
799,1,1,e,1.03,13.93,43.66,-79.5,0,0
799,1,1,e,1.04,13.19,46.1,-79.23,0,0
799,1,1,e,1.05,12.46,47.09,-80.38,0,0
799,1,1,e,1.06,11.73,45.93,-81.2,0,0
799,1,1,e,1.07,11,45.93,-79.1,0,0
799,1,1,e,1.08,10.26,46.28,-78.9,0,0
799,1,1,e,1.09,9.53,47.38,-80.4,0,0
