Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (kg),Velocidad (cm/s),Trigger,Nota
799,1,1,-,0.01,0,3.09,0,0,0
799,1,1,-,0.02,0,3.14,0,0,0
799,1,1,-,0.03,0,3.25,0,0,0
799,1,1,-,0.04,0,3.3,0,0,0
799,1,1,-,0.05,0,3.36,0,0,0
799,1,1,-,0.06,0,3.41,0,0,0
799,1,1,-,0.07,0,3.47,0,0,0
799,1,1,-,0.08,0,3.52,0,0,0
799,1,1,-,0.09,0,3.52,0,0,0
799,1,1,-,0.1,0,3.57,0,0,0
799,1,1,-,0.11,0,3.63,0,0,0
799,1,1,-,0.12,0,3.68,0,0,0
799,1,1,-,0.13,0,3.74,0,0,0
799,1,1,-,0.14,0,3.84,0,0,0
799,1,1,-,0.15,0,3.84,0,0,0
799,1,1,-,0.16,0,3.84,0,0,0
799,1,1,-,0.17,0,3.84,0,0,0
799,1,1,-,0.18,0,3.9,0,0,0
799,1,1,-,0.19,0,3.84,0,0,0
799,1,1,-,0.2,0,3.9,0,0,0
799,1,1,-,0.21,0,3.9,0,0,0
799,1,1,-,0.22,0,3.95,0,0,0
799,1,1,-,0.23,0,3.95,0,0,0
799,1,1,-,0.24,0,3.95,0,0,0
799,1,1,-,0.25,0,3.95,0,0,0
799,1,1,-,0.26,0,3.95,0,0,0
799,1,1,-,0.27,0,3.95,0,0,0
799,1,1,-,0.28,0,4.01,0,0,0
799,1,1,-,0.29,0,4.01,0,0,0
799,1,1,-,0.3,0,4.01,0,0,0
799,1,1,-,0.31,0,4.01,0,0,0
799,1,1,-,0.32,0,4.01,0,0,0
799,1,1,-,0.33,0,4.01,0,0,0
799,1,1,-,0.34,0,4.01,0,0,0
799,1,1,-,0.35,0,4.01,0,0,0
799,1,1,-,0.36,0,4.01,0,0,0
799,1,1,-,0.37,0,4.01,0,0,0
799,1,1,-,0.38,0,4.01,0,0,0
799,1,1,-,0.39,0,4.01,0,0,0
799,1,1,-,0.4,0,4.06,0,0,0
799,1,1,-,0.41,0,4.06,0,0,0
799,1,1,-,0.42,0,4.06,0,0,0
799,1,1,-,0.43,0,4.06,0,0,0
799,1,1,-,0.44,0,4.06,0,0,0
799,1,1,-,0.45,0,4.06,0,0,0
799,1,1,-,0.46,0,4.06,0,0,0
799,1,1,-,0.47,0,4.06,0,0,0
799,1,1,-,0.48,0,4.06,0,0,0
799,1,1,-,0.49,0,4.06,0,0,0
799,1,1,-,0.5,0,4.01,0,0,0
799,1,1,-,0.51,0,4.01,0,0,0
799,1,1,-,0.52,0,4.01,0,0,0
799,1,1,-,0.53,0,4.06,0,0,0
799,1,1,-,0.54,0,4.06,0,0,0
799,1,1,-,0.55,0,4.06,0,0,0
799,1,1,-,0.56,0,4.06,0,0,0
799,1,1,-,0.57,0,4.06,0,0,0
799,1,1,-,0.58,0,4.06,0,0,0
799,1,1,-,0.59,0,4.06,0,0,0
