Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
727,1,1,c,10,0.0,30.9,-0.0,0,0
727,1,1,c,20,0.0,26.5,-0.0,0,0
727,1,1,c,30,1.6,19.3,0.0,0,0
727,1,1,c,40,4.9,16.5,8.6,0,0
727,1,1,c,50,8.1,16.0,96.6,0,0
727,1,1,c,60,11.4,15.4,213.6,0,0
727,1,1,c,70,14.6,16.0,360.9,0,0
727,1,1,c,80,19.5,17.6,437.2,0,0
727,1,1,c,90,24.3,21.5,503.7,0,0
727,1,1,c,100,30.8,23.2,551.2,0,0
727,1,1,c,110,37.3,24.8,575.4,0,0
727,1,1,c,120,42.2,26.5,612.8,0,0
727,1,1,c,130,48.7,27.0,643.6,0,0
727,1,1,c,140,55.2,27.0,670.6,0,0
727,1,1,c,150,61.7,26.5,675.2,0,0
727,1,1,c,160,69.8,26.5,707.8,0,0
727,1,1,c,170,76.3,26.5,721.2,0,0
727,1,1,c,180,82.8,26.5,739.2,0,0
727,1,1,c,190,89.3,25.9,749.2,0,0
727,1,1,c,200,97.4,25.9,762.2,0,0
727,1,1,c,210,103.9,27.0,763.5,0,0
727,1,1,c,220,112.0,27.6,782.7,0,0
727,1,1,c,230,118.5,28.1,783.3,0,0
727,1,1,c,240,125.0,28.1,770.4,0,0
727,1,1,c,250,133.1,29.2,764.4,0,0
727,1,1,c,260,141.2,29.2,791.2,0,0
727,1,1,c,270,147.7,29.8,787.1,0,0
727,1,1,c,280,155.8,28.7,787.0,0,0
727,1,1,c,290,163.9,27.6,794.5,0,0
727,1,1,c,300,170.4,28.7,816.9,0,0
727,1,1,c,310,176.9,28.7,799.9,0,0
727,1,1,c,320,185.0,29.2,805.4,0,0
727,1,1,c,330,193.2,29.8,796.6,0,0
727,1,1,c,340,199.6,30.3,796.0,0,0
727,1,1,c,350,207.8,28.7,774.8,0,0
727,1,1,c,360,214.3,29.2,784.5,0,0
727,1,1,c,370,222.4,30.9,793.9,0,0
727,1,1,c,380,228.9,31.4,782.5,0,0
727,1,1,c,390,237.0,32.0,774.2,0,0
727,1,1,c,400,245.1,33.1,801.5,0,0
727,1,1,c,410,251.6,34.7,812.4,0,0
727,1,1,c,420,259.7,38.0,795.0,0,0
727,1,1,c,430,267.8,39.7,798.8,0,0
727,1,1,c,440,274.3,40.8,819.4,0,0
727,1,1,c,450,282.4,40.3,802.6,0,0
727,1,1,c,460,290.5,39.7,806.8,0,0
727,1,1,c,470,297.0,39.7,803.8,0,0
727,1,1,c,480,305.2,41.9,784.0,0,0
727,1,1,c,490,313.3,43.0,802.2,0,0
727,1,1,c,500,319.8,43.6,805.2,0,0
727,1,1,c,510,327.9,45.2,789.3,0,0
727,1,1,c,520,334.4,48.5,792.2,0,0
727,1,1,c,530,340.9,55.1,764.8,0,0
727,1,1,c,540,345.7,65.6,663.3,0,0
727,1,1,c,550,347.4,78.9,517.1,0,0
727,1,1,c,560,349.0,86.6,376.2,0,0
727,1,1,c,570,349.0,89.3,244.6,0,0
727,1,1,e,580,347.4,91.0,0.0,0,0
