Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
739,1,1,-,11,0.0,36.4,0.0,0,0
739,1,1,-,21,0.0,38.0,0.0,0,0
739,1,1,-,31,0.0,39.7,0.0,0,0
739,1,1,-,41,0.0,41.9,0.0,0,0
739,1,1,-,51,0.0,44.1,0.0,0,0
739,1,1,-,61,0.0,46.3,0.0,0,0
739,1,1,-,71,0.0,48.5,0.0,0,0
739,1,1,-,81,0.0,50.2,0.0,0,0
739,1,1,-,91,0.0,52.4,0.0,0,0
739,1,1,-,101,0.0,54.0,0.0,0,0
739,1,1,-,111,1.6,55.7,0.0,0,0
739,1,1,-,121,1.6,56.8,0.0,0,0
739,1,1,-,131,1.6,57.9,0.0,0,0
739,1,1,-,141,1.6,58.4,0.0,0,0
739,1,1,-,151,1.6,59.0,0.0,0,0
739,1,1,-,161,1.6,59.6,0.0,0,0
739,1,1,-,171,1.6,60.1,0.0,0,0
739,1,1,-,181,1.6,61.2,0.0,0,0
739,1,1,-,191,1.6,61.8,0.0,0,0
739,1,1,-,201,1.6,61.8,0.0,0,0
739,1,1,-,211,1.6,62.3,0.0,0,0
739,1,1,-,221,1.6,62.3,0.0,0,0
739,1,1,-,231,1.6,62.3,0.0,0,0
739,1,1,-,241,1.6,62.3,0.0,0,0
739,1,1,-,251,1.6,62.3,0.0,0,0
739,1,1,-,261,1.6,62.9,0.0,0,0
739,1,1,-,271,1.6,63.4,0.0,0,0
739,1,1,-,281,1.6,63.4,0.0,0,0
739,1,1,-,291,1.6,64.0,0.0,0,0
739,1,1,-,301,1.6,64.5,0.0,0,0
739,1,1,-,311,1.6,65.1,0.0,0,0
739,1,1,-,321,1.6,65.1,0.0,0,0
739,1,1,-,331,1.6,65.6,0.0,0,0
739,1,1,-,341,1.6,66.2,0.0,0,0
739,1,1,-,351,1.6,66.2,0.0,0,0
739,1,1,-,361,1.6,66.7,0.0,0,0
739,1,1,-,371,1.6,67.3,0.0,0,0
739,1,1,-,381,1.6,67.8,0.0,0,0
739,1,1,-,391,1.6,68.4,0.0,0,0
739,1,1,-,401,1.6,68.4,0.0,0,0
739,1,1,-,411,1.6,68.9,0.0,0,0
739,1,1,-,421,1.6,68.9,0.0,0,0
739,1,1,-,431,1.6,68.9,0.0,0,0
739,1,1,-,441,1.6,69.5,0.0,0,0
739,1,1,-,451,1.6,69.5,0.0,0,0
739,1,1,-,461,1.6,70.0,0.0,0,0
739,1,1,-,471,1.6,70.0,0.0,0,0
739,1,1,-,481,1.6,70.0,0.0,0,0
739,1,1,-,491,1.6,70.6,0.0,0,0
739,1,1,-,501,1.6,70.6,0.0,0,0
739,1,1,-,511,1.6,71.1,0.0,0,0
739,1,1,-,521,1.6,71.7,0.0,0,0
739,1,1,-,531,1.6,72.2,0.0,0,0
739,1,1,-,541,1.6,72.8,0.0,0,0
739,1,1,-,551,1.6,73.3,0.0,0,0
739,1,1,-,561,1.6,73.9,0.0,0,0
739,1,1,-,571,1.6,73.9,0.0,0,0
739,1,1,-,581,1.6,74.4,0.0,0,0
739,1,1,-,591,1.6,74.4,0.0,0,0
739,1,1,-,601,1.6,74.4,0.0,0,0
739,1,1,-,611,1.6,75.0,0.0,0,0
739,1,1,-,621,1.6,75.0,0.0,0,0
739,1,1,-,631,1.6,75.5,0.0,0,0
739,1,1,-,641,1.6,76.1,0.0,0,0
739,1,1,-,651,1.6,76.1,0.0,0,0
739,1,1,-,661,1.6,76.6,0.0,0,0
739,1,1,-,671,1.6,77.2,0.0,0,0
739,1,1,-,681,1.6,77.2,0.0,0,0
739,1,1,-,691,1.6,77.2,0.0,0,0
739,1,1,-,701,1.6,77.2,0.0,0,0
739,1,1,-,711,1.6,77.2,0.0,0,0
739,1,1,-,721,1.6,77.2,0.0,0,0
739,1,1,-,731,1.6,77.7,0.0,0,0
739,1,1,-,741,1.6,78.3,0.0,0,0
739,1,1,-,751,1.6,77.7,0.0,0,0
739,1,1,-,761,1.6,77.7,0.0,0,0
739,1,1,-,771,1.6,77.7,0.0,0,0
739,1,1,-,781,1.6,77.7,0.0,0,0
739,1,1,-,791,1.6,77.2,0.0,0,0
739,1,1,-,801,1.6,77.2,0.0,0,0
739,1,1,-,811,1.6,76.6,0.0,0,0
739,1,1,-,821,1.6,76.6,0.0,0,0
739,1,1,-,831,1.6,77.2,0.0,0,0
739,1,1,-,841,1.6,77.2,0.0,0,0
739,1,1,-,851,1.6,77.2,0.0,0,0
739,1,1,-,861,1.6,77.2,0.0,0,0
739,1,1,-,871,1.6,76.6,0.0,0,0
739,1,1,-,881,1.6,76.1,0.0,0,0
739,1,1,-,891,1.6,76.1,0.0,0,0
739,1,1,-,901,1.6,76.1,0.0,0,0
739,1,1,-,911,1.6,76.1,0.0,0,0
739,1,1,-,921,1.6,75.5,0.0,0,0
739,1,1,-,931,1.6,75.5,0.0,0,0
739,1,1,-,941,1.6,75.0,0.0,0,0
739,1,1,-,951,1.6,75.0,0.0,0,0
739,1,1,-,961,1.6,75.0,0.0,0,0
739,1,1,-,971,1.6,75.0,0.0,0,0
739,1,1,-,981,1.6,74.4,0.0,0,0
739,1,1,-,991,1.6,74.4,0.0,0,0
739,1,1,-,1001,1.6,75.5,0.0,0,0
739,1,1,-,1011,1.6,74.4,0.0,0,0
739,1,1,-,1021,1.6,75.0,0.0,0,0
739,1,1,-,1031,1.6,74.4,0.0,0,0
739,1,1,-,1041,1.6,74.4,0.0,0,0
739,1,1,-,1051,1.6,74.4,0.0,0,0
739,1,1,-,1061,1.6,75.0,0.0,0,0
739,1,1,-,1071,1.6,75.0,0.0,0,0
739,1,1,-,1081,1.6,75.0,0.0,0,0
739,1,1,-,1091,1.6,75.5,0.0,0,0
739,1,1,-,1101,1.6,75.0,0.0,0,0
739,1,1,-,1111,1.6,75.0,0.0,0,0
739,1,1,-,1121,1.6,75.0,0.0,0,0
739,1,1,-,1131,1.6,75.0,0.0,0,0
739,1,1,-,1141,1.6,75.0,0.0,0,0
739,1,1,-,1151,1.6,75.5,0.0,0,0
739,1,1,-,1161,1.6,75.5,0.0,0,0
739,1,1,-,1171,1.6,75.5,0.0,0,0
739,1,1,-,1181,1.6,75.5,0.0,0,0
739,1,1,-,1191,1.6,76.1,0.0,0,0
739,1,1,-,1201,1.6,76.1,0.0,0,0
739,1,1,-,1211,1.6,76.1,0.0,0,0
739,1,1,-,1221,1.6,76.6,0.0,0,0
739,1,1,-,1231,1.6,77.2,0.0,0,0
739,1,1,-,1241,1.6,77.2,0.0,0,0
739,1,1,-,1251,1.6,77.2,0.0,0,0
739,1,1,-,1261,1.6,77.2,0.0,0,0
739,1,1,-,1271,1.6,77.2,0.0,0,0
739,1,1,-,1281,1.6,77.2,0.0,0,0
739,1,1,-,1291,1.6,77.2,0.0,0,0
739,1,1,-,1301,1.6,77.2,0.0,0,0
739,1,1,-,1311,1.6,77.7,0.0,0,0
739,1,1,-,1321,1.6,77.7,0.0,0,0
739,1,1,-,1331,1.6,77.7,0.0,0,0
739,1,1,-,1341,1.6,77.7,0.0,0,0
739,1,1,-,1351,1.6,77.2,0.0,0,0
739,1,1,-,1361,1.6,77.2,0.0,0,0
739,1,1,-,1371,1.6,77.2,0.0,0,0
739,1,1,-,1381,1.6,77.2,0.0,0,0
739,1,1,-,1391,1.6,77.2,0.0,0,0
739,1,1,-,1401,1.6,77.2,0.0,0,0
739,1,1,-,1411,1.6,77.2,0.0,0,0
739,1,1,-,1421,1.6,77.7,0.0,0,0
739,1,1,-,1431,1.6,77.7,0.0,0,0
739,1,1,-,1441,1.6,78.3,0.0,0,0
739,1,1,-,1451,1.6,77.7,0.0,0,0
739,1,1,-,1461,1.6,78.3,0.0,0,0
739,1,1,-,1471,1.6,78.3,0.0,0,0
739,1,1,-,1481,1.6,78.3,0.0,0,0
739,1,1,-,1491,1.6,77.7,0.0,0,0
739,1,1,-,1501,1.6,78.3,0.0,0,0
739,1,1,-,1511,1.6,78.3,0.0,0,0
739,1,1,-,1521,1.6,78.9,0.0,0,0
739,1,1,-,1531,1.6,78.9,0.0,0,0
739,1,1,-,1541,1.6,78.9,0.0,0,0
