Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
730,1,1,c,10,1.6,33.6,0.0,0,0
730,1,1,c,20,1.6,34.7,0.0,0,0
730,1,1,c,30,1.6,32.0,0.0,0,0
730,1,1,c,40,4.9,30.3,50.8,0,0
730,1,1,c,50,8.1,29.2,137.5,0,0
730,1,1,c,60,11.4,28.7,254.2,0,0
730,1,1,c,70,16.2,28.7,355.8,0,0
730,1,1,c,80,21.1,30.9,427.0,0,0
730,1,1,c,90,26.0,33.6,477.6,0,0
730,1,1,c,100,30.8,35.8,524.5,0,0
730,1,1,c,110,37.3,37.5,580.9,0,0
730,1,1,c,120,43.8,38.0,601.8,0,0
730,1,1,c,130,50.3,36.9,642.7,0,0
730,1,1,c,140,56.8,35.3,683.0,0,0
730,1,1,c,150,63.3,34.7,699.4,0,0
730,1,1,c,160,69.8,34.2,708.5,0,0
730,1,1,c,170,76.3,34.2,733.5,0,0
730,1,1,c,180,82.8,34.2,753.9,0,0
730,1,1,c,190,89.3,34.2,753.5,0,0
730,1,1,c,200,97.4,33.6,759.1,0,0
730,1,1,c,210,103.9,32.5,763.5,0,0
730,1,1,c,220,112.0,31.4,787.1,0,0
730,1,1,c,230,118.5,30.9,788.3,0,0
730,1,1,c,240,126.6,30.3,794.8,0,0
730,1,1,c,250,133.1,31.4,792.2,0,0
730,1,1,c,260,141.2,32.5,787.4,0,0
730,1,1,c,270,147.7,32.0,773.1,0,0
730,1,1,c,280,155.8,31.4,773.3,0,0
730,1,1,c,290,163.9,30.9,794.2,0,0
730,1,1,c,300,170.4,30.9,795.6,0,0
730,1,1,c,310,176.9,31.4,789.9,0,0
730,1,1,c,320,185.0,30.9,790.6,0,0
730,1,1,c,330,193.2,30.3,810.2,0,0
730,1,1,c,340,199.6,30.3,799.1,0,0
730,1,1,c,350,207.8,29.2,789.0,0,0
730,1,1,c,360,214.3,29.2,786.8,0,0
730,1,1,c,370,222.4,28.1,802.2,0,0
730,1,1,c,380,228.9,27.0,771.9,0,0
730,1,1,c,390,237.0,26.5,769.4,0,0
730,1,1,c,400,245.1,28.1,794.7,0,0
730,1,1,c,410,251.6,32.5,786.0,0,0
730,1,1,c,420,259.7,33.6,781.3,0,0
730,1,1,c,430,267.8,33.1,801.6,0,0
730,1,1,c,440,274.3,31.4,812.8,0,0
730,1,1,c,450,282.4,29.8,794.6,0,0
730,1,1,c,460,290.5,28.1,808.5,0,0
730,1,1,c,470,297.0,27.0,814.4,0,0
730,1,1,c,480,305.2,27.0,792.5,0,0
730,1,1,c,490,311.6,30.3,804.4,0,0
730,1,1,c,500,318.1,36.4,758.5,0,0
730,1,1,c,510,323.0,43.6,682.6,0,0
730,1,1,c,520,326.3,52.4,518.5,0,0
730,1,1,c,530,326.3,58.4,379.3,0,0
730,1,1,c,540,326.3,60.7,242.9,0,0
730,1,1,e,550,324.6,60.7,0.0,0,0
730,1,1,e,560,323.0,68.4,-20.8,0,0
730,1,1,e,570,321.4,81.1,-72.3,0,0
730,1,1,e,580,318.1,93.2,-165.3,0,0
730,1,1,e,590,313.3,101.5,-274.5,0,0
730,1,1,e,600,310.0,104.2,-369.8,0,0
730,1,1,e,610,305.2,104.2,-425.1,0,0
730,1,1,e,620,300.3,99.8,-490.6,0,0
730,1,1,e,630,295.4,98.7,-529.8,0,0
730,1,1,e,640,288.9,98.7,-561.1,0,0
730,1,1,e,650,284.1,99.3,-606.5,0,0
730,1,1,e,660,277.6,99.3,-625.6,0,0
730,1,1,e,670,271.1,98.1,-646.4,0,0
730,1,1,e,680,264.6,102.0,-669.4,0,0
730,1,1,e,690,258.1,107.5,-685.5,0,0
730,1,1,e,700,251.6,111.4,-701.0,0,0
730,1,1,e,710,245.1,110.3,-719.9,0,0
730,1,1,e,720,237.0,114.7,-739.9,0,0
730,1,1,e,730,230.5,118.0,-744.4,0,0
730,1,1,e,740,224.0,120.2,-767.7,0,0
730,1,1,e,750,215.9,119.1,-782.5,0,0
730,1,1,e,760,209.4,119.7,-788.2,0,0
730,1,1,e,770,201.3,121.9,-774.5,0,0
730,1,1,e,780,194.8,125.7,-768.4,0,0
730,1,1,e,790,188.3,127.4,-768.3,0,0
730,1,1,e,800,180.2,124.1,-775.2,0,0
730,1,1,e,810,172.1,129.0,-768.8,0,0
730,1,1,e,820,165.6,129.6,-783.8,0,0
730,1,1,e,830,157.4,133.4,-790.6,0,0
730,1,1,e,840,151.0,131.8,-792.7,0,0
730,1,1,e,850,142.8,135.1,-771.8,0,0
730,1,1,e,860,136.3,137.3,-773.0,0,0
730,1,1,e,870,128.2,140.1,-787.3,0,0
730,1,1,e,880,121.7,139.5,-780.1,0,0
730,1,1,e,890,113.6,140.1,-775.6,0,0
730,1,1,e,900,105.5,140.6,-809.8,0,0
730,1,1,e,910,99.0,137.3,-814.6,0,0
730,1,1,e,920,90.9,135.6,-803.4,0,0
730,1,1,e,930,82.8,136.7,-795.6,0,0
730,1,1,e,940,76.3,134.5,-807.7,0,0
730,1,1,e,950,69.8,134.5,-791.1,0,0
730,1,1,e,960,61.7,132.9,-795.2,0,0
730,1,1,e,970,53.6,137.3,-815.1,0,0
730,1,1,e,980,47.1,140.6,-808.0,0,0
730,1,1,e,990,39.0,146.1,-785.4,0,0
730,1,1,e,1000,30.8,152.7,-801.9,0,0
730,1,1,e,1010,24.3,157.1,-803.8,0,0
730,1,1,e,1020,17.9,156.6,-791.5,0,0
730,1,1,e,1030,9.7,163.8,-786.6,0,0
730,1,1,e,1040,1.6,167.6,-806.2,0,0
730,1,1,e,1050,-4.9,177.6,-787.5,0,0
730,1,1,e,1060,-11.4,194.1,-765.9,0,0
730,1,1,e,1070,-17.9,206.8,-746.5,0,0
730,1,1,e,1080,-22.7,200.7,-663.8,0,0
730,1,1,e,1090,-26.0,207.3,-538.3,0,0
730,1,1,e,1100,-27.6,196.3,-382.6,0,0
730,1,1,e,1110,-27.6,185.3,-258.5,0,0
730,1,2,c,1120,-26.0,169.3,0.0,0,0
730,1,2,c,1130,-24.3,151.6,22.0,0,0
730,1,2,c,1140,-22.7,130.7,60.5,0,0
730,1,2,c,1150,-19.5,108.6,147.3,0,0
730,1,2,c,1160,-16.2,93.2,235.9,0,0
730,1,2,c,1170,-13.0,80.5,330.7,0,0
730,1,2,c,1180,-8.1,75.0,400.5,0,0
730,1,2,c,1190,-3.2,71.7,456.7,0,0
730,1,2,c,1200,1.6,68.9,520.5,0,0
730,1,2,c,1210,8.1,64.5,558.2,0,0
730,1,2,c,1220,14.6,61.8,579.5,0,0
730,1,2,c,1230,21.1,60.1,608.7,0,0
730,1,2,c,1240,27.6,57.3,655.8,0,0
730,1,2,c,1250,34.1,54.0,679.4,0,0
730,1,2,c,1260,40.6,52.4,707.8,0,0
730,1,2,c,1270,47.1,54.0,719.6,0,0
730,1,2,c,1280,53.6,54.6,740.5,0,0
730,1,2,c,1290,60.1,53.5,740.8,0,0
730,1,2,c,1300,68.2,54.6,755.5,0,0
730,1,2,c,1310,74.7,52.4,770.2,0,0
730,1,2,c,1320,82.8,51.3,778.1,0,0
730,1,2,c,1330,89.3,50.7,782.6,0,0
730,1,2,c,1340,97.4,50.2,773.9,0,0
730,1,2,c,1350,103.9,50.7,778.6,0,0
730,1,2,c,1360,112.0,50.7,791.0,0,0
730,1,2,c,1370,118.5,50.2,789.1,0,0
730,1,2,c,1380,126.6,50.7,772.4,0,0
730,1,2,c,1390,133.1,52.9,786.0,0,0
730,1,2,c,1400,141.2,53.5,803.1,0,0
730,1,2,c,1410,147.7,53.5,788.5,0,0
730,1,2,c,1420,155.8,54.0,794.8,0,0
730,1,2,c,1430,163.9,55.1,815.1,0,0
730,1,2,c,1440,170.4,56.2,816.6,0,0
730,1,2,c,1450,178.5,57.9,791.1,0,0
730,1,2,c,1460,185.0,57.3,793.8,0,0
730,1,2,c,1470,193.2,57.3,804.2,0,0
730,1,2,c,1480,199.6,56.8,782.3,0,0
730,1,2,c,1490,207.8,57.3,769.7,0,0
730,1,2,c,1500,215.9,58.4,795.9,0,0
730,1,2,c,1510,222.4,58.4,801.3,0,0
730,1,2,c,1520,228.9,56.8,782.7,0,0
730,1,2,c,1530,238.6,54.0,794.8,0,0
730,1,2,c,1540,245.1,60.1,811.6,0,0
730,1,2,c,1550,253.2,61.8,796.3,0,0
730,1,2,c,1560,261.3,62.3,813.0,0,0
730,1,2,c,1570,267.8,58.4,800.1,0,0
730,1,2,c,1580,275.9,57.9,785.6,0,0
730,1,2,c,1590,284.1,55.1,797.1,0,0
730,1,2,c,1600,290.5,54.6,812.5,0,0
730,1,2,c,1610,297.0,54.0,793.8,0,0
730,1,2,c,1620,306.8,53.5,808.1,0,0
730,1,2,c,1630,313.3,55.7,814.3,0,0
730,1,2,c,1640,318.1,61.2,749.3,0,0
730,1,2,c,1650,323.0,65.1,670.0,0,0
730,1,2,c,1660,324.6,71.1,500.4,0,0
730,1,2,c,1670,326.3,73.9,358.9,0,0
730,1,2,e,1680,324.6,73.9,0.0,0,0
730,1,2,e,1690,324.6,74.4,0.0,0,0
730,1,2,e,1700,323.0,81.1,-30.9,0,0
730,1,2,e,1710,319.8,90.4,-87.4,0,0
730,1,2,e,1720,316.5,99.3,-180.5,0,0
730,1,2,e,1730,313.3,105.9,-278.0,0,0
730,1,2,e,1740,310.0,107.0,-370.8,0,0
730,1,2,e,1750,305.2,104.8,-413.9,0,0
730,1,2,e,1760,300.3,102.0,-477.3,0,0
730,1,2,e,1770,293.8,103.1,-530.8,0,0
730,1,2,e,1780,288.9,105.3,-567.0,0,0
730,1,2,e,1790,282.4,108.1,-612.9,0,0
730,1,2,e,1800,275.9,107.5,-638.3,0,0
730,1,2,e,1810,269.4,111.9,-648.5,0,0
730,1,2,e,1820,263.0,110.3,-674.8,0,0
730,1,2,e,1830,256.5,113.6,-697.9,0,0
730,1,2,e,1840,250.0,114.1,-707.8,0,0
730,1,2,e,1850,243.5,115.2,-702.5,0,0
730,1,2,e,1860,235.4,121.3,-715.7,0,0
730,1,2,e,1870,228.9,125.2,-728.7,0,0
730,1,2,e,1880,222.4,126.3,-740.8,0,0
730,1,2,e,1890,215.9,124.1,-766.6,0,0
730,1,2,e,1900,207.8,124.1,-764.5,0,0
730,1,2,e,1910,201.3,124.1,-759.7,0,0
730,1,2,e,1920,193.2,126.3,-756.5,0,0
730,1,2,e,1930,186.7,126.8,-773.9,0,0
730,1,2,e,1940,178.5,127.9,-780.5,0,0
730,1,2,e,1950,172.1,131.8,-787.0,0,0
730,1,2,e,1960,163.9,134.0,-802.5,0,0
730,1,2,e,1970,157.4,137.3,-785.8,0,0
730,1,2,e,1980,151.0,134.5,-777.1,0,0
730,1,2,e,1990,141.2,137.3,-806.2,0,0
730,1,2,e,2000,134.7,139.0,-796.6,0,0
730,1,2,e,2010,128.2,141.2,-792.6,0,0
730,1,2,e,2020,120.1,145.0,-782.3,0,0
730,1,2,e,2030,112.0,147.8,-795.8,0,0
730,1,2,e,2040,105.5,150.5,-784.5,0,0
730,1,2,e,2050,97.4,147.8,-787.5,0,0
730,1,2,e,2060,90.9,148.3,-784.8,0,0
