Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
756,1,1,c,10,0.0,35.3,0.0,0,0
756,1,1,c,20,0.0,36.4,0.0,0,0
756,1,1,c,30,1.6,32.0,0.0,0,0
756,1,1,c,40,3.2,28.7,45.5,0,0
756,1,1,c,50,6.5,25.4,131.7,0,0
756,1,1,c,60,9.7,25.9,252.0,0,0
756,1,1,c,70,14.6,30.9,353.1,0,0
756,1,1,c,80,19.5,38.0,422.0,0,0
756,1,1,c,90,24.3,48.5,488.2,0,0
756,1,1,c,100,29.2,60.7,543.3,0,0
756,1,1,c,110,35.7,72.8,589.5,0,0
756,1,1,c,120,40.6,81.1,611.0,0,0
756,1,1,c,130,47.1,87.1,640.6,0,0
756,1,1,c,140,53.6,89.3,652.2,0,0
756,1,1,c,150,61.7,89.9,683.8,0,0
756,1,1,c,160,68.2,88.8,706.6,0,0
756,1,1,c,170,74.7,91.5,729.9,0,0
756,1,1,c,180,81.2,98.1,752.1,0,0
756,1,1,c,190,89.3,106.4,764.7,0,0
756,1,1,c,200,95.8,115.8,779.1,0,0
756,1,1,c,210,102.3,123.0,791.2,0,0
756,1,1,c,220,110.4,126.3,787.7,0,0
756,1,1,c,230,116.9,126.3,790.6,0,0
756,1,1,c,240,126.6,126.8,791.5,0,0
756,1,1,c,250,133.1,128.5,818.2,0,0
756,1,1,c,260,141.2,129.0,812.6,0,0
756,1,1,c,270,149.3,132.3,822.0,0,0
756,1,1,c,280,155.8,137.3,828.8,0,0
756,1,1,c,290,163.9,141.2,791.2,0,0
756,1,1,c,300,172.1,142.8,830.0,0,0
756,1,1,c,310,180.2,143.4,838.8,0,0
756,1,1,c,320,188.3,142.8,837.7,0,0
756,1,1,c,330,194.8,145.0,842.6,0,0
756,1,1,c,340,202.9,147.2,818.9,0,0
756,1,1,c,350,209.4,149.4,819.5,0,0
756,1,1,c,360,217.5,151.1,850.6,0,0
756,1,1,c,370,225.6,149.4,813.9,0,0
756,1,1,c,380,233.7,148.3,822.3,0,0
756,1,1,c,390,240.2,147.8,823.4,0,0
756,1,1,c,400,246.7,151.1,799.9,0,0
756,1,1,c,410,256.5,152.7,813.0,0,0
756,1,1,c,420,263.0,149.4,800.2,0,0
756,1,1,c,430,271.1,147.2,787.6,0,0
756,1,1,c,440,279.2,147.2,801.1,0,0
756,1,1,c,450,285.7,146.1,820.9,0,0
756,1,1,c,460,292.2,144.5,794.9,0,0
756,1,1,c,470,300.3,141.7,790.0,0,0
756,1,1,c,480,308.4,140.6,810.1,0,0
756,1,1,c,490,314.9,141.7,809.5,0,0
756,1,1,c,500,323.0,144.5,798.6,0,0
756,1,1,c,510,329.5,143.9,808.2,0,0
756,1,1,c,520,337.6,141.2,797.8,0,0
756,1,1,c,530,344.1,143.9,797.9,0,0
756,1,1,c,540,352.2,146.1,788.2,0,0
756,1,1,c,550,360.3,146.7,804.6,0,0
756,1,1,c,560,366.8,145.6,796.4,0,0
756,1,1,c,570,374.9,140.1,792.3,0,0
756,1,1,c,580,383.1,133.4,793.4,0,0
756,1,1,c,590,389.6,129.0,803.5,0,0
756,1,1,c,600,396.1,134.0,766.7,0,0
756,1,1,c,610,400.9,148.9,701.0,0,0
756,1,1,c,620,404.2,166.5,586.7,0,0
756,1,1,c,630,405.8,182.5,437.7,0,0
756,1,1,c,640,405.8,189.1,276.7,0,0
756,1,1,c,650,405.8,190.8,165.7,0,0
756,1,1,e,660,404.2,196.9,0.0,0,0
756,1,1,e,670,402.5,214.5,-47.2,0,0
756,1,1,e,680,399.3,236.0,-137.6,0,0
756,1,1,e,690,396.1,248.7,-242.4,0,0
756,1,1,e,700,391.2,249.2,-330.1,0,0
756,1,1,e,710,386.3,249.8,-405.3,0,0
756,1,1,e,720,381.4,250.9,-462.0,0,0
756,1,1,e,730,376.6,258.1,-511.3,0,0
756,1,1,e,740,371.7,269.6,-538.8,0,0
756,1,1,e,750,365.2,280.7,-560.1,0,0
756,1,1,e,760,360.3,290.0,-609.8,0,0
756,1,1,e,770,353.8,294.4,-631.4,0,0
756,1,1,e,780,347.4,300.0,-663.8,0,0
756,1,1,e,790,340.9,303.3,-681.4,0,0
756,1,1,e,800,334.4,307.1,-680.6,0,0
756,1,1,e,810,327.9,307.7,-701.0,0,0
756,1,1,e,820,321.4,307.7,-720.2,0,0
756,1,1,e,830,313.3,303.3,-735.6,0,0
756,1,1,e,840,306.8,303.3,-737.4,0,0
756,1,1,e,850,298.7,300.5,-755.7,0,0
756,1,1,e,860,292.2,302.7,-779.4,0,0
756,1,1,e,870,285.7,307.1,-774.1,0,0
756,1,1,e,880,279.2,313.7,-778.9,0,0
756,1,1,e,890,271.1,316.0,-772.7,0,0
756,1,1,e,900,263.0,310.4,-769.6,0,0
756,1,1,e,910,256.5,306.0,-761.2,0,0
756,1,1,e,920,250.0,303.3,-764.3,0,0
756,1,1,e,930,241.9,293.3,-767.1,0,0
756,1,1,e,940,233.7,291.1,-778.7,0,0
756,1,1,e,950,227.2,293.9,-788.5,0,0
756,1,1,e,960,220.7,291.1,-788.8,0,0
756,1,1,e,970,212.6,295.0,-776.6,0,0
756,1,1,e,980,204.5,297.8,-788.9,0,0
756,1,1,e,990,198.0,292.8,-786.8,0,0
756,1,1,e,1000,189.9,288.4,-788.1,0,0
756,1,1,e,1010,181.8,290.0,-814.3,0,0
756,1,1,e,1020,175.3,301.6,-805.3,0,0
756,1,1,e,1030,167.2,311.5,-779.8,0,0
756,1,1,e,1040,159.1,317.1,-792.7,0,0
756,1,1,e,1050,152.6,319.8,-814.5,0,0
756,1,1,e,1060,146.1,320.9,-804.3,0,0
756,1,1,e,1070,138.0,320.9,-797.0,0,0
756,1,1,e,1080,129.9,323.1,-813.4,0,0
756,1,1,e,1090,123.4,325.9,-808.1,0,0
756,1,1,e,1100,115.2,328.1,-793.3,0,0
756,1,1,e,1110,107.1,329.2,-801.3,0,0
756,1,1,e,1120,100.6,320.4,-812.0,0,0
756,1,1,e,1130,94.1,325.3,-809.5,0,0
756,1,1,e,1140,86.0,328.6,-809.8,0,0
756,1,1,e,1150,77.9,329.2,-804.4,0,0
756,1,1,e,1160,71.4,328.6,-798.7,0,0
756,1,1,e,1170,63.3,329.2,-788.9,0,0
756,1,1,e,1180,56.8,328.6,-779.5,0,0
756,1,1,e,1190,48.7,325.3,-793.7,0,0
756,1,1,e,1200,42.2,332.5,-773.6,0,0
756,1,1,e,1210,34.1,336.4,-777.6,0,0
756,1,1,e,1220,26.0,333.0,-802.3,0,0
756,1,1,e,1230,19.5,324.8,-796.3,0,0
756,1,1,e,1240,13.0,320.9,-777.1,0,0
756,1,1,e,1250,4.9,317.1,-790.3,0,0
756,1,1,e,1260,-3.2,308.2,-822.4,0,0
756,1,1,e,1270,-9.7,307.7,-804.8,0,0
756,1,1,e,1280,-16.2,304.9,-757.8,0,0
756,1,1,e,1290,-22.7,293.3,-714.5,0,0
756,1,1,e,1300,-26.0,276.3,-603.4,0,0
756,1,1,e,1310,-29.2,263.6,-468.9,0,0
756,1,1,e,1320,-29.2,263.0,-346.4,0,0
756,1,1,e,1330,-29.2,257.5,-214.5,0,0
756,1,2,c,1340,-27.6,250.3,0.0,0,0
756,1,2,c,1350,-26.0,233.8,29.8,0,0
756,1,2,c,1360,-24.3,209.0,85.7,0,0
756,1,2,c,1370,-21.1,194.1,178.7,0,0
756,1,2,c,1380,-16.2,190.2,296.0,0,0
756,1,2,c,1390,-13.0,195.2,382.7,0,0
756,1,2,c,1400,-8.1,204.0,445.6,0,0
756,1,2,c,1410,-3.2,209.0,518.0,0,0
756,1,2,c,1420,3.2,206.2,552.3,0,0
756,1,2,c,1430,9.7,200.2,581.8,0,0
756,1,2,c,1440,16.2,195.2,614.6,0,0
756,1,2,c,1450,22.7,196.3,660.3,0,0
756,1,2,c,1460,29.2,197.4,688.5,0,0
756,1,2,c,1470,35.7,198.0,718.9,0,0
756,1,2,c,1480,42.2,196.3,743.7,0,0
756,1,2,c,1490,48.7,197.4,755.8,0,0
756,1,2,c,1500,56.8,201.8,762.0,0,0
756,1,2,c,1510,64.9,200.2,789.0,0,0
756,1,2,c,1520,71.4,193.5,802.7,0,0
756,1,2,c,1530,79.5,195.2,796.1,0,0
756,1,2,c,1540,87.7,198.0,821.6,0,0
756,1,2,c,1550,94.1,202.4,817.1,0,0
756,1,2,c,1560,102.3,205.1,829.1,0,0
756,1,2,c,1570,110.4,200.7,847.3,0,0
756,1,2,c,1580,116.9,197.4,834.1,0,0
756,1,2,c,1590,125.0,196.9,793.7,0,0
756,1,2,c,1600,133.1,198.0,809.1,0,0
756,1,2,c,1610,139.6,197.4,808.9,0,0
756,1,2,c,1620,147.7,198.5,787.9,0,0
756,1,2,c,1630,154.2,200.7,802.5,0,0
756,1,2,c,1640,162.3,198.5,813.0,0,0
756,1,2,c,1650,170.4,195.7,803.8,0,0
756,1,2,c,1660,176.9,195.2,818.0,0,0
756,1,2,c,1670,185.0,193.5,836.7,0,0
756,1,2,c,1680,191.5,193.5,807.0,0,0
756,1,2,c,1690,199.6,195.2,806.7,0,0
756,1,2,c,1700,207.8,195.7,809.6,0,0
756,1,2,c,1710,214.3,195.2,801.1,0,0
756,1,2,c,1720,220.7,193.5,779.8,0,0
756,1,2,c,1730,228.9,192.4,782.7,0,0
756,1,2,c,1740,237.0,190.2,800.5,0,0
756,1,2,c,1750,243.5,189.7,790.8,0,0
756,1,2,c,1760,251.6,189.1,783.4,0,0
756,1,2,c,1770,258.1,189.1,780.9,0,0
756,1,2,c,1780,266.2,186.9,799.7,0,0
756,1,2,c,1790,272.7,187.5,787.9,0,0
756,1,2,c,1800,280.8,189.1,780.6,0,0
756,1,2,c,1810,288.9,189.1,812.1,0,0
756,1,2,c,1820,295.4,187.5,809.2,0,0
756,1,2,c,1830,301.9,182.5,810.3,0,0
756,1,2,c,1840,310.0,176.4,785.7,0,0
756,1,2,c,1850,318.1,172.0,808.6,0,0
756,1,2,c,1860,324.6,169.8,775.0,0,0
756,1,2,c,1870,332.7,164.3,769.2,0,0
756,1,2,c,1880,340.9,163.2,798.0,0,0
756,1,2,c,1890,347.4,164.3,801.4,0,0
756,1,2,c,1900,355.5,162.7,799.9,0,0
756,1,2,c,1910,362.0,162.1,803.4,0,0
756,1,2,c,1920,370.1,158.8,799.8,0,0
756,1,2,c,1930,376.6,153.3,779.8,0,0
756,1,2,c,1940,384.7,146.7,786.0,0,0
756,1,2,c,1950,392.8,144.5,804.3,0,0
756,1,2,c,1960,397.7,152.2,761.6,0,0
756,1,2,c,1970,402.5,170.9,667.9,0,0
756,1,2,c,1980,405.8,186.4,522.3,0,0
756,1,2,c,1990,405.8,194.6,368.2,0,0
756,1,2,c,2000,405.8,199.6,233.8,0,0
756,1,2,e,2010,404.2,198.5,0.0,0,0
756,1,2,e,2020,402.5,201.8,-10.8,0,0
756,1,2,e,2030,400.9,210.1,-64.9,0,0
756,1,2,e,2040,397.7,223.3,-162.0,0,0
756,1,2,e,2050,394.4,231.6,-276.7,0,0
756,1,2,e,2060,389.6,234.3,-365.1,0,0
756,1,2,e,2070,384.7,236.0,-422.7,0,0
756,1,2,e,2080,379.8,233.2,-476.1,0,0
756,1,2,e,2090,374.9,230.5,-532.2,0,0
756,1,2,e,2100,370.1,225.0,-561.4,0,0
756,1,2,e,2110,363.6,222.8,-614.6,0,0
756,1,2,e,2120,357.1,226.1,-619.5,0,0
756,1,2,e,2130,350.6,232.7,-650.6,0,0
756,1,2,e,2140,344.1,239.9,-677.7,0,0
756,1,2,e,2150,337.6,243.2,-721.9,0,0
756,1,2,e,2160,331.1,242.6,-731.7,0,0
756,1,2,e,2170,324.6,239.3,-730.8,0,0
756,1,2,e,2180,318.1,234.3,-737.3,0,0
756,1,2,e,2190,311.6,235.4,-742.5,0,0
756,1,2,e,2200,303.5,240.4,-731.0,0,0
756,1,2,e,2210,297.0,238.2,-753.3,0,0
756,1,2,e,2220,288.9,246.5,-755.3,0,0
756,1,2,e,2230,282.4,249.8,-772.1,0,0
756,1,2,e,2240,275.9,253.1,-767.9,0,0
756,1,2,e,2250,267.8,251.4,-782.7,0,0
756,1,2,e,2260,261.3,250.3,-782.3,0,0
756,1,2,e,2270,253.2,253.6,-776.1,0,0
756,1,2,e,2280,246.7,252.0,-755.8,0,0
756,1,2,e,2290,240.2,245.4,-758.0,0,0
756,1,2,e,2300,232.1,238.2,-771.2,0,0
756,1,2,e,2310,224.0,229.4,-791.2,0,0
756,1,2,e,2320,217.5,223.3,-794.7,0,0
756,1,2,e,2330,209.4,229.9,-784.1,0,0
756,1,2,e,2340,202.9,239.9,-791.4,0,0
756,1,2,e,2350,194.8,241.0,-799.3,0,0
756,1,2,e,2360,188.3,246.5,-788.3,0,0
756,1,2,e,2370,180.2,244.8,-780.7,0,0
756,1,2,e,2380,172.1,242.6,-806.5,0,0
756,1,2,e,2390,165.6,236.0,-806.2,0,0
756,1,2,e,2400,159.1,230.5,-792.4,0,0
756,1,2,e,2410,149.3,227.7,-790.0,0,0
756,1,2,e,2420,142.8,231.6,-813.5,0,0
756,1,2,e,2430,136.3,244.3,-802.4,0,0
756,1,2,e,2440,128.2,257.5,-811.2,0,0
756,1,2,e,2450,120.1,263.6,-830.6,0,0
756,1,2,e,2460,113.6,258.6,-797.2,0,0
756,1,2,e,2470,105.5,245.9,-775.7,0,0
756,1,2,e,2480,97.4,223.9,-802.1,0,0
756,1,2,e,2490,90.9,213.4,-804.6,0,0
756,1,2,e,2500,82.8,215.0,-809.6,0,0
756,1,2,e,2510,74.7,227.2,-819.2,0,0
756,1,2,e,2520,68.2,242.6,-821.1,0,0
756,1,2,e,2530,61.7,252.0,-800.9,0,0
756,1,2,e,2540,53.6,249.2,-806.3,0,0
756,1,2,e,2550,45.4,247.0,-811.7,0,0
756,1,2,e,2560,39.0,248.7,-802.4,0,0
756,1,2,e,2570,30.8,244.3,-779.1,0,0
756,1,2,e,2580,24.3,236.6,-799.0,0,0
756,1,2,e,2590,16.2,234.9,-808.0,0,0
756,1,2,e,2600,9.7,241.0,-799.7,0,0
756,1,2,e,2610,1.6,242.6,-778.3,0,0
756,1,2,e,2620,-4.9,247.0,-772.9,0,0
756,1,2,e,2630,-11.4,253.6,-778.0,0,0
756,1,2,e,2640,-17.9,254.2,-718.9,0,0
756,1,2,e,2650,-22.7,238.8,-653.3,0,0
756,1,2,e,2660,-26.0,219.5,-543.9,0,0
756,1,2,e,2670,-27.6,204.0,-396.3,0,0
756,1,2,e,2680,-27.6,196.3,-255.6,0,0
756,1,3,c,2690,-26.0,184.7,0.0,0,0
756,1,3,c,2700,-26.0,180.9,0.0,0,0
756,1,3,c,2710,-22.7,170.4,29.6,0,0
756,1,3,c,2720,-21.1,161.0,107.9,0,0
756,1,3,c,2730,-16.2,157.1,225.6,0,0
756,1,3,c,2740,-13.0,155.5,349.3,0,0
756,1,3,c,2750,-8.1,156.6,428.4,0,0
756,1,3,c,2760,-3.2,157.7,506.3,0,0
756,1,3,c,2770,3.2,158.3,541.6,0,0
756,1,3,c,2780,8.1,159.4,567.0,0,0
756,1,3,c,2790,14.6,161.0,615.4,0,0
756,1,3,c,2800,19.5,162.1,648.1,0,0
756,1,3,c,2810,26.0,160.5,664.0,0,0
756,1,3,c,2820,34.1,158.8,694.4,0,0
756,1,3,c,2830,40.6,157.7,707.3,0,0
756,1,3,c,2840,47.1,160.5,729.0,0,0
756,1,3,c,2850,55.2,164.3,734.5,0,0
