Id_Ejercicio,Serie,Repetición,Fase,Tiempo (ms),Posición (mm),Fuerza (N),Velocidad (mm/s),Trigger,Nota
760,1,1,c,10,0.0,36.4,-0.0,0,0
760,1,1,c,20,1.6,39.1,0.0,0,0
760,1,1,c,30,3.2,38.0,0.0,0,0
760,1,1,c,40,4.9,37.5,15.5,0,0
760,1,1,c,50,8.1,35.8,107.0,0,0
760,1,1,c,60,11.4,35.8,216.6,0,0
760,1,1,c,70,16.2,36.4,360.6,0,0
760,1,1,c,80,19.5,39.1,425.1,0,0
760,1,1,c,90,26.0,43.0,496.9,0,0
760,1,1,c,100,30.8,48.5,550.9,0,0
760,1,1,c,110,37.3,52.9,592.0,0,0
760,1,1,c,120,42.2,57.3,636.3,0,0
760,1,1,c,130,48.7,59.0,650.7,0,0
760,1,1,c,140,55.2,57.3,660.6,0,0
760,1,1,c,150,61.7,54.0,685.4,0,0
760,1,1,c,160,69.8,49.6,695.8,0,0
760,1,1,c,170,76.3,47.4,711.5,0,0
760,1,1,c,180,82.8,48.0,714.2,0,0
760,1,1,c,190,90.9,48.0,735.0,0,0
760,1,1,c,200,97.4,45.8,749.4,0,0
760,1,1,c,210,103.9,44.7,766.1,0,0
760,1,1,c,220,110.4,43.0,783.6,0,0
760,1,1,c,230,120.1,41.4,792.8,0,0
760,1,1,c,240,126.6,40.3,786.5,0,0
760,1,1,c,250,133.1,40.3,780.7,0,0
760,1,1,c,260,141.2,40.3,768.4,0,0
760,1,1,c,270,149.3,40.3,785.8,0,0
760,1,1,c,280,155.8,41.4,786.1,0,0
760,1,1,c,290,163.9,43.0,793.6,0,0
760,1,1,c,300,170.4,43.6,796.4,0,0
760,1,1,c,310,178.5,40.8,821.2,0,0
760,1,1,c,320,185.0,40.3,795.4,0,0
760,1,1,c,330,193.2,39.1,793.4,0,0
760,1,1,c,340,201.3,34.7,829.0,0,0
760,1,1,c,350,207.8,30.9,809.9,0,0
760,1,1,c,360,214.3,27.0,779.0,0,0
760,1,1,c,370,222.4,25.9,771.5,0,0
760,1,1,c,380,230.5,28.7,795.4,0,0
760,1,1,c,390,237.0,30.9,793.3,0,0
760,1,1,c,400,245.1,32.5,785.9,0,0
760,1,1,c,410,253.2,32.0,798.6,0,0
760,1,1,c,420,259.7,28.7,808.3,0,0
760,1,1,c,430,267.8,23.7,785.8,0,0
760,1,1,c,440,274.3,21.0,786.2,0,0
760,1,1,c,450,282.4,19.9,798.6,0,0
760,1,1,c,460,288.9,18.2,790.6,0,0
760,1,1,c,470,297.0,14.3,770.4,0,0
760,1,1,c,480,305.2,11.6,790.3,0,0
760,1,1,c,490,311.6,10.5,795.2,0,0
760,1,1,c,500,319.8,9.9,792.4,0,0
760,1,1,c,510,326.3,11.6,788.8,0,0
760,1,1,c,520,332.7,11.6,782.1,0,0
760,1,1,c,530,340.9,10.5,754.6,0,0
760,1,1,c,540,347.4,8.8,744.1,0,0
760,1,1,c,550,353.8,6.6,739.4,0,0
760,1,1,c,560,360.3,5.0,706.4,0,0
760,1,1,c,570,365.2,4.4,639.1,0,0
760,1,1,c,580,370.1,3.9,589.8,0,0
760,1,1,c,590,373.3,3.9,530.0,0,0
760,1,1,c,600,376.6,3.3,450.3,0,0
760,1,1,c,610,379.8,3.9,386.8,0,0
760,1,1,c,620,383.1,5.0,297.9,0,0
760,1,1,c,630,383.1,5.0,261.3,0,0
760,1,1,c,640,386.3,5.5,218.7,0,0
760,1,1,c,650,386.3,6.1,202.1,0,0
760,1,1,c,660,387.9,6.1,151.7,0,0
760,1,1,c,670,389.6,5.0,134.6,0,0
760,1,1,c,680,389.6,4.4,110.4,0,0
760,1,1,c,690,389.6,5.0,105.5,0,0
760,1,1,c,700,389.6,5.0,94.2,0,0
760,1,1,c,710,389.6,7.2,69.7,0,0
760,1,1,c,720,389.6,9.4,47.7,0,0
760,1,1,c,730,389.6,10.5,35.6,0,0
760,1,1,c,740,389.6,12.1,21.2,0,0
760,1,1,c,750,389.6,16.0,10.0,0,0
760,1,1,e,760,387.9,23.2,0.0,0,0
760,1,1,e,770,386.3,30.3,0.0,0,0
760,1,1,e,780,383.1,37.5,-86.5,0,0
760,1,1,e,790,379.8,43.6,-206.0,0,0
760,1,1,e,800,374.9,50.2,-332.9,0,0
760,1,1,e,810,370.1,55.7,-451.9,0,0
760,1,1,e,820,363.6,57.9,-493.2,0,0
760,1,1,e,830,358.7,59.0,-547.1,0,0
760,1,1,e,840,352.2,59.6,-575.7,0,0
760,1,1,e,850,347.4,61.8,-622.3,0,0
760,1,1,e,860,340.9,65.6,-640.3,0,0
760,1,1,e,870,334.4,71.1,-666.8,0,0
760,1,1,e,880,327.9,76.1,-681.4,0,0
760,1,1,e,890,321.4,83.8,-718.2,0,0
760,1,1,e,900,313.3,93.2,-731.0,0,0
760,1,1,e,910,306.8,106.4,-740.9,0,0
760,1,1,e,920,298.7,114.7,-729.3,0,0
760,1,1,e,930,292.2,115.2,-752.5,0,0
760,1,1,e,940,285.7,111.9,-755.5,0,0
760,1,1,e,950,279.2,104.8,-768.3,0,0
760,1,1,e,960,271.1,110.8,-779.5,0,0
760,1,1,e,970,264.6,120.2,-791.0,0,0
760,1,1,e,980,256.5,127.4,-794.1,0,0
760,1,1,e,990,250.0,125.7,-771.2,0,0
760,1,1,e,1000,241.9,122.4,-775.7,0,0
760,1,1,e,1010,235.4,126.8,-776.2,0,0
760,1,1,e,1020,228.9,131.8,-788.2,0,0
760,1,1,e,1030,220.7,137.3,-778.9,0,0
760,1,1,e,1040,212.6,147.8,-786.3,0,0
760,1,1,e,1050,206.1,156.0,-786.7,0,0
760,1,1,e,1060,198.0,160.5,-807.1,0,0
760,1,1,e,1070,191.5,163.2,-788.6,0,0
760,1,1,e,1080,183.4,170.4,-771.9,0,0
760,1,1,e,1090,176.9,177.0,-773.0,0,0
760,1,1,e,1100,168.8,180.9,-784.3,0,0
760,1,1,e,1110,162.3,180.9,-772.2,0,0
760,1,1,e,1120,155.8,181.4,-766.5,0,0
760,1,1,e,1130,147.7,182.5,-773.1,0,0
760,1,1,e,1140,139.6,185.8,-788.0,0,0
760,1,1,e,1150,133.1,182.0,-789.7,0,0
760,1,1,e,1160,125.0,194.1,-785.1,0,0
760,1,1,e,1170,118.5,201.8,-795.4,0,0
760,1,1,e,1180,110.4,207.9,-795.8,0,0
760,1,1,e,1190,103.9,202.4,-798.2,0,0
760,1,1,e,1200,95.8,192.4,-794.0,0,0
760,1,1,e,1210,89.3,194.6,-785.2,0,0
760,1,1,e,1220,81.2,201.8,-796.3,0,0
760,1,1,e,1230,74.7,217.8,-769.6,0,0
760,1,1,e,1240,66.5,229.4,-769.8,0,0
760,1,1,e,1250,58.4,232.1,-792.4,0,0
760,1,1,e,1260,51.9,228.3,-787.6,0,0
760,1,1,e,1270,45.4,221.7,-773.4,0,0
760,1,1,e,1280,37.3,217.3,-776.7,0,0
760,1,1,e,1290,29.2,216.1,-814.2,0,0
760,1,1,e,1300,22.7,228.8,-804.6,0,0
760,1,1,e,1310,16.2,241.0,-784.9,0,0
760,1,1,e,1320,8.1,247.6,-803.8,0,0
