Id_Ejercicio,serie,rep,phase,time,position,strength,velocity,trigger,note
3,1,1,c,0,-29.3,30.3,0,0,0
3,1,1,c,10,-29.3,29.8,0,0,0
3,1,1,c,20,-29.3,30.3,0,0,0
3,1,1,c,30,-29.3,31.4,0,0,0
3,1,1,c,40,-29.3,31.9,0,0,0
3,1,1,c,50,-29.3,32.5,0,0,0
3,1,1,c,60,-29.3,33,0,0,0
3,1,1,c,70,-29.3,34.7,0,0,0
3,1,1,c,80,-29.3,34.1,0,0,0
3,1,1,c,90,-29.3,34.7,0,0,0
3,1,1,c,100,-29.3,34.7,0,0,0
3,1,1,c,110,-29.3,34.7,0,0,0
3,1,1,c,120,-29.3,34.7,0,0,0
3,1,1,c,130,-29.3,35.2,0,0,0
3,1,1,c,140,-29.3,36.3,0,0,0
3,1,1,c,150,-29.3,37.4,0,0,0
3,1,1,c,160,-29.3,38.4,0,0,0
3,1,1,c,170,-29.3,40.1,0,0,0
3,1,1,c,180,-29.3,40.6,0,0,0
3,1,1,c,190,-29.3,41.7,0,0,0
3,1,1,c,200,-29.3,42.2,0,0,0
3,1,1,c,210,-29.3,42.8,0,0,0
3,1,1,c,220,-29.3,43.3,0,0,0
3,1,1,c,230,-29.3,43.9,0,0,0
3,1,1,c,240,-29.3,43.9,0,0,0
3,1,1,c,250,-29.3,44.4,0,0,0
3,1,1,c,260,-29.3,44.9,0,0,0
3,1,1,c,270,-29.3,46,0,0,0
3,1,1,c,280,-29.3,49.3,0,0,0
3,1,1,c,290,-29.3,53.1,0,0,0
3,1,1,c,300,-29.3,57.9,0,0,0
3,1,1,c,310,-29.3,63.9,0,0,0
3,1,1,c,320,-29.3,70.9,0,0,0
3,1,1,c,330,-27.5,79.6,0,0,0
3,1,1,c,340,-27.5,88.8,0,0,0
3,1,1,c,350,-27.5,97.5,0,0,0
3,1,1,c,360,-27.5,106.1,0,0,0
3,1,1,c,375,-25.7,117.5,0,0,0
3,1,1,c,385,-25.7,121.3,0,0,0
3,1,1,c,395,-25.7,125.1,0,0,0
3,1,1,c,405,-23.8,127.2,19.7,0,0
3,1,1,c,415,-22,127.2,78.5,0,0
3,1,1,c,425,-18.3,125.6,146.1,0,0
3,1,1,c,435,-16.5,124,209.4,0,0
3,1,1,c,445,-12.8,122.4,274.6,0,0
3,1,1,c,455,-9.2,122.4,320,0,0
3,1,1,c,465,-5.5,121.3,360,0,0
3,1,1,c,475,-1.8,119.1,384.1,0,0
3,1,1,c,485,3.7,117.5,436.4,0,0
3,1,1,c,495,7.3,114.8,467.3,0,0
3,1,1,c,505,12.8,114.8,489.8,0,0
3,1,1,c,515,18.3,114.3,544.1,0,0
3,1,1,c,525,23.8,117,544.7,0,0
3,1,1,c,535,29.3,118,588.9,0,0
3,1,1,c,545,36.7,120.8,606.3,0,0
3,1,1,c,555,42.1,119.7,628.2,0,0
3,1,1,c,565,49.5,118,671.1,0,0
3,1,1,c,575,55,115.3,719.3,0,0
3,1,1,c,585,64.1,113.7,753.1,0,0
3,1,1,c,595,69.6,113.7,778.8,0,0
3,1,1,c,605,78.8,113.7,798.8,0,0
3,1,1,c,615,86.1,113.2,827.7,0,0
3,1,1,c,625,95.3,112.6,852.5,0,0
3,1,1,c,635,102.6,111.5,887.7,0,0
3,1,1,c,645,111.8,107.8,872.6,0,0
3,1,1,c,655,121,104,912.9,0,0
3,1,1,c,665,130.1,100.7,919.1,0,0
3,1,1,c,675,139.3,98.6,938.5,0,0
3,1,1,c,685,146.6,96.9,951.8,0,0
3,1,1,c,695,157.6,94.2,980.5,0,0
3,1,1,c,705,164.9,91.5,969.5,0,0
3,1,1,c,715,174.1,97.5,947.9,0,0
3,1,1,c,725,183.3,93.7,955,0,0
3,1,1,c,735,192.4,93.7,961.4,0,0
3,1,1,c,745,201.6,91,944.1,0,0
3,1,1,c,755,208.9,87.7,945.1,0,0
3,1,1,c,765,218.1,86.6,899.9,0,0
3,1,1,c,775,225.4,85.6,891.2,0,0
3,1,1,c,785,234.6,85.6,868.9,0,0
3,1,1,c,795,241.9,85.6,833.5,0,0
3,1,1,c,805,249.2,86.6,822.1,0,0
3,1,1,c,815,256.6,88.3,813.1,0,0
3,1,1,c,825,262.1,84.5,786.1,0,0
3,1,1,c,835,269.4,83.4,760.9,0,0
3,1,1,c,845,276.7,81.8,739.7,0,0
3,1,1,c,855,282.2,80.1,713.4,0,0
3,1,1,c,865,287.7,80.1,649.5,0,0
3,1,1,c,875,293.2,82.3,622.5,0,0
3,1,1,c,885,298.7,86.1,572.9,0,0
3,1,1,c,895,302.4,86.6,548.9,0,0
3,1,1,c,905,307.9,91,534.3,0,0
3,1,1,c,915,311.5,86.6,513.5,0,0
3,1,1,c,925,317,87.2,484.2,0,0
3,1,1,c,935,318.9,86.1,455.8,0,0
3,1,1,c,945,324.4,85,423.6,0,0
3,1,1,c,955,328,87.2,398.5,0,0
3,1,1,c,965,329.9,88.8,376.8,0,0
3,1,1,c,975,333.5,91.5,353.6,0,0
3,1,1,c,985,337.2,94.2,320.6,0,0
3,1,1,c,995,339,94.2,307.4,0,0
3,1,1,c,1005,340.9,94.2,295.2,0,0
3,1,1,c,1015,344.5,94.8,306.8,0,0
3,1,1,c,1025,346.4,94.2,266.3,0,0
3,1,1,c,1035,348.2,96.9,273.2,0,0
3,1,1,c,1045,351.9,100.7,260.3,0,0
