Id_Ejercicio,serie,rep,phase,time,position,strength,velocity,trigger,note
6,1,1,c,0,0,30.3,0,0,0
6,1,1,c,10,0,32.5,0,0,0
6,1,1,c,20,0,36.3,0,0,0
6,1,1,c,30,0,41.2,0,0,0
6,1,1,c,40,0,46.6,0,0,0
6,1,1,c,50,0,53.1,0,0,0
6,1,1,c,60,0,60.1,0,0,0
6,1,1,c,70,0,69.3,0,0,0
6,1,1,c,80,1.8,75.3,0,0,0
6,1,1,c,90,1.8,87.7,0,0,0
6,1,1,c,100,1.8,106.1,0,0,0
6,1,1,c,110,1.8,115.9,0,0,0
6,1,1,c,126,1.8,130.5,0,0,0
6,1,1,c,136,1.8,138.6,0,0,0
6,1,1,c,146,1.8,142.4,0,0,0
6,1,1,c,156,3.7,142.4,0,0,0
6,1,1,c,166,5.5,144,15.5,0,0
6,1,1,c,176,7.3,146.7,98.3,0,0
6,1,1,c,186,11,146.2,186.5,0,0
6,1,1,c,196,14.7,146.7,294.2,0,0
6,1,1,c,206,18.3,146.7,360.4,0,0
6,1,1,c,216,23.8,146.2,423.4,0,0
6,1,1,c,226,29.3,146.2,492.2,0,0
6,1,1,c,236,34.8,143,552.1,0,0
6,1,1,c,246,40.3,140.8,621.7,0,0
6,1,1,c,256,47.6,137.5,697.9,0,0
6,1,1,c,266,55,135.4,736.4,0,0
6,1,1,c,276,62.3,133.2,785.1,0,0
6,1,1,c,286,71.5,131.6,824.3,0,0
6,1,1,c,296,78.8,127.8,851.6,0,0
6,1,1,c,306,88,126.2,887.3,0,0
6,1,1,c,316,97.1,124.5,916.7,0,0
6,1,1,c,326,106.3,121.3,970.8,0,0
6,1,1,c,336,115.5,120.8,1009.1,0,0
6,1,1,c,346,124.6,118,1003,0,0
6,1,1,c,356,135.6,116.4,1047.7,0,0
6,1,1,c,366,144.8,116.4,1035.6,0,0
6,1,1,c,376,153.9,115.3,1084.7,0,0
6,1,1,c,386,164.9,112.1,1090.5,0,0
6,1,1,c,396,174.1,111,1076.6,0,0
6,1,1,c,406,185.1,110.5,1093.6,0,0
6,1,1,c,416,196.1,108.8,1114.3,0,0
6,1,1,c,426,205.3,106.7,1102,0,0
6,1,1,c,436,216.2,104.5,1100.7,0,0
6,1,1,c,446,227.2,102.9,1109.7,0,0
6,1,1,c,456,236.4,107.2,1124.4,0,0
6,1,1,c,466,247.4,104.5,1106.4,0,0
6,1,1,c,476,256.6,102.9,1106.3,0,0
6,1,1,c,486,267.6,100.2,1105.4,0,0
6,1,1,c,496,276.7,104.5,1095,0,0
6,1,1,c,506,285.9,104,1084.7,0,0
6,1,1,c,516,296.9,100.7,1061.3,0,0
6,1,1,c,526,306,101.8,1031.5,0,0
6,1,1,c,536,315.2,101.8,1040.4,0,0
6,1,1,c,546,326.2,101.3,1037.3,0,0
6,1,1,c,556,333.5,100.7,998.6,0,0
6,1,1,c,566,342.7,99.6,1018.1,0,0
6,1,1,c,576,351.9,100.7,1012.5,0,0
6,1,1,c,586,361,99.1,978,0,0
6,1,1,c,596,370.2,98.6,936.8,0,0
6,1,1,c,606,377.5,99.6,930.7,0,0
6,1,1,c,616,386.7,98.6,884.8,0,0
6,1,1,c,626,394,98,865.7,0,0
6,1,1,c,636,401.3,96.9,840.3,0,0
6,1,1,c,646,408.7,98,813.3,0,0
6,1,1,c,656,416,96.4,784.9,0,0
6,1,1,c,666,423.3,94.2,767.1,0,0
6,1,1,c,676,430.7,91.5,749.4,0,0
6,1,1,c,686,436.2,89.9,728.5,0,0
6,1,1,c,696,443.5,87.7,683.1,0,0
6,1,1,c,706,447.2,83.9,660.5,0,0
6,1,1,c,716,454.5,81.8,605.1,0,0
6,1,1,c,726,458.1,76.3,576.6,0,0
6,1,1,c,736,461.8,71.5,516.1,0,0
6,1,1,c,746,465.5,67.1,472.3,0,0
6,1,1,c,756,469.1,65.5,398.5,0,0
6,1,1,c,766,469.1,63.9,314.1,0,0
6,1,1,c,776,471,60.6,233.5,0,0
6,1,1,c,786,471,54.1,175.2,0,0
6,1,1,c,796,471,55.8,111.2,0,0
6,1,1,c,806,469.1,58.5,0,0,0
6,1,1,c,816,467.3,66.6,-3.8,0,0
6,1,1,c,826,465.5,74.7,-86.9,0,0
6,1,1,c,836,461.8,74.2,-176.2,0,0
6,1,1,c,846,458.1,68.8,-283.3,0,0
6,1,1,c,856,454.5,66.1,-355.2,0,0
6,1,1,c,866,449,70.9,-419.8,0,0
6,1,1,e,876,445.3,78.5,-492.4,0,0
6,1,1,e,886,438,80.7,-552.7,0,0
6,1,1,e,896,432.5,78.5,-614.4,0,0
6,1,1,e,906,425.2,79.6,-671.2,0,0
6,1,1,e,916,417.8,83.9,-712.7,0,0
6,1,1,e,926,410.5,88.8,-773.2,0,0
6,1,1,e,936,403.2,89.9,-827.4,0,0
6,1,1,e,946,394,89.9,-845.6,0,0
6,1,1,e,956,386.7,92.1,-865.5,0,0
6,1,1,e,966,377.5,97.5,-907.3,0,0
6,1,1,e,976,368.4,101.8,-912.4,0,0
6,1,1,e,986,359.2,104,-959.9,0,0
6,1,1,e,996,350,104.5,-974.2,0,0
6,1,1,e,1006,340.9,105.6,-977.4,0,0
6,1,1,e,1016,331.7,106.7,-977.6,0,0
6,1,1,e,1026,322.5,108.8,-961.9,0,0
6,1,1,e,1036,311.5,114.3,-995,0,0
6,1,1,e,1046,304.2,118.6,-1001.6,0,0
6,1,1,e,1056,293.2,120.8,-1028.8,0,0
6,1,1,e,1066,285.9,121.3,-1000.5,0,0
6,1,1,e,1076,276.7,121.3,-973.9,0,0
6,1,1,e,1086,267.6,122.4,-965.7,0,0
6,1,1,e,1096,260.2,126.2,-935.5,0,0
6,1,1,e,1106,251.1,124.5,-881.5,0,0
